"Sujets","Demande","Domaine","Niveau de priorité"
"Switch grillé au 2ème étage","Hello, le routeur principal semble complètement HS, tous les voyants sont éteints. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Moyenne"
"Grosse latence réseau","Bonjour, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Perte du serveur de base de données","Alerte critique : notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Port réseau défectueux","Hello, le routeur principal semble complètement HS, tous les voyants sont éteints. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Session BGP down","Bonjour, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Coupure totale fibre optique","Bonjour, la session BGP avec notre fournisseur d'accès internet est tombée. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Moyenne"
"Nœud cluster HS","Alerte critique : notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Crash de l'hyperviseur","Bonjour l'équipe Infra, le serveur principal de production a brutalement planté et ne répond plus au ping. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Lien de secours 4G inactif","Bonjour, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Routeur de cœur de réseau HS","Bonjour le support réseau, le routeur principal semble complètement HS, tous les voyants sont éteints. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Nœud cluster HS","Bonjour l'équipe Infra, le serveur principal de production a brutalement planté et ne répond plus au ping. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Grosse latence réseau","Bonjour le NOC, on constate une latence très élevée (plus de 500ms) vers le site distant. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Moyenne"
"Boucle réseau détectée","Hello, le routeur principal semble complètement HS, tous les voyants sont éteints. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Haute"
"Session BGP down","Alerte Telecom, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Perte du serveur de base de données","Bonjour, nous avons perdu le contact avec la baie de stockage SAN. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Serveur de production en panne","Bonjour, nous avons perdu le contact avec la baie de stockage SAN. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Session BGP down","Bonjour le NOC, on constate une latence très élevée (plus de 500ms) vers le site distant. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Crash de l'hyperviseur","Bonjour l'équipe Infra, nous avons perdu le contact avec la baie de stockage SAN. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Serveur de production en panne","Bonjour l'équipe Infra, nous avons perdu le contact avec la baie de stockage SAN. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Coupure totale fibre optique","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Moyenne"
"Grosse latence réseau","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Moyenne"
"Perte du serveur de base de données","Bonjour, le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Switch grillé au 2ème étage","Bonjour le support réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Session BGP down","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Lien de secours 4G inactif","Bonjour le NOC, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Switch grillé au 2ème étage","Urgence réseau, le port de liaison montante (uplink) clignote en orange et rejette les paquets. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Session BGP down","Bonjour, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Crash de l'hyperviseur","Bonjour, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Nœud cluster HS","Bonjour l'équipe Infra, le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Switch grillé au 2ème étage","Hello, le routeur principal semble complètement HS, tous les voyants sont éteints. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Routeur de cœur de réseau HS","Hello, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Lien de secours 4G inactif","Bonjour, la session BGP avec notre fournisseur d'accès internet est tombée. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Port réseau défectueux","Urgence réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Perte du serveur de base de données","Bonjour l'équipe Infra, le serveur hébergeant l'application critique est en Kernel Panic. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Perte du serveur de base de données","Alerte critique : le serveur principal de production a brutalement planté et ne répond plus au ping. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Grosse latence réseau","Bonjour, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Lien de secours 4G inactif","Alerte Telecom, le lien principal est HS et le routeur ne bascule pas sur le secours 4G. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Serveur de production en panne","Bonjour, le serveur principal de production a brutalement planté et ne répond plus au ping. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Switch grillé au 2ème étage","Bonjour le support réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Serveur de production en panne","Bonjour l'équipe Infra, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Perte du serveur de base de données","Bonjour, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Session BGP down","Alerte Telecom, le lien principal est HS et le routeur ne bascule pas sur le secours 4G. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Port réseau défectueux","Bonjour le support réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Haute"
"Port réseau défectueux","Hello, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Coupure totale fibre optique","Alerte Telecom, on constate une latence très élevée (plus de 500ms) vers le site distant. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Haute"
"Crash de l'hyperviseur","Bonjour, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Session BGP down","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Port réseau défectueux","Hello, le port de liaison montante (uplink) clignote en orange et rejette les paquets. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Routeur de cœur de réseau HS","Hello, le port de liaison montante (uplink) clignote en orange et rejette les paquets. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Haute"
"Lien de secours 4G inactif","Alerte Telecom, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Serveur de production en panne","Alerte critique : nous avons perdu le contact avec la baie de stockage SAN. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Routeur de cœur de réseau HS","Bonjour le support réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Grosse latence réseau","Bonjour, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Serveur de production en panne","Alerte critique : nous avons perdu le contact avec la baie de stockage SAN. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Boucle réseau détectée","Hello, le port de liaison montante (uplink) clignote en orange et rejette les paquets. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Moyenne"
"Switch grillé au 2ème étage","Urgence réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Routeur de cœur de réseau HS","Urgence réseau, le port de liaison montante (uplink) clignote en orange et rejette les paquets. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Moyenne"
"Port réseau défectueux","Urgence réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Haute"
"Coupure totale fibre optique","Bonjour, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Perte du serveur de base de données","Bonjour l'équipe Infra, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Coupure totale fibre optique","Bonjour, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Port réseau défectueux","Hello, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Nœud cluster HS","Bonjour l'équipe Infra, le serveur principal de production a brutalement planté et ne répond plus au ping. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Nœud cluster HS","Alerte critique : le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Boucle réseau détectée","Urgence réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Port réseau défectueux","Bonjour le support réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Perte du serveur de base de données","Bonjour l'équipe Infra, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Coupure totale fibre optique","Alerte Telecom, la session BGP avec notre fournisseur d'accès internet est tombée. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Routeur de cœur de réseau HS","Urgence réseau, le routeur principal semble complètement HS, tous les voyants sont éteints. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Grosse latence réseau","Bonjour, le lien principal est HS et le routeur ne bascule pas sur le secours 4G. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Grosse latence réseau","Bonjour le NOC, la session BGP avec notre fournisseur d'accès internet est tombée. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Switch grillé au 2ème étage","Bonjour le support réseau, le routeur principal semble complètement HS, tous les voyants sont éteints. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Routeur de cœur de réseau HS","Urgence réseau, le port de liaison montante (uplink) clignote en orange et rejette les paquets. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Nœud cluster HS","Alerte critique : nous avons perdu le contact avec la baie de stockage SAN. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Session BGP down","Bonjour le NOC, on constate une latence très élevée (plus de 500ms) vers le site distant. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Moyenne"
"Switch grillé au 2ème étage","Bonjour le support réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Haute"
"Crash de l'hyperviseur","Alerte critique : notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Perte du serveur de base de données","Alerte critique : notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Routeur de cœur de réseau HS","Urgence réseau, le port de liaison montante (uplink) clignote en orange et rejette les paquets. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Session BGP down","Alerte Telecom, la session BGP avec notre fournisseur d'accès internet est tombée. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Session BGP down","Alerte Telecom, la session BGP avec notre fournisseur d'accès internet est tombée. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Haute"
"Boucle réseau détectée","Hello, le routeur principal semble complètement HS, tous les voyants sont éteints. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Haute"
"Session BGP down","Alerte Telecom, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Switch grillé au 2ème étage","Bonjour le support réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Perte du serveur de base de données","Alerte critique : le serveur principal de production a brutalement planté et ne répond plus au ping. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Grosse latence réseau","Bonjour le NOC, on constate une latence très élevée (plus de 500ms) vers le site distant. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Serveur de production en panne","Alerte critique : le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Crash de l'hyperviseur","Bonjour l'équipe Infra, le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Nœud cluster HS","Bonjour l'équipe Infra, le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Port réseau défectueux","Bonjour le support réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Session BGP down","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Coupure totale fibre optique","Bonjour le NOC, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Switch grillé au 2ème étage","Urgence réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Grosse latence réseau","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Port réseau défectueux","Hello, le routeur principal semble complètement HS, tous les voyants sont éteints. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Moyenne"
"Coupure totale fibre optique","Alerte Telecom, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Crash de l'hyperviseur","Bonjour, nous avons perdu le contact avec la baie de stockage SAN. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Perte du serveur de base de données","Bonjour, nous avons perdu le contact avec la baie de stockage SAN. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Coupure totale fibre optique","Bonjour le NOC, le lien principal est HS et le routeur ne bascule pas sur le secours 4G. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Session BGP down","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Coupure totale fibre optique","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Port réseau défectueux","Bonjour le support réseau, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Routeur de cœur de réseau HS","Urgence réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Haute"
"Serveur de production en panne","Bonjour, le serveur hébergeant l'application critique est en Kernel Panic. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Perte du serveur de base de données","Bonjour l'équipe Infra, le serveur hébergeant l'application critique est en Kernel Panic. La machine concernée a l'adresse IP <ip_address>.","Infra - Serveurs & Datacenter","Haute"
"Grosse latence réseau","Bonjour le NOC, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Grosse latence réseau","Bonjour, on constate une latence très élevée (plus de 500ms) vers le site distant. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Switch grillé au 2ème étage","Bonjour le support réseau, le port de liaison montante (uplink) clignote en orange et rejette les paquets. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Nœud cluster HS","Bonjour l'équipe Infra, notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. C'est critique pour l'activité, cela impacte tous les utilisateurs.","Infra - Serveurs & Datacenter","Haute"
"Grosse latence réseau","Alerte Telecom, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Serveur de production en panne","Alerte critique : notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Boucle réseau détectée","Bonjour le support réseau, un switch ne fournit plus d'alimentation PoE ni de réseau aux téléphones. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Moyenne"
"Coupure totale fibre optique","Bonjour le NOC, la session BGP avec notre fournisseur d'accès internet est tombée. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
"Switch grillé au 2ème étage","Hello, il y a une boucle réseau qui fait tomber tout le segment LAN du bâtiment. Le bâtiment entier est à l'arrêt, les équipes ne peuvent plus travailler.","Infra - Matériel Réseau (LAN)","Moyenne"
"Session BGP down","Bonjour, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. Nous perdons la connexion vers l'extérieur pour tout le site de Paris.","Infra - Connectivité & Télécom","Haute"
"Nœud cluster HS","Alerte critique : notre hyperviseur a redémarré en boucle et toutes les machines virtuelles sont inaccessibles. Le monitoring affiche le nœud en rouge depuis 10 minutes.","Infra - Serveurs & Datacenter","Haute"
"Lien de secours 4G inactif","Bonjour, le lien principal est HS et le routeur ne bascule pas sur le secours 4G. Contactez-moi en urgence au <tel_num> car nous sommes coupés du monde.","Infra - Connectivité & Télécom","Moyenne"
"Routeur de cœur de réseau HS","Bonjour le support réseau, le routeur principal semble complètement HS, tous les voyants sont éteints. L'équipement concerné est le routeur <acc_num>.","Infra - Matériel Réseau (LAN)","Haute"
"Switch grillé au 2ème étage","Urgence réseau, le routeur principal semble complètement HS, tous les voyants sont éteints. L'IP de la passerelle est <ip_address>. Personne n'arrive à s'y connecter.","Infra - Matériel Réseau (LAN)","Moyenne"
"Lien de secours 4G inactif","Alerte Telecom, le lien principal est HS et le routeur ne bascule pas sur le secours 4G. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Haute"
"Grosse latence réseau","Alerte Telecom, la connexion fibre principale a été sectionnée suite à des travaux dans la rue. La ligne impactée est la référence <acc_num>.","Infra - Connectivité & Télécom","Moyenne"
