texte,domaine,severite,impact,cible,friction
Un drone inconnu survole la zone résidentielle. Vérifiez s'il y a des menaces pour les résidents.,POLICE,2,1,0,MANQUE_LIEU
Un drone suspect survole le siège social d'une entreprise importante. Vérifiez s'il y a des menaces contre les dirigeants.,POLICE,3,2,2,MANQUE_LIEU
Un drone inconnu survole le hôpital local. Vérifiez s'il y a des menaces contre les patients et le personnel médical.,POLICE,4,3,4,MANQUE_LIEU
Un drone suspect survole une zone de recherche militaire. Vérifiez s'il y a des menaces contre la sécurité nationale.,POLICE,4,1,0,MANQUE_LIEU
Un drone inconnu survole une zone touristique. Vérifiez s'il y a des menaces pour la sécurité des visiteurs.,POLICE,2,1,0,MANQUE_LIEU
Un drone suspect survole le quartier administratif. Vérifiez s'il y a des menaces contre les fonctionnaires importants.,POLICE,3,2,2,MANQUE_LIEU
Un drone inconnu survole une zone commerciale. Vérifiez s'il y a des menaces contre les entreprises et les employés.,POLICE,2,1,2,MANQUE_LIEU
Un drone suspect survole une zone de stockage militaire. Vérifiez s'il y a des menaces contre l'inventaire et la sécurité nationale.,POLICE,4,1,0,MANQUE_LIEU
Un drone inconnu survole le quartier résidentiel. Vérifiez s'il y a des menaces pour les résidents.,POLICE,2,1,0,MANQUE_LIEU
Je crois que le signal intermittent est causé par un virus mortel. Il faut immédiatement évacuer la ville!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Il y a une panne critique sur le réseau de chauffage! Nous risquons d'avoir un froid mortel!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Attention! Il y a un virus dans le réseau de chauffage. Le signal est intermittents! Nous devons fuir immédiatement!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Le réseau de chauffage est compromis. Il y a un risque d'évaporation des fluides! Nous devons fuir!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Le réseau de chauffage est en panne! Il y a un risque d'explosion! Nous devons fuir immédiatement!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Il y a un virus dans le réseau de chauffage! Le signal est intermittents! Nous devons fuir immédiatement!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Le réseau de chauffage est compromis. Il y a un risque d'évaporation des fluides! Nous devons fuir!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Le réseau de chauffage est en panne! Il y a un risque d'explosion! Nous devons fuir immédiatement!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Il y a un virus dans le réseau de chauffage! Le signal est intermittents! Nous devons fuir immédiatement!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Le réseau de chauffage est compromis. Il y a un risque d'évaporation des fluides! Nous devons fuir!,ÉNERGIE & INFRASTRUCTURES,4,4,0,MANQUE_LIEU
Personne malentendante : T'as entendu un enfant errant près d'une station de métro ? Qu'est-ce que tu veux faire ?!,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
"C'est grave, une petite qui a perdu son chemin ! Quelle heure est-il là ? Tu sais où c'est !",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Enfant de quels ans, tu veux savoir ? Qu'est-ce que ça fait quand un petit gars est désorienté ?",ASSISTANCE SOCIALE,2,1,0,MANQUE_SYMPTOMES
"Station de métro, tu as dit ? Quelle station est-ce là ? Tu sais qui va l'aider !",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Enfant de combien d'années, tu as dit ? Qu'est-ce que c'est quand un petit garçon est perdu ?",ASSISTANCE SOCIALE,2,1,0,MANQUE_SYMPTOMES
"Station de métro, tu as dit ? Quelle est cette station, je suis confus !",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Enfant de quels âges, tu as dit ? Qu'est-ce que c'est quand un petit garçon est désorienté ?",ASSISTANCE SOCIALE,2,1,0,MANQUE_SYMPTOMES
"Station de métro, tu as dit ? Quelle est cette station, je suis confus !",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Enfant de combien d'années, tu as dit ? Qu'est-ce que c'est quand un petit garçon est perdu ?",ASSISTANCE SOCIALE,2,1,0,MANQUE_SYMPTOMES
"Station de métro, tu as dit ? Quelle est cette station, je suis confus !",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
Je n'ai plus accès à mon compte Microsoft. Tous mes apps sont désynchronisées. Urgent!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Mon authentificateur n'est plus en sync. Veuillez m'aider rapidement!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
App Microsoft Authenticator déconnecté. Besoin d'aide!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Problème Microsoft Authenticator. Mon compte ne fonctionne pas.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
App Microsoft Authenticator désynchronisée. Urgente!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Mon authentificateur ne fonctionne plus. Besoin d'aide immédiate!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Problème Microsoft Authenticator. Mon compte est déconnecté.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Mon authentificateur n'est plus en sync. Aide rapidement!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Problème Microsoft Authenticator. Mon compte ne fonctionne pas.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
"Mon authentificateur n'est plus en sync. Aidez-moi, s'il vous plaît!",DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
"Bonjour, Madame la Maire. Nous avons une situation critique qui nécessite immédiatement des actions. Nous avons reçu un signal de fuite radioactive dans le centre de recherche isolé. Merci d'agir rapidement afin de protéger notre environnement et nos citoyens.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Madame la PDG, nous avons une situation de fuite radioactive qui a été signalée dans le centre de recherche. Je vous demande d'ordonner des mesures immédiates pour éviter tout dommage à notre environnement et notre population.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Salut, Monsieur le Maire. Nous avons une situation grave dans le centre de recherche. Un signal de fuite radioactive a été reçu. Veuillez agir rapidement pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Bonjour, Madame la PDG. Nous avons une situation de fuite radioactive dans le centre de recherche isolé. Merci de donner des instructions immédiates pour éviter tout dommage à notre environnement et nos citoyens.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Madame la Maire, nous avons une situation critique dans le centre de recherche isolé. Un signal de fuite radioactive a été reçu. Veuillez ordonner des mesures immédiates pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Salut, Monsieur le Maire. Nous avons une situation de fuite radioactive dans le centre de recherche isolé. Merci d'agir rapidement pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Bonjour, Madame la PDG. Nous avons une situation critique dans le centre de recherche isolé. Un signal de fuite radioactive a été reçu. Veuillez donner des instructions immédiates pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Madame la Maire, nous avons une situation de fuite radioactive dans le centre de recherche isolé. Merci de donner des instructions immédiates pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Salut, Monsieur le Maire. Nous avons une situation critique dans le centre de recherche isolé. Un signal de fuite radioactive a été reçu. Veuillez ordonner des mesures immédiates pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Bonjour, Madame la PDG. Nous avons une situation critique dans le centre de recherche isolé. Un signal de fuite radioactive a été reçu. Veuillez donner des instructions immédiates pour prévenir toute contamination.",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Salut ! Y a une personne âgé qui cherche sa maison depuis plusieurs heures. Elle semble avoir Alzheimer. Ça fait tellement peur... Je suis désolé(e) de te déranger mais j'ai besoin d'aide !,ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Il y a une personne âgé qui a perdu son chemin. Elle est sûrement confuse et en panique. Aidez-la s'il vous plaît, je ne sais pas où elle est censée être.",ASSISTANCE SOCIALE,2,1,0,MANQUE_LIEU
"Je suis désolé, j'ai besoin d'aide ! Une personne âgé qui a Alzheimer est perdue et cherche sa maison depuis plusieurs heures. Il faut qu'on trouve rapidement.",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
Salut ! Une personne âgé qui a Alzheimer est perdue et cherche sa maison depuis plusieurs heures. Je ne sais pas où elle est censée être.,ASSISTANCE SOCIALE,2,1,0,MANQUE_LIEU
Y a une personne âgé qui cherche sa maison depuis plusieurs heures. Elle a Alzheimer et elle est très inquiétée. Aidez-la s'il vous plaît !,ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Je ne sais pas où elle est ! Une personne âgé avec Alzheimer cherche sa maison depuis plusieurs heures. Aidez-moi s'il vous plaît, elle est inquiétée.",ASSISTANCE SOCIALE,2,1,0,MANQUE_LIEU
"Salut ! Une personne âgé qui a Alzheimer est perdue et cherche sa maison depuis plusieurs heures. Aidez-la s'il vous plaît, je ne sais pas où elle est censée être.",ASSISTANCE SOCIALE,2,1,0,MANQUE_LIEU
Y a une personne âgé avec Alzheimer qui cherche sa maison depuis plusieurs heures. Je ne sais pas où elle est censée être. Aidez-la s'il vous plaît !,ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Je suis désolé, j'ai besoin d'aide ! Une personne âgé avec Alzheimer est perdue et cherche sa maison depuis plusieurs heures. Il faut qu'on la trouve rapidement.",ASSISTANCE SOCIALE,3,1,0,MANQUE_LIEU
"Salut ! Une personne âgé qui a Alzheimer est perdue et cherche sa maison depuis plusieurs heures. Aidez-la s'il vous plaît, je ne sais pas où elle est censée être.",ASSISTANCE SOCIALE,2,1,0,MANQUE_LIEU
Attention! Alerte urgence! Rivière débordant à côté de mon quartier! Vite faites quelque chose!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Oui, tout le monde écoutez-moi! Rivière qui déborde va inonder notre quartier! Faites vite!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Rivière débordante! Va inonder notre quartier! Allez-y vite!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Quelle est l'heure actuelle? Rivière débordante va inonder mon quartier! Aidez-moi!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Cherchez-moi! Rivière débordante va inonder notre quartier! Urgent!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Allez, vite faites! Rivière débordante va inonder mon quartier! Aidez-moi!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Qu'est-ce qui se passe? Rivière débordante va inonder mon quartier! Urgent!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Attention! Rivière débordant va inonder notre quartier! Faites vite!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Quelle est l'heure actuelle? Rivière débordante va inonder mon quartier! Aidez-moi!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Allez-y vite! Rivière débordante va inonder mon quartier! Urgent!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je suis dépassé par cette situation ! Qu'est-ce que vous faites ? Il y a une fuite radioactive ou chimique dans ce centre de recherche et personne ne semble faire quoi que ce soit pour s'en occuper !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je ne sais pas où est le centre de recherche ! Qu'est-ce que vous faites ? C'est une catastrophe !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je suis tellement frustré ! Il y a une fuite radioactive ou chimique et personne ne fait rien !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je ne comprends pas ce qui se passe ! Il y a une fuite radioactive ou chimique et personne ne prend en charge !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je suis inquiet ! Qu'est-ce que vous faites avec cette fuite radioactive ou chimique ?,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je ne sais pas où est le centre de recherche ! Qu'est-ce que vous faites ? C'est une catastrophe !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je suis tellement frustré ! Il y a une fuite radioactive ou chimique et personne ne fait rien !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je ne comprends pas ce qui se passe ! Il y a une fuite radioactive ou chimique et personne ne prend en charge !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je suis inquiet ! Qu'est-ce que vous faites avec cette fuite radioactive ou chimique ?,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Je ne sais pas où est le centre de recherche ! Qu'est-ce que vous faites ? C'est une catastrophe !,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Salut mec! Qu'est-ce que vous me faites ici? Vous êtes le gars qui m'a volé un million ? Allez-y, appeler la police et racontez leur ça!",CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
"Qu'est-ce que vous faites, mon frère? Vous êtes venu me voler un million?! Appelle la police!",CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Ah bah qu'est-ce que vous me faites ici? Vous avez vu le million que j'ai perdu! Appelle la police et racontez-leur ça!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Qu'est-ce que vous faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Salut! Qu'est-ce que vous me faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
"Bah bah, qu'est-ce que vous faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!",CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Salut! Qu'est-ce que vous faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
"Bah bah, qu'est-ce que vous faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!",CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Salut! Qu'est-ce que vous faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
"Bah bah, qu'est-ce que vous faites ici? Vous avez vu le million que j'ai perdu?! Appelle la police!",CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Un homme est entré par la fenêtre de ma maison en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
J'ai entendu du bruit et j'ai vu une silhouette entrer par la porte d'immeuble !,POLICE,4,1,0,MANQUE_LIEU
Le suspect est entré par la porte d'immeuble en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
J'ai remarqué une personne entrer par la porte d'immeuble en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
Un homme est entré par la porte d'immeuble sans permission en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
Je crois que quelqu'un est entré par la porte d'immeuble en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
Je suis sûr qu'un individu est entré par la porte d'immeuble sans autorisation en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
Il y a eu un incident et une personne est entrée par la porte d'immeuble en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
J'ai entendu des cris et je pense qu'un homme est entré par la porte d'immeuble en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
Je suis certain qu'un individu est entré par la porte d'immeuble sans permission en pleine journée !,POLICE,4,1,0,MANQUE_LIEU
"Salut mec! Mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as besoin d'aide rapidement!",DIGITAL SUPPORT,3,1,0,MANQUE_LIEU
"Aie, ma climatisation ! Elle fuit mais calme, pas de souci pour l'instant. T'as vraiment besoin d'aide!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, mon climatiseur de la salle serveur... Il fuit mais c'est pas grave pour le moment. T'as besoin d'aide urgent!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut! Mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as vraiment besoin d'aide!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as besoin d'aide rapidement!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut! Mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as vraiment besoin d'aide!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, mon climatiseur de la salle serveur... Il fuit mais c'est pas grave pour le moment. T'as besoin d'aide urgent!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut! Mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as vraiment besoin d'aide!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as besoin d'aide rapidement!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut! Mon climatiseur de la salle serveur est un peu partagé. Il fuit mais bon, pas grave pour le moment. T'as vraiment besoin d'aide!",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Madame la Présidente, mon coupure au doigt est critique et nécessite une intervention immédiate. Merci de votre aide.",MÉDICAL,4,1,2,MANQUE_LIEU
"Bonjour, mon doigt est coupé et cela s'aggrave. Votre hôpital est le seul moyen de sortir de cette situation.",MÉDICAL,3,1,4,MANQUE_LIEU
Je suis le PDG de cette entreprise et mon coupure nécessite une attention médicale immédiate. Merci de bien vouloir m'aider.,MÉDICAL,4,2,2,MANQUE_LIEU
Mon coupure est grave et nécessite une intervention chirurgicale. Merci de m'aider immédiatement.,MÉDICAL,3,1,0,MANQUE_LIEU
"Bonjour, mon doigt est coupé et cela s'aggrave rapidement. Merci de votre aide rapidement.",MÉDICAL,3,1,0,MANQUE_LIEU
Mon coupure nécessite une intervention médicale immédiate. Merci de bien vouloir m'aider.,MÉDICAL,4,1,2,MANQUE_LIEU
Mon coupure est grave et nécessite une intervention chirurgicale. Merci de m'aider immédiatement.,MÉDICAL,3,1,0,MANQUE_LIEU
"Bonjour, mon doigt est coupé et cela s'aggrave rapidement. Merci de votre aide rapidement.",MÉDICAL,3,1,0,MANQUE_LIEU
Mon coupure nécessite une intervention médicale immédiate. Merci de bien vouloir m'aider.,MÉDICAL,4,1,2,MANQUE_LIEU
Mon coupure est grave et nécessite une intervention chirurgicale. Merci de m'aider immédiatement.,MÉDICAL,3,1,0,MANQUE_LIEU
Oh non! Le panneau de signalisation est tombé! Y a-t-il quelqu'un qui peut m'aider à appeler les secours? Je ne suis pas sûr de me souvenir où nous sommes...,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le feu de signalisation est éteint! Il y a une personne blessée au coin de la rue. Est-ce que quelqu'un peut me dire comment on fait pour l'aider?,SERVICES URBAINS,3,1,0,MANQUE_LIEU
Le panneau luminoxyde est cassé! Il y a un accident sur la route. Qui peut me dire où je peux trouver de l'aide?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le phare est éteint! Il y a une voiture qui s'est arrêtée dans le trottoir. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le signal luminoxyde est cassé! Il y a une personne qui tombe dans la rue. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le panneau de signalisation est tombé! Il y a une personne blessée sur le trottoir. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le feu de signalisation est éteint! Il y a un accident sur la route. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le phare est éteint! Il y a une voiture qui s'est arrêtée dans le trottoir. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le signal luminoxyde est cassé! Il y a une personne qui tombe dans la rue. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Le panneau de signalisation est tombé! Il y a une personne blessée sur le trottoir. Qui peut m'aider à appeler les secours?,SERVICES URBAINS,2,1,0,MANQUE_LIEU
OMG! Je viens de voir une voiture fumer sur l'autoroute! Il y a quelqu'un coincé à l'intérieur!,POMPIER,4,1,0,MANQUE_LIEU
Il y a un feu dans une voiture sur l'autoroute! Je ne sais pas où est-ce!,POMPIER,4,1,0,MANQUE_LIEU
Je viens de voir une voiture qui fume sur l'autoroute! Il y a quelqu'un à l'intérieur!,POMPIER,4,1,0,MANQUE_LIEU
Il y a un feu dans une voiture sur l'autoroute! Je ne sais pas où il est!,POMPIER,4,1,0,MANQUE_LIEU
Je viens de voir une voiture qui fume sur l'autoroute! Il y a quelqu'un coincé à l'intérieur!,POMPIER,4,1,0,MANQUE_LIEU
Il y a un feu dans une voiture sur l'autoroute! Je ne sais pas où il est!,POMPIER,4,1,0,MANQUE_LIEU
Je viens de voir une voiture qui fume sur l'autoroute! Il y a quelqu'un coincé à l'intérieur!,POMPIER,4,1,0,MANQUE_LIEU
Il y a un feu dans une voiture sur l'autoroute! Je ne sais pas où il est!,POMPIER,4,1,0,MANQUE_LIEU
Je viens de voir une voiture qui fume sur l'autoroute! Il y a quelqu'un coincé à l'intérieur!,POMPIER,4,1,0,MANQUE_LIEU
Il y a un feu dans une voiture sur l'autoroute! Je ne sais pas où il est!,POMPIER,4,1,0,MANQUE_LIEU
"Je suis désolé, je ne sais pas où je me trouve. Il y a un accident de la route avec un véhicule qui a retourné et qui fuit du carburant.",POMPIER,3,1,0,MANQUE_LIEU
"Je suis en train de tousser constamment, mais je peux voir un accident de la route à quelques mètres. Un véhicule est retourné et fuit du carburant.",POMPIER,3,1,0,MANQUE_LIEU
"Il y a un accident de la route avec un véhicule qui a retourné et qui fuit du carburant. Je suis vraiment désolé, je ne sais pas où en est cette situation.",POMPIER,3,1,0,MANQUE_LIEU
"Je suis ici, mais je ne sais pas où je me trouve. Il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant.",POMPIER,3,1,0,MANQUE_LIEU
Je suis dans un lieu très enfumé et je tousses constamment. Il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant.,POMPIER,3,1,0,MANQUE_LIEU
"Je ne sais pas où je me trouve, mais il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant.",POMPIER,3,1,0,MANQUE_LIEU
"Je suis en train de tousser constamment. Il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant, mais je ne sais pas où en est cette situation.",POMPIER,3,1,0,MANQUE_LIEU
"Il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant. Je suis désolé, mais je ne sais pas où en est cette situation.",POMPIER,3,1,0,MANQUE_LIEU
"Je suis ici, mais je ne sais pas où je me trouve. Il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant.",POMPIER,3,1,0,MANQUE_LIEU
Je suis en train de tousser constamment. Il y a un accident de la route avec un véhicule qui est retourné et fuit du carburant.,POMPIER,3,1,0,MANQUE_LIEU
Salut mec ! J'ai un petit souci avec le clim de la salle serveur. Ça fuit un peu mais j'arrive à vivre avec ça.,DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, mon clim fuit mais le pire, c'est que des chiens aboient juste à côté de moi. T'as une idée ?",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Hey ! Le clim de la salle serveur a un petit problème, ça fuit mais bon, c'est pas super grave.",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, j'ai un souci avec mon climatiseur. Ça fuit un peu mais bon, le pire, c'est que des chiens aboient vraiment fort à côté de moi.",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut, le clim de la salle serveur a un petit souci. Ça fuit mais bon, c'est pas super grave, je peux travailler avec ça.",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Hey ! J'ai un souci avec mon clim. Ça fuit un peu mais bon, c'est pas grave. Des chiens aboient juste à côté de moi.",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Salut ! Mon climatiseur fuit un peu mais bon, le pire c'est que des chiens aboient très fort à côté de moi. T'as une idée ?",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
"Hey ! Le clim de la salle serveur a un petit problème. Ça fuit mais bon, j'arrive à gérer avec ça.",DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
