texte_conversation,prochaine_question
Il y a un blessé. au bras. c'est gonflé. 25 ans aucun. chez moi,COMPLET
Douleur intense. au bras. j'ai des vertiges. aucun antécédent,DEMANDE_LIEU
Je ne me sens pas bien. à la jambe. c'est gonflé. 40 ans cardiaque. au cinéma,COMPLET
J'ai mal. à la jambe. j'ai des vertiges. il a 50 ans et est diabétique. à Rennes,COMPLET
Mon ami souffre. au bras. il y a du sang. aucun antécédent,DEMANDE_LIEU
Je ne me sens pas bien. à la tête. j'ai du mal à respirer. aucun antécédent,DEMANDE_LIEU
J'ai mal. au dos. j'ai du mal à respirer. 25 ans aucun. devant la gare,COMPLET
J'ai mal. à la jambe. je ne sens plus mes doigts. 40 ans cardiaque,DEMANDE_LIEU
Mon ami souffre. au bras. je ne sens plus mes doigts. 40 ans cardiaque,DEMANDE_LIEU
Il y a un blessé au ventre,DEMANDE_SYMPTOMES
Il y a un blessé. à la tête. j'ai des vertiges. il a 50 ans et est diabétique. au cinéma,COMPLET
Je ne me sens pas bien. au dos. j'ai des vertiges. 40 ans cardiaque,DEMANDE_LIEU
Mon ami souffre. au ventre. je ne sens plus mes doigts. 25 ans aucun. au 5 rue de la paix,COMPLET
Douleur intense. au dos. je ne sens plus mes doigts. il a 50 ans et est diabétique. devant la gare,COMPLET
Je ne me sens pas bien. au ventre. il y a du sang. il a 50 ans et est diabétique. au cinéma,COMPLET
Douleur intense. au bras. c'est gonflé. je suis asthmatique,DEMANDE_LIEU
Je ne me sens pas bien. à la tête. je veux vomir. aucun antécédent,DEMANDE_LIEU
Il y a un blessé. au ventre. il y a du sang. je suis asthmatique. chez moi,COMPLET
J'ai mal. au bras. j'ai des vertiges. il a 50 ans et est diabétique,DEMANDE_LIEU
J'ai mal. au dos. j'ai des vertiges. 25 ans aucun,DEMANDE_LIEU
Il y a un blessé. à la jambe. c'est gonflé. 40 ans cardiaque,DEMANDE_LIEU
Je ne me sens pas bien. au ventre,DEMANDE_SYMPTOMES
Il y a un blessé. au bras. j'ai du mal à respirer. aucun antécédent,DEMANDE_LIEU
Je ne me sens pas bien. à la poitrine. je ne sens plus mes doigts. je suis asthmatique. au cinéma,COMPLET
J'ai mal. à la jambe. j'ai des vertiges. 25 ans aucun. devant la gare,COMPLET
Mon ami souffre. au bras. j'ai des vertiges. 25 ans aucun. chez moi,COMPLET
Mon ami souffre. à la tête. c'est gonflé. je suis asthmatique. chez moi,COMPLET
Il y a un blessé. à la tête. j'ai du mal à respirer. je suis asthmatique. devant la gare,COMPLET
Douleur intense. à la poitrine. j'ai du mal à respirer. 40 ans cardiaque. chez moi,COMPLET
Douleur intense. au dos. j'ai du mal à respirer. il a 50 ans et est diabétique,DEMANDE_LIEU
Je ne me sens pas bien. au bras. je ne sens plus mes doigts,DEMANDE_ANTECEDENTS
J'ai mal. au dos. je ne sens plus mes doigts. il a 50 ans et est diabétique. au cinéma,COMPLET
Douleur intense. au dos. il y a du sang. aucun antécédent. devant la gare,COMPLET
Il y a un blessé. à la poitrine. il y a du sang. 40 ans cardiaque. au 5 rue de la paix,COMPLET
Douleur intense. au dos. j'ai des vertiges. 25 ans aucun. devant la gare,COMPLET
Mon ami souffre. au ventre. j'ai du mal à respirer. 40 ans cardiaque. devant la gare,COMPLET
Je ne me sens pas bien. au bras. il y a du sang. je suis asthmatique,DEMANDE_LIEU
Il y a un blessé. au dos. j'ai des vertiges. aucun antécédent. au 5 rue de la paix,COMPLET
Il y a un blessé. à la tête. je veux vomir. 25 ans aucun. à Rennes,COMPLET
Douleur intense. à la tête. il y a du sang. 25 ans aucun. au cinéma,COMPLET
Douleur intense. à la tête. j'ai du mal à respirer. aucun antécédent. devant la gare,COMPLET
Douleur intense. au dos. c'est gonflé. il a 50 ans et est diabétique. au cinéma,COMPLET
Mon ami souffre. au dos. c'est gonflé. 40 ans cardiaque,DEMANDE_LIEU
Je ne me sens pas bien. à la jambe. j'ai du mal à respirer. 40 ans cardiaque. à Rennes,COMPLET
Je ne me sens pas bien. au dos. je veux vomir. 25 ans aucun. chez moi,COMPLET
Je ne me sens pas bien. à la poitrine. je veux vomir. aucun antécédent. chez moi,COMPLET
Il y a un blessé. au bras. j'ai des vertiges. 25 ans aucun. au 5 rue de la paix,COMPLET
Douleur intense. au dos. j'ai du mal à respirer. il a 50 ans et est diabétique. devant la gare,COMPLET
Douleur intense. à la tête. j'ai du mal à respirer. il a 50 ans et est diabétique. au cinéma,COMPLET
Je ne me sens pas bien. à la jambe. j'ai du mal à respirer. 25 ans aucun. au 5 rue de la paix,COMPLET
Il y a un blessé. au bras. il y a du sang. 40 ans cardiaque. devant la gare,COMPLET
Douleur intense. à la tête. il y a du sang. aucun antécédent,DEMANDE_LIEU
Douleur intense. à la tête. c'est gonflé. je suis asthmatique. à Rennes,COMPLET
Douleur intense. à la tête. je ne sens plus mes doigts. 40 ans cardiaque. au 5 rue de la paix,COMPLET
Douleur intense. à la jambe. j'ai du mal à respirer. 40 ans cardiaque. à Rennes,COMPLET
J'ai mal. à la jambe. il y a du sang. il a 50 ans et est diabétique,DEMANDE_LIEU
J'ai mal. au dos. je veux vomir. je suis asthmatique. devant la gare,COMPLET
Je ne me sens pas bien. au bras. c'est gonflé. 40 ans cardiaque. chez moi,COMPLET
J'ai mal. à la poitrine. il y a du sang. 25 ans aucun. à Rennes,COMPLET
Il y a un blessé. à la jambe. je ne sens plus mes doigts. aucun antécédent. chez moi,COMPLET
Douleur intense. au ventre. c'est gonflé,DEMANDE_ANTECEDENTS
Douleur intense. au bras. j'ai du mal à respirer. 25 ans aucun. devant la gare,COMPLET
Mon ami souffre. à la tête. je veux vomir. aucun antécédent. au cinéma,COMPLET
Douleur intense. au dos. j'ai du mal à respirer. je suis asthmatique. chez moi,COMPLET
Il y a un blessé. à la jambe. je ne sens plus mes doigts,DEMANDE_ANTECEDENTS
Je ne me sens pas bien. à la poitrine. je ne sens plus mes doigts. il a 50 ans et est diabétique,DEMANDE_LIEU
Je ne me sens pas bien. à la tête. je veux vomir. il a 50 ans et est diabétique,DEMANDE_LIEU
Mon ami souffre. au dos. je ne sens plus mes doigts,DEMANDE_ANTECEDENTS
J'ai mal. au bras. je ne sens plus mes doigts. 25 ans aucun. chez moi,COMPLET
Mon ami souffre. au dos. j'ai du mal à respirer. aucun antécédent. chez moi,COMPLET
Il y a un blessé. à la jambe. je ne sens plus mes doigts. 25 ans aucun,DEMANDE_LIEU
Mon ami souffre. à la jambe. c'est gonflé. 25 ans aucun,DEMANDE_LIEU
Mon ami souffre. à la tête. je veux vomir. 40 ans cardiaque,DEMANDE_LIEU
Mon ami souffre. au ventre. il y a du sang. je suis asthmatique. devant la gare,COMPLET
Douleur intense. à la jambe. je veux vomir. je suis asthmatique. devant la gare,COMPLET
Des gens se battent. une batte de baseball. au cinéma,COMPLET
J'ai mal. à la jambe. c'est gonflé. je suis asthmatique. au cinéma,COMPLET
Il y a un blessé. à la tête. j'ai des vertiges. je suis asthmatique. au 5 rue de la paix,COMPLET
J'ai mal. au ventre. je ne sens plus mes doigts. 40 ans cardiaque,DEMANDE_LIEU
Je ne me sens pas bien. au dos. j'ai du mal à respirer. aucun antécédent,DEMANDE_LIEU
Il y a un blessé. à la jambe. j'ai des vertiges,DEMANDE_ANTECEDENTS
Il y a un blessé. à la jambe. c'est gonflé. il a 50 ans et est diabétique. chez moi,COMPLET
Je ne me sens pas bien. à la jambe. je ne sens plus mes doigts. 40 ans cardiaque. au 5 rue de la paix,COMPLET
Mon ami souffre. au bras. il y a du sang. 40 ans cardiaque. chez moi,COMPLET
Je ne me sens pas bien. au bras. j'ai du mal à respirer. 25 ans aucun. au cinéma,COMPLET
Mon ami souffre. au ventre. il y a du sang. je suis asthmatique. à Rennes,COMPLET
Il y a un blessé. à la poitrine. je ne sens plus mes doigts. aucun antécédent. à Rennes,COMPLET
Je ne me sens pas bien. au dos. j'ai du mal à respirer. je suis asthmatique. au cinéma,COMPLET
Je ne me sens pas bien. à la jambe. il y a du sang. je suis asthmatique. au cinéma,COMPLET
Douleur intense. à la tête. il y a du sang. il a 50 ans et est diabétique,DEMANDE_LIEU
Je ne me sens pas bien. au dos. il y a du sang. aucun antécédent. au cinéma,COMPLET
Mon ami souffre. au bras. je ne sens plus mes doigts. il a 50 ans et est diabétique. au 5 rue de la paix,COMPLET
Je ne me sens pas bien. à la jambe. je ne sens plus mes doigts. 40 ans cardiaque. à Rennes,COMPLET
Douleur intense. à la poitrine. il y a du sang. aucun antécédent. au 5 rue de la paix,COMPLET
Il y a un blessé. à la poitrine. c'est gonflé. 40 ans cardiaque. au 5 rue de la paix,COMPLET
Il y a un blessé. au ventre,DEMANDE_SYMPTOMES
Mon ami souffre. au dos. je veux vomir. aucun antécédent. au cinéma,COMPLET
Mon ami souffre. au dos. j'ai du mal à respirer,DEMANDE_ANTECEDENTS
Douleur intense. au bras. je ne sens plus mes doigts. 25 ans aucun. devant la gare,COMPLET
Je ne me sens pas bien. à la jambe. j'ai des vertiges. je suis asthmatique,DEMANDE_LIEU
J'ai mal. au bras. il y a du sang. je suis asthmatique. devant la gare,COMPLET
Je ne me sens pas bien. à la tête. j'ai du mal à respirer. il a 50 ans et est diabétique,DEMANDE_LIEU
Mon ami souffre. au dos. j'ai du mal à respirer. je suis asthmatique,DEMANDE_LIEU
Mon ami souffre. à la tête. je veux vomir. je suis asthmatique,DEMANDE_LIEU
Il y a un blessé. à la tête. j'ai des vertiges. aucun antécédent. au cinéma,COMPLET
J'ai mal. au bras. j'ai des vertiges. 40 ans cardiaque,DEMANDE_LIEU
Mon ami souffre. à la poitrine. je ne sens plus mes doigts,DEMANDE_ANTECEDENTS
Douleur intense. à la tête. c'est gonflé. 40 ans cardiaque. chez moi,COMPLET
Cambriolage en cours. ils ont une arme. devant la gare,COMPLET
Douleur intense. au bras. je veux vomir. je suis asthmatique,DEMANDE_LIEU
Mon ami souffre. au ventre. c'est gonflé. il a 50 ans et est diabétique. au 5 rue de la paix,COMPLET
Mon ami souffre. au ventre. je veux vomir. aucun antécédent. à Rennes,COMPLET
J'ai mal. au bras. il y a du sang. je suis asthmatique. à Rennes,COMPLET
J'ai mal. au ventre. je ne sens plus mes doigts. 40 ans cardiaque. à Rennes,COMPLET
Mon ami souffre. au bras. je ne sens plus mes doigts. 25 ans aucun. au cinéma,COMPLET
Je ne me sens pas bien. au dos. j'ai du mal à respirer. je suis asthmatique. chez moi,COMPLET
Il y a un blessé. à la jambe. j'ai des vertiges. je suis asthmatique. chez moi,COMPLET
Il y a un blessé. au dos. j'ai des vertiges. il a 50 ans et est diabétique. devant la gare,COMPLET
Mon ami souffre. à la poitrine,DEMANDE_SYMPTOMES
Je ne me sens pas bien. à la tête. il y a du sang. je suis asthmatique. devant la gare,COMPLET
J'ai mal. à la tête. il y a du sang,DEMANDE_ANTECEDENTS
Mon ami souffre. à la poitrine. j'ai du mal à respirer. 40 ans cardiaque,DEMANDE_LIEU
Il y a un blessé. à la poitrine. c'est gonflé. il a 50 ans et est diabétique. au 5 rue de la paix,COMPLET
Douleur intense. à la tête. j'ai du mal à respirer. il a 50 ans et est diabétique,DEMANDE_LIEU
Cambriolage en cours. armé d'un pistolet. au 5 rue de la paix,COMPLET
Mon ami souffre. au dos. j'ai des vertiges. 25 ans aucun. à Rennes,COMPLET
J'ai mal. à la jambe. j'ai du mal à respirer. il a 50 ans et est diabétique. au cinéma,COMPLET
Je ne me sens pas bien. au bras. je ne sens plus mes doigts. 40 ans cardiaque. devant la gare,COMPLET
Douleur intense. à la jambe. j'ai du mal à respirer. 40 ans cardiaque,DEMANDE_LIEU
Mon ami souffre. à la poitrine. je veux vomir. 40 ans cardiaque,DEMANDE_LIEU
Je ne me sens pas bien. à la jambe. je veux vomir. 25 ans aucun,DEMANDE_LIEU
Il y a un blessé. à la jambe. il y a du sang. il a 50 ans et est diabétique. au 5 rue de la paix,COMPLET
J'ai mal. au dos. j'ai du mal à respirer. 25 ans aucun. au 5 rue de la paix,COMPLET
J'ai mal. à la jambe. je ne sens plus mes doigts. je suis asthmatique,DEMANDE_LIEU
Mon ami souffre. à la tête. c'est gonflé. 40 ans cardiaque. à Rennes,COMPLET
J'ai mal. à la poitrine. j'ai des vertiges. 25 ans aucun,DEMANDE_LIEU
Mon ami souffre. à la jambe. je veux vomir. aucun antécédent,DEMANDE_LIEU
Je ne me sens pas bien. à la poitrine. je ne sens plus mes doigts. 25 ans aucun,DEMANDE_LIEU
Douleur intense. au ventre. j'ai des vertiges. je suis asthmatique. devant la gare,COMPLET
Mon ami souffre. au dos. j'ai des vertiges. il a 50 ans et est diabétique. devant la gare,COMPLET
Je ne me sens pas bien. au dos. j'ai des vertiges,DEMANDE_ANTECEDENTS
Il y a un blessé. au bras. c'est gonflé. 25 ans aucun. à Rennes,COMPLET
Mon ami souffre. au bras. j'ai des vertiges. je suis asthmatique. chez moi,COMPLET
Douleur intense. à la jambe. je veux vomir. il a 50 ans et est diabétique. à Rennes,COMPLET
J'ai mal. à la tête. il y a du sang. il a 50 ans et est diabétique,DEMANDE_LIEU
Douleur intense. à la poitrine. je ne sens plus mes doigts. je suis asthmatique. au 5 rue de la paix,COMPLET
J'ai mal. à la jambe. c'est gonflé. je suis asthmatique,DEMANDE_LIEU
Mon ami souffre. au dos. c'est gonflé. il a 50 ans et est diabétique. chez moi,COMPLET
Il y a un blessé. à la tête. il y a du sang. 25 ans aucun,DEMANDE_LIEU
Mon ami souffre. à la tête,DEMANDE_SYMPTOMES
Douleur intense. à la tête. je ne sens plus mes doigts. 40 ans cardiaque. au cinéma,COMPLET
J'ai mal. à la tête. c'est gonflé. 25 ans aucun,DEMANDE_LIEU
Il y a un blessé. au ventre. je ne sens plus mes doigts. il a 50 ans et est diabétique. devant la gare,COMPLET
J'ai mal. à la jambe. je veux vomir. 25 ans aucun. au cinéma,COMPLET
Douleur intense. à la tête. je ne sens plus mes doigts. il a 50 ans et est diabétique. au 5 rue de la paix,COMPLET
Il y a un blessé. au bras. je veux vomir. il a 50 ans et est diabétique,DEMANDE_LIEU
Douleur intense. à la jambe. je ne sens plus mes doigts. je suis asthmatique. à Rennes,COMPLET
Il y a un braquage. je n'ai pas vu d'arme. chez moi,COMPLET
Douleur intense. à la poitrine. j'ai des vertiges. il a 50 ans et est diabétique. devant la gare,COMPLET
Douleur intense. à la tête. j'ai des vertiges. 25 ans aucun. à Rennes,COMPLET
Douleur intense. à la poitrine. il y a du sang. aucun antécédent,DEMANDE_LIEU
J'ai mal. à la poitrine. il y a du sang. il a 50 ans et est diabétique. au 5 rue de la paix,COMPLET
Il y a un blessé. au bras. j'ai des vertiges. 40 ans cardiaque,DEMANDE_LIEU
Je ne me sens pas bien au ventre,DEMANDE_SYMPTOMES
Il y a un blessé. au dos. il y a du sang. 25 ans aucun,DEMANDE_LIEU
J'ai mal. à la poitrine. j'ai du mal à respirer,DEMANDE_ANTECEDENTS
Je ne me sens pas bien. au ventre. j'ai des vertiges. aucun antécédent. à Rennes,COMPLET
J'ai mal. au bras. j'ai du mal à respirer. aucun antécédent. au cinéma,COMPLET
J'ai mal. au bras. j'ai du mal à respirer. 25 ans aucun. chez moi,COMPLET
J'ai mal. à la jambe. je ne sens plus mes doigts. je suis asthmatique. à Rennes,COMPLET
Il y a un blessé. au bras. je veux vomir. aucun antécédent. à Rennes,COMPLET
Mon ami souffre. à la poitrine. c'est gonflé. 25 ans aucun. au cinéma,COMPLET
J'ai mal. au ventre. j'ai des vertiges. aucun antécédent,DEMANDE_LIEU
Je ne me sens pas bien. à la tête. j'ai du mal à respirer. 25 ans aucun. au cinéma,COMPLET
Douleur intense. à la jambe. je ne sens plus mes doigts. 25 ans aucun. chez moi,COMPLET
Cambriolage en cours. ils ont une arme. au 5 rue de la paix,COMPLET
Mon ami souffre. au ventre. il y a du sang. je suis asthmatique. chez moi,COMPLET
Je ne me sens pas bien. au ventre. j'ai du mal à respirer. 40 ans cardiaque. chez moi,COMPLET
Mon ami souffre. à la tête. il y a du sang. 25 ans aucun. devant la gare,COMPLET
Douleur intense. au bras. j'ai du mal à respirer,DEMANDE_ANTECEDENTS
Douleur intense. au bras. je ne sens plus mes doigts. 40 ans cardiaque. au 5 rue de la paix,COMPLET
Mon ami souffre. à la tête. je ne sens plus mes doigts. 40 ans cardiaque. au cinéma,COMPLET
Mon ami souffre. à la tête. j'ai des vertiges. il a 50 ans et est diabétique. au cinéma,COMPLET
Mon ami souffre. au bras. je veux vomir. je suis asthmatique,DEMANDE_LIEU
Douleur intense. à la tête. c'est gonflé. 40 ans cardiaque,DEMANDE_LIEU
Douleur intense. à la tête. je veux vomir. je suis asthmatique. au cinéma,COMPLET
