texte,domaine,priorite
un pont a pris feu!,POMPIER,Haute
ma femme a perdu ma jambe ma vie est en danger,MÉDICAL,Haute
le toit menace de s'écrouler!,POMPIER,Moyenne
ma session affiche une erreur,ACCÈS,Moyenne
une maison est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
je très mal au ventre vite,MÉDICAL,Moyenne
la fibre ne répond plus,INFRA,Haute
une usine a pris feu ma vie est en danger,POMPIER,Haute
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
le vidéoprojecteur a un faux contact,MATÉRIEL,Basse
quelqu'un rode autour de la maison ma vie est en danger,POLICE,Moyenne
des gens tire sur la foule,POLICE,Haute
une maison à exploser,POMPIER,Haute
la webcam ne s'allume pas,MATÉRIEL,Basse
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
une usine menace de s'écrouler vite,POMPIER,Moyenne
un homme me suit dans la rue,POLICE,Moyenne
un entrepot est rempli de fumée!,POMPIER,Haute
j'ai perdu ma jambe ma vie est en danger,MÉDICAL,Haute
quelqu'un me suit dans la rue,POLICE,Moyenne
le toit est rempli de fumée,POMPIER,Haute
il y a du feu chez moi,POMPIER,Haute
une maison menace de s'écrouler vite,POMPIER,Moyenne
un gars veut me poignarder je suis en danger,POLICE,Haute
le wifi est en panne,INFRA,Haute
mon collègue a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
un batiment vient de tomber,POMPIER,Haute
une centrale nucléaire est en train de s'écrouler!,POMPIER,Moyenne
quelqu'un me suit dans la rue!,POLICE,Moyenne
le parking est rempli de fumée vite,POMPIER,Haute
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
j'ai avalé du poison.,MÉDICAL,Haute
une usine est en train de s'écrouler.,POMPIER,Moyenne
un immeuble est en train de s'écrouler je suis en danger,POMPIER,Moyenne
mon compte est verrouillé,ACCÈS,Moyenne
mon collègue a très mal au ventre aidez-moi,MÉDICAL,Moyenne
il y a un braquage,POLICE,Haute
mon compte n'est pas reconnu,ACCÈS,Moyenne
je le nez cassé aidez-moi,MÉDICAL,Moyenne
le wifi a fondu,INFRA,Haute
il y a quelqu'un qui tire,POLICE,Haute
un inconnu est entré par effraction vite,POLICE,Moyenne
une voiture menace de s'écrouler.,POMPIER,Moyenne
j'ai perdu ma jambe,MÉDICAL,Haute
un voleur a un fusil,POLICE,Haute
quelqu'un a très mal au dos vite,MÉDICAL,Moyenne
un fou braque la banque je suis en danger,POLICE,Haute
un batiment est en train de s'écrouler je suis en danger,POMPIER,Moyenne
je le bras arraché ma vie est en danger,MÉDICAL,Haute
j'ai du mal à respirer je suis en danger,MÉDICAL,Haute
un entrepot est en train de s'écrouler!,POMPIER,Moyenne
mon fils a le bras arraché!,MÉDICAL,Haute
le serveur est en panne,INFRA,Haute
un entrepot est en train de s'écrouler!,POMPIER,Moyenne
l'hyperviseur ne répond plus,INFRA,Haute
un tueur veut me poignarder je suis en danger,POLICE,Haute
la forêt est en train de s'écrouler aidez-moi,POMPIER,Moyenne
ma femme a très mal au ventre aidez-moi,MÉDICAL,Moyenne
le toit a été soufflé par une explosion.,POMPIER,Haute
une maison menace de s'écrouler!,POMPIER,Moyenne
quelqu'un a cassé mon bras.,MÉDICAL,Moyenne
il y'a une aggression,POLICE,Haute
la fibre a une latence énorme,INFRA,Haute
j'ai très mal au dos ma vie est en danger,MÉDICAL,Moyenne
je du sang partout vite,MÉDICAL,Haute
mon accès est verrouillé,ACCÈS,Moyenne
mon mot de passe affiche une erreur,ACCÈS,Moyenne
la webcam clignote sans arrêt,MATÉRIEL,Basse
mon login n'est pas reconnu,ACCÈS,Moyenne
ma vie est en danger,POLICE,Haute
un gars m'a tiré dessus vite,POLICE,Haute
mon cœur me fait mal,MÉDICAL,Haute
ma session est expiré,ACCÈS,Moyenne
le wifi est en panne,INFRA,Haute
il y a un gars qui m'a tirer dessus,POLICE,Haute
une maison à exploser,POMPIER,Haute
mon pc marche plus,MATÉRIEL,Basse
ma session ne marche plus,ACCÈS,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon fils a cassé mon bras!,MÉDICAL,Moyenne
un tueur essaie de rentrer de force aidez-moi,POLICE,Moyenne
mon collègue a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
mon casque est cassé,MATÉRIEL,Basse
mon mot de passe est expiré,ACCÈS,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
ma session ne marche plus,ACCÈS,Moyenne
un immeuble a pris feu aidez-moi,POMPIER,Haute
mon coeur me fait mal,MÉDICAL,Haute
une maison à exploser,POMPIER,Haute
une voiture s'est effondré!,POMPIER,Haute
mon casque est bloqué,MATÉRIEL,Basse
une voiture est rempli de fumée ma vie est en danger,POMPIER,Haute
le serveur a une latence énorme,INFRA,Haute
mon cœur me fait mal,MÉDICAL,Haute
un immeuble brûle aidez-moi,POMPIER,Haute
ma femme a le nez cassé aidez-moi,MÉDICAL,Moyenne
mon compte est verrouillé,ACCÈS,Moyenne
il y'a une aggression,POLICE,Haute
quelqu'un a très mal au ventre aidez-moi,MÉDICAL,Moyenne
un entrepot s'est effondré,POMPIER,Haute
une voiture est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
des gens me suit dans la rue.,POLICE,Moyenne
un individu me frappe au visage aidez-moi,POLICE,Haute
un fou a sorti une arme aidez-moi,POLICE,Haute
le vpn est expiré,ACCÈS,Moyenne
il y a un braquage,POLICE,Haute
quelqu'un a très mal au ventre je suis en danger,MÉDICAL,Moyenne
je me suis fais tirer dessus,POLICE,Haute
le vpn me refuse l'accès,ACCÈS,Moyenne
un fou me suit dans la rue!,POLICE,Moyenne
ma femme a très mal au ventre aidez-moi,MÉDICAL,Moyenne
il y a quelqu'un qui tire,POLICE,Haute
la forêt menace de s'écrouler je suis en danger,POMPIER,Moyenne
une centrale nucléaire menace de s'écrouler.,POMPIER,Moyenne
mon téléphone est mort,MATÉRIEL,Basse
mon login est verrouillé,ACCÈS,Moyenne
il y a un braquage,POLICE,Haute
le vpn tourne en boucle,ACCÈS,Moyenne
le wifi est tombé,INFRA,Haute
une centrale nucléaire s'est effondré.,POMPIER,Haute
mon téléphone a l'écran fissuré,MATÉRIEL,Basse
j'ai perdu ma jambe,MÉDICAL,Haute
le wifi ne répond plus,INFRA,Haute
mon authentification me refuse l'accès,ACCÈS,Moyenne
une usine menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
l'hyperviseur est en panne,INFRA,Haute
mon mot de passe n'est pas reconnu,ACCÈS,Moyenne
un pont brûle je suis en danger,POMPIER,Haute
un homme est entré par effraction je suis en danger,POLICE,Moyenne
il y'a une aggression,POLICE,Haute
un homme braque la banque vite,POLICE,Haute
ma souris est cassé,MATÉRIEL,Basse
mon compte ne marche plus,ACCÈS,Moyenne
ma femme a perdu un oeil,MÉDICAL,Haute
mon téléphone fait un bruit bizarre,MATÉRIEL,Basse
j'ai très mal au coeur vite,MÉDICAL,Haute
une centrale nucléaire a pris feu.,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
mon ami a le nez cassé vite,MÉDICAL,Moyenne
la base de données affiche une erreur 500,INFRA,Haute
le datacenter a fondu,INFRA,Haute
une centrale nucléaire menace de s'écrouler je suis en danger,POMPIER,Moyenne
un batiment fuit du gaz!,POMPIER,Haute
je très mal au ventre,MÉDICAL,Moyenne
mon compte ne marche plus,ACCÈS,Moyenne
mon compte est verrouillé,ACCÈS,Moyenne
mon compte est expiré,ACCÈS,Moyenne
ma souris est cassé,MATÉRIEL,Basse
il y a un gars qui m'a tirer dessus,POLICE,Haute
une centrale nucléaire est en train de s'écrouler!,POMPIER,Moyenne
mon pc est mort,MATÉRIEL,Basse
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
ma souris ne s'allume pas,MATÉRIEL,Basse
mon login tourne en boucle,ACCÈS,Moyenne
le vpn n'est pas reconnu,ACCÈS,Moyenne
mon mot de passe me refuse l'accès,ACCÈS,Moyenne
mon fils a très mal au dos vite,MÉDICAL,Moyenne
des gens rode autour de la maison ma vie est en danger,POLICE,Moyenne
il y a un tueur en série,POLICE,Haute
un individu essaie de rentrer de force,POLICE,Moyenne
le vidéoprojecteur ne répond plus,MATÉRIEL,Basse
un batiment est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
ma session n'est pas reconnu,ACCÈS,Moyenne
mon pc est cassé,MATÉRIEL,Basse
un immeuble est en train de s'écrouler!,POMPIER,Moyenne
mon mot de passe me refuse l'accès,ACCÈS,Moyenne
mon ex veut me poignarder vite,POLICE,Haute
il y'a une aggression,POLICE,Haute
mon mot de passe n'est pas reconnu,ACCÈS,Moyenne
le parking est en train de s'écrouler vite,POMPIER,Moyenne
mon clavier fait un bruit bizarre,MATÉRIEL,Basse
mon login n'est pas reconnu,ACCÈS,Moyenne
j'ai cassé mon nez,MÉDICAL,Moyenne
un pont menace de s'écrouler aidez-moi,POMPIER,Moyenne
le parking menace de s'écrouler,POMPIER,Moyenne
une maison est en train de s'écrouler.,POMPIER,Moyenne
un gars me suit dans la rue!,POLICE,Moyenne
le toit est en feu aidez-moi,POMPIER,Haute
ma session affiche une erreur,ACCÈS,Moyenne
mon pc est mort,MATÉRIEL,Basse
un immeuble menace de s'écrouler!,POMPIER,Moyenne
une voiture vient d'exploser ma vie est en danger,POMPIER,Haute
mon ex est entré par effraction,POLICE,Moyenne
j'ai perdu ma jambe,MÉDICAL,Haute
le routeur est tombé,INFRA,Haute
ma femme a du mal à respirer ma vie est en danger,MÉDICAL,Haute
mon fils a perdu un oeil je suis en danger,MÉDICAL,Haute
mon écran ne s'allume pas,MATÉRIEL,Basse
un tueur me menace avec une arme,POLICE,Haute
j'ai du sang,MÉDICAL,Moyenne
mon fils a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
mon fils a le crâne ouvert,MÉDICAL,Haute
le parking est en train de s'écrouler.,POMPIER,Moyenne
quelqu'un essaie de rentrer de force.,POLICE,Moyenne
un fou a sorti une arme aidez-moi,POLICE,Haute
ma souris fait un bruit bizarre,MATÉRIEL,Basse
il y'a une aggression,POLICE,Haute
une centrale nucléaire menace de s'écrouler,POMPIER,Moyenne
mon clavier marche plus,MATÉRIEL,Basse
une centrale nucléaire est en feu.,POMPIER,Haute
le serveur a une latence énorme,INFRA,Haute
mon accès affiche une erreur,ACCÈS,Moyenne
ma femme a avalé du poison.,MÉDICAL,Haute
un immeuble brûle,POMPIER,Haute
un pont menace de s'écrouler je suis en danger,POMPIER,Moyenne
un voleur essaie de rentrer de force ma vie est en danger,POLICE,Moyenne
une maison à exploser,POMPIER,Haute
quelqu'un me suit dans la rue ma vie est en danger,POLICE,Moyenne
ma femme a une grosse hémorragie aidez-moi,MÉDICAL,Haute
la fibre affiche une erreur 500,INFRA,Haute
le toit est en train de s'écrouler je suis en danger,POMPIER,Moyenne
une usine s'est effondré.,POMPIER,Haute
la fibre affiche une erreur 500,INFRA,Haute
un inconnu braque la banque aidez-moi,POLICE,Haute
la fibre a crashé,INFRA,Haute
mon login est expiré,ACCÈS,Moyenne
il y a un braquage,POLICE,Haute
un tueur a un couteau.,POLICE,Haute
mon casque ne répond plus,MATÉRIEL,Basse
un pont vient d'exploser aidez-moi,POMPIER,Haute
quelqu'un a sorti une arme!,POLICE,Haute
des gens a sorti une arme,POLICE,Haute
mon cœur me fait mal,MÉDICAL,Haute
un homme me menace avec une arme ma vie est en danger,POLICE,Haute
ma souris marche plus,MATÉRIEL,Basse
j'ai perdu ma jambe ma vie est en danger,MÉDICAL,Haute
je perdu ma jambe je suis en danger,MÉDICAL,Haute
ma session ne marche plus,ACCÈS,Moyenne
la webcam ne s'allume pas,MATÉRIEL,Basse
le parking est en feu vite,POMPIER,Haute
le datacenter a une latence énorme,INFRA,Haute
j'ai perdu ma jambe ma vie est en danger,MÉDICAL,Haute
des gens me menace avec une arme je suis en danger,POLICE,Haute
mon collègue a très mal au coeur aidez-moi,MÉDICAL,Haute
le datacenter affiche une erreur 500,INFRA,Haute
des gens essaie de rentrer de force,POLICE,Moyenne
mon authentification ne marche plus,ACCÈS,Moyenne
une usine vient d'exploser!,POMPIER,Haute
une maison à exploser,POMPIER,Haute
quelqu'un est entré par effraction!,POLICE,Moyenne
le vpn est expiré,ACCÈS,Moyenne
la forêt est rempli de fumée ma vie est en danger,POMPIER,Haute
un tueur a un fusil ma vie est en danger,POLICE,Haute
ma souris est bloqué,MATÉRIEL,Basse
j'ai avalé du poison,MÉDICAL,Haute
le serveur affiche une erreur 500,INFRA,Haute
une maison a été soufflé par une explosion.,POMPIER,Haute
le vpn tourne en boucle,ACCÈS,Moyenne
le serveur affiche une erreur 500,INFRA,Haute
un immeuble menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
une centrale nucléaire a pris feu ma vie est en danger,POMPIER,Haute
je saigne du doigt,MÉDICAL,Basse
un entrepot fuit du gaz ma vie est en danger,POMPIER,Haute
mon collègue a le nez cassé je suis en danger,MÉDICAL,Moyenne
j'ai du sang,MÉDICAL,Moyenne
des gens a un fusil je suis en danger,POLICE,Haute
le vpn affiche une erreur,ACCÈS,Moyenne
mon écran a l'écran fissuré,MATÉRIEL,Basse
le toit menace de s'écrouler je suis en danger,POMPIER,Moyenne
le parking vient d'exploser,POMPIER,Haute
un pont fuit du gaz ma vie est en danger,POMPIER,Haute
il y a quelqu'un qui tire,POLICE,Haute
mon casque est bloqué,MATÉRIEL,Basse
mon ex veut me poignarder aidez-moi,POLICE,Haute
je du mal à respirer,MÉDICAL,Haute
le parking est rempli de fumée ma vie est en danger,POMPIER,Haute
j'ai perdu ma jambe,MÉDICAL,Haute
mon ami a cassé mon bras aidez-moi,MÉDICAL,Moyenne
un fou me suit dans la rue!,POLICE,Moyenne
la fibre est tombé,INFRA,Haute
l'hyperviseur a une latence énorme,INFRA,Haute
le routeur affiche une erreur 500,INFRA,Haute
j'ai très mal au ventre.,MÉDICAL,Moyenne
mon ami a très mal au dos!,MÉDICAL,Moyenne
mon fils a une grosse hémorragie vite,MÉDICAL,Haute
un tueur a sorti une arme je suis en danger,POLICE,Haute
ma session est bloqué,ACCÈS,Moyenne
mon authentification est bloqué,ACCÈS,Moyenne
un inconnu est entré par effraction ma vie est en danger,POLICE,Moyenne
mon écran marche plus,MATÉRIEL,Basse
mon mot de passe est bloqué,ACCÈS,Moyenne
mon compte a été piraté,ACCÈS,Moyenne
un inconnu me menace avec une arme!,POLICE,Haute
il y a du feu chez moi,POMPIER,Haute
mon ami a une grosse hémorragie aidez-moi,MÉDICAL,Haute
il y a un tueur en série,POLICE,Haute
un immeuble menace de s'écrouler!,POMPIER,Moyenne
mon login est verrouillé,ACCÈS,Moyenne
j'ai du sang,MÉDICAL,Moyenne
mon login affiche une erreur,ACCÈS,Moyenne
il y a quelqu'un qui tire,POLICE,Haute
une maison menace de s'écrouler!,POMPIER,Moyenne
je saigne,MÉDICAL,Moyenne
