texte,domaine,severite,impact,cible,friction
"Enfant seul, aide vite",POMPIER,4,1,0,MANQUE_LIEU
Nouvelle situation d'urgence: enfant seule route!,POMPIER,4,1,0,MANQUE_LIEU
Serveur paniqué! Coupure imminente!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Accès interdit! Serveur compromis!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Alerte! Vérifiez serveur!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Serveur écrabouillé! Urgent!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Serveur inopérant! Réparer vite!,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
"Panic panique, blackout hospital.",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Hôpital blackout? Urgent!,ÉNERGIE & INFRASTRUCTURES,3,2,4,COMPLET
Blackout at hospital. Call help.,ÉNERGIE & INFRASTRUCTURES,2,3,0,MANQUE_LIEU
All lights off? Hospital!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_CONTEXTE
Blackout in hospital. Need power.,ÉNERGIE & INFRASTRUCTURES,3,2,4,COMPLET
"Chien dangereux, qu'est-ce que ça veut dire?",ANIMALIER,4,1,0,MANQUE_LIEU
Mon chien a bité quelqu'un!,ANIMALIER,3,2,4,MANQUE_CONTEXTE
"Aide, mon chien est sauvage!",ANIMALIER,3,2,4,MANQUE_LIEU
Qu'est-ce que je fais avec mon chien?,ANIMALIER,2,1,0,MANQUE_LIEU
Mon chien a des dents aiguës!,ANIMALIER,3,2,4,MANQUE_CONTEXTE
Feu tricolore HS près de la rue Verte,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Feu rouge HS sur avenue Blanche,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Feu jaune HS près du marché,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Au feu,TRANSPORT & MOBILITÉ,4,1,0,MANQUE_LIEU
Ça saigne,TRANSPORT & MOBILITÉ,3,2,2,MANQUE_CONTEXTE
À l'aide,TRANSPORT & MOBILITÉ,2,1,0,MANQUE_LIEU
Vite police,TRANSPORT & MOBILITÉ,3,2,4,MANQUE_LIEU
Répare vite,TRANSPORT & MOBILITÉ,1,1,0,MANQUE_CONTEXTE
Égouts débordant! Urgent!,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Problème d'égouts! Contactez les pompiers!,SERVICES URBAINS,3,2,0,MANQUE_LIEU
Silo d'eau en panne! Nécessite aide!,SERVICES URBAINS,4,2,0,MANQUE_LIEU
Le système d'égouts est surchargé! N'attendez pas!,SERVICES URBAINS,3,2,0,MANQUE_LIEU
Problème grave avec les égouts! Urgent!,SERVICES URBAINS,4,2,0,MANQUE_LIEU
Connexion perdue,DIGITAL SUPPORT,3,2,0,MANQUE_LIEU
Base prod inaccessible,DIGITAL SUPPORT,4,3,2,MANQUE_LIEU
Problème de connexion,DIGITAL SUPPORT,2,1,0,MANQUE_LIEU
Perte d'accès critique,DIGITAL SUPPORT,4,4,2,MANQUE_LIEU
Base prod non responsive,DIGITAL SUPPORT,3,3,2,MANQUE_LIEU
Au secours,POMPIER,3,2,0,MANQUE_LIEU
TGV bloqué à Paris. Contacte immédiatement.,TRANSPORT & MOBILITÉ,4,3,2,MANQUE_LIEU
Problème moteur TGV Lyon-Marseille.,TRANSPORT & MOBILITÉ,3,2,4,MANQUE_CONTEXTE
TGV bloqué Paris-Lille. Réparation nécessaire.,TRANSPORT & MOBILITÉ,3,2,4,MANQUE_LIEU
Problème électricité TGV Nice-Marseille.,TRANSPORT & MOBILITÉ,2,1,0,MANQUE_LIEU
TGV bloqué Toulouse-Bordeaux. Urgent!,TRANSPORT & MOBILITÉ,4,3,2,MANQUE_LIEU
Réseau down. Urgent.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Connexion perdue. Vite s'il vous plaît.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Aucune connexion. Résouds-le.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Serveur inaccessible. Action immédiate.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Réseau hors ligne. Vite!,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
SOS infra,ÉNERGIE & INFRASTRUCTURES,3,2,4,MANQUE_CONTEXTE
Serveur cassé ?,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Ma connexion bloque.,CYBERSÉCURITÉ,2,3,4,MANQUE_IDENTIFIANT
Connexion mauvaise ?,CYBERSÉCURITÉ,1,3,4,MANQUE_CONTEXTE
Pylône effondré!,ÉNERGIE & INFRASTRUCTURES,4,2,4,MANQUE_CONTEXTE
Problème avec le pylône!,ÉNERGIE & INFRASTRUCTURES,3,1,0,MANQUE_LIEU
Coupure électrique proche.,ÉNERGIE & INFRASTRUCTURES,4,2,4,MANQUE_CONTEXTE
Alerte! Pylône en danger.,ÉNERGIE & INFRASTRUCTURES,3,2,4,MANQUE_CONTEXTE
Train déraillé,TRANSPORT & MOBILITÉ,4,1,0,MANQUE_LIEU
Vitesse excessive,TRANSPORT & MOBILITÉ,4,1,0,MANQUE_CONTEXTE
Réseau internet indisponible,TRANSPORT & MOBILITÉ,2,3,0,MANQUE_LIEU
Train déraillé près de Paris.,TRANSPORT & MOBILITÉ,4,2,0,MANQUE_LIEU
Problème d'embrayage!,TRANSPORT & MOBILITÉ,3,1,2,MANQUE_CONTEXTE
Train arrêté dans le tunnel.,TRANSPORT & MOBILITÉ,4,3,0,MANQUE_LIEU
Feuvert en voiture.,TRANSPORT & MOBILITÉ,2,1,4,MANQUE_LIEU
Train bloqué sur le pont.,TRANSPORT & MOBILITÉ,4,2,0,MANQUE_LIEU
Serveur DNS down ?,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Serveur DNS ne répond pas !,DIGITAL SUPPORT,4,2,0,MANQUE_CONTEXTE
"DNS down, quelqu'un aidez-moi ?",DIGITAL SUPPORT,4,2,0,MANQUE_LIEU
"Serveur DNS hors ligne, aidez-moi !",DIGITAL SUPPORT,4,2,0,MANQUE_CONTEXTE
Enfant veut savoir l'heure,NON_URGENT,1,1,0,MANQUE_LIEU
Météo aujourd'hui ?,NON_URGENT,1,1,0,MANQUE_LIEU
"Quelle est l'heure, papa ?",NON_URGENT,1,1,0,MANQUE_LIEU
Aujourd'hui fait-il beau ?,NON_URGENT,1,1,0,MANQUE_LIEU
Enfant demande l'heure,NON_URGENT,1,1,0,MANQUE_LIEU
Système de tirs bloqué,NON_URGENT,1,1,0,MANQUE_LIEU
Mauvais pointage ennemi,NON_URGENT,1,1,0,MANQUE_LIEU
Ralentissement de la caméra,NON_URGENT,1,1,0,MANQUE_LIEU
Problème de charge du clip,NON_URGENT,1,1,0,MANQUE_LIEU
Lenteur de l'IA ennemie,NON_URGENT,1,1,0,MANQUE_LIEU
Pylône échoué! Aide!,ÉNERGIE & INFRASTRUCTURES,4,2,0,MANQUE_LIEU
Pylône croule! Urgent!,ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_LIEU
Pylône tombe! Secours!,ÉNERGIE & INFRASTRUCTURES,4,2,0,MANQUE_LIEU
Pylône écrabouillé! Alerte!,ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_LIEU
Pylône cassé! N'importe quoi!,ÉNERGIE & INFRASTRUCTURES,4,2,0,MANQUE_LIEU
Problème route,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Trou béant route,SERVICES URBAINS,3,2,4,MANQUE_CONTEXTE
"Route cassée, help!",SERVICES URBAINS,3,2,4,MANQUE_CONTEXTE
"Trou béant, urgent",SERVICES URBAINS,4,1,0,MANQUE_LIEU
Perte accès base prod critique.,DIGITAL SUPPORT,4,1,0,MANQUE_CONTEXTE
Reboot prod en cours.,DIGITAL SUPPORT,3,2,2,MANQUE_LIEU
Alerte batterie faible prod.,DIGITAL SUPPORT,2,3,4,MANQUE_MESSAGE_ERREUR
Check network prod maintenant.,DIGITAL SUPPORT,1,2,0,MANQUE_LIEU
Prod hors ligne imminemment.,DIGITAL SUPPORT,4,1,0,MANQUE_CONTEXTE
Individu rôdant. Voie libre ?,POLICE,4,1,0,MANQUE_LIEU
Personne au tableau?,POLICE,3,2,2,MANQUE_CONTEXTE
Fuyant. Direction ou heure ?,POLICE,4,1,0,MANQUE_LIEU
Voyageur inquiet. Qui est-il ?,POLICE,3,2,2,MANQUE_CONTEXTE
Individu fuyant. Vitesse ?,POLICE,4,1,0,MANQUE_LIEU
"Enfant perdu, aidez-moi !",SERVICES URBAINS,4,1,0,MANQUE_LIEU
Néed help! Kid missing!,SERVICES URBAINS,4,1,0,MANQUE_LIEU
"Kid stuck, help quickly!",SERVICES URBAINS,4,1,0,MANQUE_LIEU
"Trou béant, kid lost!",SERVICES URBAINS,4,1,0,MANQUE_LIEU
"Child missing, urgent help needed!",SERVICES URBAINS,4,1,0,MANQUE_LIEU
Pizza par erreur ?,NON_URGENT,1,1,0,MANQUE_LIEU
Pizzeria proche ?,NON_URGENT,2,1,0,MANQUE_LIEU
Commande cancelée ?,NON_URGENT,3,1,0,MANQUE_LIEU
Retour magasin ?,NON_URGENT,2,1,0,MANQUE_LIEU
Merci de l'aider.,NON_URGENT,1,1,0,MANQUE_LIEU
Alerte chien dangereux,ANIMALIER,4,1,0,MANQUE_LIEU
Chien agressif capture,ANIMALIER,3,2,4,MANQUE_CONTEXTE
Chien blessé besoin aide,ANIMALIER,2,3,4,MANQUE_LIEU
Gaz suspect,POMPIER,4,1,0,MANQUE_LIEU
Fuite d'air,POMPIER,3,2,4,MANQUE_IDENTIFIANT
Gaz dans la rue,POMPIER,4,1,0,MANQUE_LIEU
Fuite de gaz ici,POMPIER,3,2,4,MANQUE_IDENTIFIANT
Problème gaz,POMPIER,4,1,0,MANQUE_LIEU
Menace suicidaire pont,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Personne menace suicide pont,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Suicide à venir pont,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Mensonge suicide pont,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Suivez-nous,RISQUES ENVIRONNEMENTAUX,3,2,4,COMPLET
L'hôpital est en panne.,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Allez au hôpital!,ÉNERGIE & INFRASTRUCTURES,3,2,4,MANQUE_CONTEXTE
Blackout à l'hôpital.,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
L'hôpital est éteint.,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Arrêtez immédiatement le maltraitance!,ANIMALIER,4,1,0,MANQUE_LIEU
Aidez-nous à protéger l'animal!,ANIMALIER,3,2,0,MANQUE_CONTEXTE
Le chien est en danger!,ANIMALIER,4,1,0,MANQUE_LIEU
Arrêtez ce maltraitance!,ANIMALIER,4,1,0,MANQUE_LIEU
Appelez l'urgence immédiatement!,ANIMALIER,4,1,0,MANQUE_LIEU
Il y a un pote au hospital qui dit avoir perdu la puissance.,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"J'ai cru qu'il faisait noir, mais c'est le hospital qui a perdu la lumière.",ÉNERGIE & INFRASTRUCTURES,3,1,0,MANQUE_LIEU
Avez-vous vu le noir total à l'hôpital?,ÉNERGIE & INFRASTRUCTURES,3,1,0,MANQUE_LIEU
"J'ai perdu la lumière dans le hôpital, y a-t-il une panne d'électricité?",ÉNERGIE & INFRASTRUCTURES,3,1,0,MANQUE_LIEU
"Il y a une panne d'électricité à l'hôpital, quelqu'un doit l'arrêter.",ÉNERGIE & INFRASTRUCTURES,3,1,0,MANQUE_LIEU
Alerte policière : cambriolage en cours !,POLICE,4,2,0,MANQUE_LIEU
"Vigile, cambriolage immédiatement !",POLICE,4,2,0,MANQUE_LIEU
Urgence police : cambriolage !,POLICE,4,2,0,MANQUE_LIEU
Aide immédiate nécessaire!,MÉDICAL,4,1,0,MANQUE_LIEU
Emergency contact needed for a serious bleed!,MÉDICAL,4,1,0,MANQUE_LIEU
Help! I'm having a severe hemorrhage!,MÉDICAL,4,1,0,MANQUE_LIEU
Call an ambulance now! Severe hemorrhage!,MÉDICAL,4,1,0,MANQUE_LIEU
Immediate help required for severe bleeding!,MÉDICAL,4,1,0,MANQUE_LIEU
Alerte!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Egouts débordant. Aide!,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Séwer overflow. Location?,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Egouts s'embouchent. Urgent!,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Séwer overflow. Quick fix?,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Egouts débordant. Location needed.,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Alerte blackout total à l'hôpital central,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Trouvez immédiatement l'alternateur principal,ÉNERGIE & INFRASTRUCTURES,4,1,2,MANQUE_LIEU
Rapportez le panneau de commande à l'urgence,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Localisez la batterie de réserve,ÉNERGIE & INFRASTRUCTURES,4,1,2,MANQUE_LIEU
Contactez la direction médicale immédiatement,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Serveur DNS inaccessible.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
DNS non répondant.,DIGITAL SUPPORT,3,2,4,MANQUE_CONTEXTE
Problème DNS critique.,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Serveur DNS hors ligne.,DIGITAL SUPPORT,3,2,4,MANQUE_CONTEXTE
Boue sur route ! Rester calme.,RISQUES ENVIRONNEMENTAUX,2,1,0,MANQUE_LIEU
Alerte boue ! Déplacement impossible ?,RISQUES ENVIRONNEMENTAUX,3,2,4,MANQUE_LIEU
Coulée de boue sur autoroute.,RISQUES ENVIRONNEMENTAUX,3,2,4,MANQUE_LIEU
Boue sur route ! Quelqu'un là ?,RISQUES ENVIRONNEMENTAUX,2,1,0,MANQUE_LIEU
"Désolé, mon réseau est coupé. Qu'est-ce que c'est ?",DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Ma batterie est tombée et mon PC n'allume plus !,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Quelle est cette erreur ? Mon système est complètement f***é !,DIGITAL SUPPORT,4,1,0,MANQUE_MESSAGE_ERREUR
Mon ordinateur ne répond plus. Quelle catastrophe !,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Je n'ai pas accès à mon email. Qu'est-ce qui se passe ?,DIGITAL SUPPORT,4,1,0,MANQUE_LIEU
Troll: SDF hypothermie à la rue!,ASSISTANCE SOCIALE,3,2,4,MANQUE_CONTEXTE
"Faux Numéro: Urgent! SDF hypothermie, aide immédiate!",ASSISTANCE SOCIALE,4,3,2,MANQUE_LIEU
"Troll: SDF hypothermie, ongler cassé!",ASSISTANCE SOCIALE,2,1,0,MANQUE_LIEU
"Faux Numéro: SDF hypothermie, pizza froide!",ASSISTANCE SOCIALE,1,1,0,MANQUE_LIEU
"Troll: SDF hypothermie, aide urgente!",ASSISTANCE SOCIALE,3,2,4,MANQUE_LIEU
Ransomware! Serveur planté!,CYBERSÉCURITÉ,4,3,2,MANQUE_CONTEXTE
Ma machine est cryptée!,CYBERSÉCURITÉ,4,3,2,MANQUE_LIEU
J'ai perdu mes fichiers! Urgent!,CYBERSÉCURITÉ,4,3,2,MANQUE_LIEU
Ma connexion internet a disparu!,CYBERSÉCURITÉ,4,3,2,MANQUE_LIEU
Serveur piraté! Demande Bitcoin!,CYBERSÉCURITÉ,4,3,2,MANQUE_LIEU
URGENT : Infarctus suspecté. Personne à l'hôpital?,MÉDICAL,4,1,0,MANQUE_LIEU
Cas d'infarctus suspecté. Besoin de secours immédiate?,MÉDICAL,4,1,0,MANQUE_LIEU
Infarctus possible. Qui est l'ambulancier?,MÉDICAL,4,1,0,MANQUE_LIEU
URGENT : Symptômes d'infarctus. À l'hôpital?,MÉDICAL,4,1,0,MANQUE_LIEU
Cas d'infarctus. Quelle est la situation?,MÉDICAL,4,1,0,MANQUE_LIEU
Ma planète est en danger,NON_URGENT,1,1,0,MANQUE_LIEU
J'ai perdu mon arc de bow,NON_URGENT,1,1,0,MANQUE_LIEU
Mon vaisseau est endommagé,NON_URGENT,1,1,0,MANQUE_LIEU
Départ de feu cuisine immédiat.,POMPIER,4,1,0,MANQUE_LIEU
"Incendie en cuisine, sortie rapide.",POMPIER,3,1,0,MANQUE_LIEU
"Brûle dans la cuisine, alertez immédiatement.",POMPIER,4,1,0,MANQUE_LIEU
"Feu en cuisine, veillez à la sécurité.",POMPIER,3,1,0,MANQUE_LIEU
Incendie déclaré dans la cuisine.,POMPIER,4,1,0,MANQUE_LIEU
Patient suspecté d'infarctus.,MÉDICAL,4,1,0,MANQUE_LIEU
Diagnostic urgent. Déplacement du patient.,MÉDICAL,4,1,0,MANQUE_LIEU
Stabilisation avant transport.,MÉDICAL,3,2,4,MANQUE_LIEU
Contact ambulance immédiatement.,MÉDICAL,4,1,0,MANQUE_LIEU
Evaluer les symptômes actuels.,MÉDICAL,2,2,4,MANQUE_LIEU
Arme trouvée près d'une voiture.,POLICE,3,2,2,MANQUE_CONTEXTE
"Dommage à la route, personne blessée.",POLICE,2,1,0,MANQUE_LIEU
Véhicule bloqué sur l'autoroute.,POLICE,3,2,2,MANQUE_CONTEXTE
Agression armée près d'un carrefour.,POLICE,4,3,2,MANQUE_LIEU
Personne blessée dans une écrabouillement.,POLICE,2,1,0,MANQUE_LIEU
Chat sauvage approche,ANIMALIER,4,1,0,MANQUE_LIEU
Animal inconnu près du parc,ANIMALIER,3,2,4,MANQUE_CONTEXTE
Chien appelle ma maison,ANIMALIER,2,1,0,MANQUE_LIEU
Oiseau vole autour du toit,ANIMALIER,3,2,4,MANQUE_CONTEXTE
Souris sauvage entre dans ma chambre,ANIMALIER,3,2,4,MANQUE_CONTEXTE
Feu cuisine ! Allez-y vite !,POMPIER,4,3,2,MANQUE_CONTEXTE
Aidez-moi ! Feu dans le kitchen !,POMPIER,4,3,2,MANQUE_CONTEXTE
URGENT : Feu dans le foyer !,POMPIER,4,3,2,MANQUE_CONTEXTE
Help needed: Fire in the kitchen!,POMPIER,4,3,2,MANQUE_CONTEXTE
Feu dans mon appart ! Faites vite !,POMPIER,4,3,2,MANQUE_CONTEXTE
Serveur DNS down. Urgent.,DIGITAL SUPPORT,4,3,2,MANQUE_LIEU
DNS server not responding!,DIGITAL SUPPORT,3,2,0,MANQUE_CONTEXTE
DNS service unavailable!,DIGITAL SUPPORT,2,3,4,MANQUE_LIEU
Enfant a des douleurs. Urgent !,MÉDICAL,4,1,0,MANQUE_LIEU
"Perte de conscience, aide immédiate !",MÉDICAL,4,1,0,MANQUE_LIEU
J'ai un infarctus ! Help !,MÉDICAL,4,1,0,MANQUE_LIEU
Enfant malade. Vite !,MÉDICAL,4,1,0,MANQUE_LIEU
Egouts débordants à l'Hôpital Central,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Problème d'égout dans la rue Saint-Jacques,SERVICES URBAINS,3,2,0,MANQUE_LIEU
Débordement d'égouts à la Place des Vignes,SERVICES URBAINS,4,1,0,MANQUE_LIEU
Problème d'égout à la rue des Fossés-du-Temple,SERVICES URBAINS,3,2,0,MANQUE_LIEU
J'ai perdu mon portable !,NON_URGENT,2,1,0,MANQUE_LIEU
Mon ordinateur ne marche pas.,NON_URGENT,3,1,0,MANQUE_LIEU
Je suis en panne de voiture.,NON_URGENT,2,1,0,MANQUE_LIEU
Je suis en retard pour le travail.,NON_URGENT,2,1,0,MANQUE_LIEU
Pylône cassé! Risque grave!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Pylône cassé! Besoin aide!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Fuite données !,CYBERSÉCURITÉ,4,1,0,MANQUE_LIEU
Info sûre ?,CYBERSÉCURITÉ,3,2,2,MANQUE_IDENTIFIANT
Hackers détectés !,CYBERSÉCURITÉ,4,3,2,MANQUE_CONTEXTE
Site compromis ?,CYBERSÉCURITÉ,4,3,0,MANQUE_LIEU
Au feu,ANIMALIER,3,2,4,COMPLET
Ça saigne,ANIMALIER,2,1,0,MANQUE_LIEU
À l'aide,ANIMALIER,4,3,2,MANQUE_CONTEXTE
Vite police,ANIMALIER,3,2,4,MANQUE_LIEU
Salut !,ANIMALIER,1,1,0,MANQUE_MESSAGE_ERREUR
Au feu!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Ça saigne.,RISQUES ENVIRONNEMENTAUX,3,2,0,MANQUE_CONTEXTE
À l'aide!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Vite police.,RISQUES ENVIRONNEMENTAUX,3,2,0,MANQUE_CONTEXTE
Alarme!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
J'ai besoin d'aide !,MÉDICAL,4,1,0,MANQUE_LIEU
Hémorragie !,MÉDICAL,4,2,4,MANQUE_CONTEXTE
"Sang partout, help !",MÉDICAL,4,1,0,MANQUE_LIEU
Emergency! Blood!,MÉDICAL,3,2,4,MANQUE_CONTEXTE
"I'm dying, need med help!",MÉDICAL,3,2,4,MANQUE_CONTEXTE
Commande non reconnue.,NON_URGENT,1,1,0,MANQUE_LIEU
Pizza non trouvée.,NON_URGENT,1,1,0,MANQUE_LIEU
Erreur commande pizza.,NON_URGENT,1,1,0,MANQUE_LIEU
Commande annulée.,NON_URGENT,1,1,0,MANQUE_LIEU
Pizza incorrectement commandée.,NON_URGENT,1,1,0,MANQUE_LIEU
Papa? Papa! Allez-y!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Mama! Aide-moi!,ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_LIEU
"Doc, ça va?",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"Oui, c'est grave!",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"J'ai froid, aide-moi!",ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_LIEU
Coulée boue à gauche!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Attention, boue dans le trottoir!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Boue, veuillez éviter!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Boue, marchez prudemment!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Boue, attention!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Asthme critique,MÉDICAL,4,1,0,MANQUE_LIEU
Vite aide,MÉDICAL,3,2,2,MANQUE_CONTEXTE
Respirer doucement,MÉDICAL,2,1,0,MANQUE_LIEU
Appel d'urgence,MÉDICAL,4,3,4,MANQUE_IDENTIFIANT
Asthme grave,MÉDICAL,3,2,2,MANQUE_LIEU
Heure,NON_URGENT,1,1,0,MANQUE_LIEU
Météo,NON_URGENT,1,1,0,MANQUE_LIEU
Temps,NON_URGENT,1,1,0,MANQUE_LIEU
Soleil,NON_URGENT,1,1,0,MANQUE_LIEU
Pluie,NON_URGENT,1,1,0,MANQUE_LIEU
Intervenez sur rue Principale.,POLICE,4,1,0,MANQUE_LIEU
Arrêtez individu suspect rue Martin Luther King Jr.,POLICE,3,2,4,MANQUE_CONTEXTE
Saisissez le véhicule rouge sur place.,POLICE,4,1,0,MANQUE_LIEU
Localisez individu agressif avenue Roosevelt.,POLICE,2,3,4,MANQUE_CONTEXTE
Arrêtez personne suspecte boulevard Martin.,POLICE,3,2,4,MANQUE_CONTEXTE
Patient presenta symptômes suspects d'infarctus.,MÉDICAL,4,1,0,MANQUE_LIEU
Diagnostic de infarctus probable basé sur les symptômes.,MÉDICAL,4,1,0,MANQUE_LIEU
Preparation des équipements d'intervention immédiatement.,MÉDICAL,4,1,0,MANQUE_LIEU
Signalisation du service d'urgences médicale immédiate.,MÉDICAL,4,1,0,MANQUE_LIEU
Suivi des vitesses du patient et de l'état vital.,MÉDICAL,4,1,0,MANQUE_LIEU
Égouts débordant,SERVICES URBAINS,3,2,4,MANQUE_CONTEXTE
Salle d'attente,SERVICES URBAINS,2,1,0,MANQUE_LIEU
Casier d'urgence,SERVICES URBAINS,3,2,4,MANQUE_CONTEXTE
"Gaz suspect, quelqu'un ?",POMPIER,3,1,0,MANQUE_LIEU
Alerte gaz !,POMPIER,4,1,0,MANQUE_LIEU
"Gaz suspect, aide immédiate !",POMPIER,4,1,0,MANQUE_LIEU
"Fuite de gaz, quelqu'un ?",POMPIER,4,1,0,MANQUE_LIEU
Alarme nuage chimique!,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Évitez la zone!,RISQUES ENVIRONNEMENTAUX,3,2,2,MANQUE_LIEU
Contamination chimique détectée.,RISQUES ENVIRONNEMENTAUX,2,3,4,MANQUE_CONTEXTE
Dépuration air en cours.,RISQUES ENVIRONNEMENTAUX,1,4,0,MANQUE_LIEU
Rappel: Évitez les zones à risque.,RISQUES ENVIRONNEMENTAUX,3,1,2,MANQUE_LIEU
Appel à l'aide pour un danger suicide pont,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Suicide imminent! Pont en danger.,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Appel d'urgence: Suicide sur le pont.,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
