texte,domaine,statut_friction,question_bot,impact_cible,urgence_cible
Un passant ai une petite coupure le doigt dans le métro ligne 4,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Le serveur est en panne erreur 500 à l'agence,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Ma femme menace avec avec un pistolet,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon fils ai un rhume au centre commercial,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon mari s'étouffe à la mairie,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Le serveur est en panne,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Mon fils ai une petite coupure à Paris,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un accident de voiture,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon fils me suis cassé au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma femme me suis cassé dans le métro ligne 4,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un passant tousse un peu au croisement de la rue jean jaurès,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Ma mère ai un bleu à Rennes,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon père tousse un peu le genou au centre commercial,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Ransomware détecté code 404 au bureau 302,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Mon mari ai un rhume le bras au 10 rue de la République,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Le serveur est en panne au siège,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Le serveur est en panne,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Mon fils tousse un peu le bras à la mairie,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un ami menace avec au 5 rue de la paix,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Un collègue s'étouffe,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un accident de voiture,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un collègue me suis cassé au 3ème étage du bâtiment B,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un ami menace avec sur l'autoroute A81,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Un ami tousse un peu le genou sur le parking du supermarché,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Je est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Ma femme ai un bleu l'orteil,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (l'orteil), mais à quelle adresse êtes-vous ?",1,1
Ma mère me suis pincé à Rennes,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un collègue se vide de son sang,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Ransomware détecté à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Mon père ai gonflé au croisement de la rue jean jaurès,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon mari ai une fracture ouverte à l'école primaire,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un ami ne respire plus au 5 rue de la paix,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon mari ai une douleur aiguë le cou,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le cou. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon fils ai un rhume l'orteil à l'école primaire,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Ma femme frappe au 5 rue de la paix,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Un collègue me suis écorché le doigt devant la gare,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un passant ai une fracture ouverte au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un crash à l'école primaire,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Mon père m'a agressé avec un couteau dans la forêt,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Base de données plantée à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Ma femme ai un bleu la cheville à Paris,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Plus d'accès internet accès refusé au bureau 302,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Mon fils menace avec avec un pistolet au 5 rue de la paix,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Un ami ai une douleur aiguë le ventre au centre commercial,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon fils me suis cassé à Rennes,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon père ai une crise d'épilepsie la tête devant la gare,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon père m'a agressé avec un pistolet dans le métro ligne 4,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Un ami m'a agressé avec une arme à feu,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon père ai fait une chute grave au 10 rue de la République,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon mari se vide de son sang au lac,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un collègue poursuit avec un couteau au lac,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Un passant me suis pincé au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon fils ai une ampoule la cheville au 3ème étage du bâtiment B,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Une fuite de gaz,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon fils ai un rhume le bras,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le bras), mais à quelle adresse êtes-vous ?",1,1
Ma femme est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un accident de voiture au croisement de la rue jean jaurès,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Un toit s'est effondré,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Le serveur est en panne à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Un passant fait une overdose,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Je ai fait une chute grave la colonne,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la colonne. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Une explosion,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un passant ai fait une chute grave la tête au croisement de la rue jean jaurès,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Ma femme me suis cassé devant la gare,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un ami ai une ampoule chez moi au 12 avenue foch,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un passant ai une crise d'épilepsie le ventre,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le ventre. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon enfant se vide de son sang au centre commercial,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Je se vide de son sang au croisement de la rue jean jaurès,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un passant m'a volé avec un couteau,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Un ami menace avec avec un couteau,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon enfant fait un choc anaphylactique,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon fils s'étouffe,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon père ai fait une chute grave le ventre,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le ventre. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un passant ai très mal au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un crash dans la forêt,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Mon mari ai très mal à l'école primaire,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma mère ai une fracture ouverte à Paris,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon père me suis écorché sur l'autoroute A81,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un toit s'est effondré,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon fils ai un rhume le bras au 3ème étage du bâtiment B,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Mon mari m'a volé avec une arme à feu au centre commercial,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon père tousse un peu au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Plus d'accès internet erreur 500 au siège,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Un passant m'a agressé avec un couteau,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Ma mère ai fait une chute grave la poitrine,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la poitrine. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un crash au 10 rue de la République,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Impossible de se connecter au bureau 302,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Je fait un arrêt cardiaque sur l'autoroute A81,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Le serveur est en panne au siège,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Un ami me suis pincé au croisement de la rue jean jaurès,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un toit s'est effondré,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Ransomware détecté à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Je ai un rhume au centre commercial,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un passant ai gonflé le cou à Rennes,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon mari ai un bleu au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon fils m'a volé avec une machette à Rennes,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon fils tousse un peu la main,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la main), mais à quelle adresse êtes-vous ?",1,1
Mon fils ai une crise d'épilepsie au lac,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon enfant fait une overdose,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un collègue ai une fracture ouverte le cou,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le cou. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Une fuite de gaz,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Il y a un incendie,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon mari ai une fracture ouverte le dos au 5 rue de la paix,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon fils ai un bleu la cheville au lac,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un collègue me suis écorché le doigt,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le doigt), mais à quelle adresse êtes-vous ?",1,1
Un collègue ai un rhume le doigt au centre commercial,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un passant me suis écorché la main chez moi au 12 avenue foch,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un collègue ai fait une chute grave le dos à la mairie,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Je se vide de son sang à Paris,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un passant me suis écorché le bras,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le bras), mais à quelle adresse êtes-vous ?",1,1
Mon enfant ai une douleur aiguë le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Je fait un arrêt cardiaque sur l'autoroute A81,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un passant frappe avec une barre de fer au 5 rue de la paix,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon fils cambriole au 5 rue de la paix,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Ma mère ai très mal le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Base de données plantée au siège,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Il y a un incendie dans le métro ligne 4,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Ma femme ai une ampoule devant la gare,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon enfant ai une ampoule le doigt devant la gare,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un passant ai fait une chute grave à l'école primaire,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon père se vide de son sang dans le métro ligne 4,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un accident de voiture chez moi au 12 avenue foch,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Mon fils ai une crise d'épilepsie sur l'autoroute A81,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un collègue me suis écorché l'orteil devant la gare,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un crash au 10 rue de la République,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Ma mère cambriole à l'école primaire,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Mon fils s'étouffe chez moi au 12 avenue foch,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un collègue me suis écorché l'orteil chez moi au 12 avenue foch,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Mon enfant fait une overdose à l'école primaire,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon mari ai une crise d'épilepsie chez moi au 12 avenue foch,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ransomware détecté code 404 au siège,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Le serveur est en panne accès refusé au siège,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Mon fils ai une petite coupure le doigt,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le doigt), mais à quelle adresse êtes-vous ?",1,1
Ransomware détecté à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Ma femme me suis écorché au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon fils tousse un peu la main,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la main), mais à quelle adresse êtes-vous ?",1,1
Un passant cambriole dans le métro ligne 4,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Un ami ai très mal la colonne au croisement de la rue jean jaurès,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Ransomware détecté au bureau 302,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Ma mère me suis écorché au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
