texte,label,priorite
"Fuite de gaz suspecte dans une cave - secteur centre, Bordeaux",POMPIER,HAUTE
"Véhicule suspect stationné devant une banque - rue de la Paix, Paris",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - zone industrielle, Lyon",POMPIER,HAUTE
"Chat coincé sur un toit à grande hauteur - secteur centre, Lyon",POMPIER,BASSE
"Cambriolage en cours signalé par un voisin - rue de la Paix, Lyon",POLICE,MOYENNE
"Cambriolage en cours signalé par un voisin - boulevard Victor Hugo, Lyon",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - secteur centre, Lille",POMPIER,MOYENNE
"Cambriolage en cours signalé par un voisin - secteur centre, Lyon",POLICE,MOYENNE
"Feu de poubelle se propageant à un véhicule - secteur centre, Bordeaux",POMPIER,HAUTE
"Chat coincé sur un toit à grande hauteur - avenue de la République, Lille",POMPIER,BASSE
"Cambriolage en cours signalé par un voisin - secteur centre, Lille",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - avenue de la République, Bordeaux",POMPIER,MOYENNE
"Véhicule suspect stationné devant une banque - zone industrielle, Bordeaux",POLICE,BASSE
"Vol à l'arraché dans le centre ville - boulevard Victor Hugo, Lyon",POLICE,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - boulevard Victor Hugo, Lille",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Bordeaux",POLICE,BASSE
"Cambriolage en cours signalé par un voisin - rue de la Paix, Paris",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - avenue de la République, Lyon",POMPIER,MOYENNE
"Départ de feu de forêt zone péri-urbaine - avenue de la République, Paris",POMPIER,HAUTE
"Cambriolage en cours signalé par un voisin - rue de la Paix, Lyon",POLICE,MOYENNE
"Véhicule suspect stationné devant une banque - secteur centre, Bordeaux",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - avenue de la République, Lyon",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - boulevard Victor Hugo, Paris",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - avenue de la République, Bordeaux",POMPIER,HAUTE
"Cambriolage en cours signalé par un voisin - zone industrielle, Paris",POLICE,MOYENNE
"Personne errante et confuse sur l'autoroute - secteur centre, Lyon",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - boulevard Victor Hugo, Lille",POMPIER,HAUTE
"Véhicule suspect stationné devant une banque - avenue de la République, Marseille",POLICE,BASSE
"Accident de la route avec personne incarcérée - rue de la Paix, Lyon",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Lille",POLICE,BASSE
"Ascenseur bloqué avec plusieurs personnes - rue de la Paix, Lille",POMPIER,MOYENNE
"Ascenseur bloqué avec plusieurs personnes - secteur centre, Bordeaux",POMPIER,MOYENNE
"Agression à main armée signalée sur la voie publique - secteur centre, Lille",POLICE,HAUTE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Lyon",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - rue de la Paix, Marseille",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - avenue de la République, Marseille",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - rue de la Paix, Bordeaux",POMPIER,HAUTE
"Différend familial violent avec menaces - rue de la Paix, Bordeaux",POLICE,MOYENNE
"Chat coincé sur un toit à grande hauteur - avenue de la République, Lille",POMPIER,BASSE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Lyon",POLICE,BASSE
"Inondation de sous-sol après orage violent - zone industrielle, Lyon",POMPIER,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - secteur centre, Marseille",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - zone industrielle, Paris",POLICE,HAUTE
"Chat coincé sur un toit à grande hauteur - secteur centre, Lille",POMPIER,BASSE
"Véhicule suspect stationné devant une banque - rue de la Paix, Lille",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - avenue de la République, Marseille",POLICE,BASSE
"Fuite de gaz suspecte dans une cave - avenue de la République, Lille",POMPIER,HAUTE
"Signalement de trafic de stupéfiants dans un hall - zone industrielle, Paris",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - avenue de la République, Bordeaux",POLICE,BASSE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Marseille",POLICE,BASSE
"Tapage nocturne persistant et cris - avenue de la République, Bordeaux",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - boulevard Victor Hugo, Bordeaux",POMPIER,HAUTE
"Tapage nocturne persistant et cris - zone industrielle, Paris",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - zone industrielle, Lille",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - secteur centre, Paris",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - avenue de la République, Bordeaux",POMPIER,HAUTE
"Signalement de trafic de stupéfiants dans un hall - boulevard Victor Hugo, Marseille",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Bordeaux",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - secteur centre, Bordeaux",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - zone industrielle, Lyon",POMPIER,HAUTE
"Différend familial violent avec menaces - boulevard Victor Hugo, Bordeaux",POLICE,MOYENNE
"Feu de poubelle se propageant à un véhicule - rue de la Paix, Marseille",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - secteur centre, Bordeaux",POMPIER,HAUTE
"Feu de poubelle se propageant à un véhicule - zone industrielle, Paris",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - secteur centre, Lille",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - boulevard Victor Hugo, Marseille",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - avenue de la République, Bordeaux",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - secteur centre, Paris",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - zone industrielle, Marseille",POMPIER,HAUTE
"Manifestation non déclarée avec dégradations - boulevard Victor Hugo, Lyon",POLICE,MOYENNE
"Feu de poubelle se propageant à un véhicule - rue de la Paix, Lille",POMPIER,HAUTE
"Chat coincé sur un toit à grande hauteur - avenue de la République, Bordeaux",POMPIER,BASSE
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Lille",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - zone industrielle, Paris",POMPIER,HAUTE
"Inondation de sous-sol après orage violent - boulevard Victor Hugo, Bordeaux",POMPIER,MOYENNE
"Feu de poubelle se propageant à un véhicule - rue de la Paix, Marseille",POMPIER,HAUTE
"Cambriolage en cours signalé par un voisin - boulevard Victor Hugo, Lille",POLICE,MOYENNE
"Départ de feu de forêt zone péri-urbaine - avenue de la République, Bordeaux",POMPIER,HAUTE
"Manifestation non déclarée avec dégradations - avenue de la République, Lyon",POLICE,MOYENNE
"Alerte monoxyde de carbone dans une école - rue de la Paix, Marseille",POMPIER,HAUTE
"Tapage nocturne persistant et cris - secteur centre, Bordeaux",POLICE,BASSE
"Vol à l'arraché dans le centre ville - avenue de la République, Lyon",POLICE,MOYENNE
"Agression à main armée signalée sur la voie publique - secteur centre, Paris",POLICE,HAUTE
"Chat coincé sur un toit à grande hauteur - secteur centre, Bordeaux",POMPIER,BASSE
"Fuite de gaz suspecte dans une cave - avenue de la République, Marseille",POMPIER,HAUTE
"Signalement de trafic de stupéfiants dans un hall - zone industrielle, Lille",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - avenue de la République, Lille",POLICE,HAUTE
"Ascenseur bloqué avec plusieurs personnes - rue de la Paix, Marseille",POMPIER,MOYENNE
"Accident de la route avec personne incarcérée - zone industrielle, Bordeaux",POMPIER,HAUTE
"Agression à main armée signalée sur la voie publique - zone industrielle, Lyon",POLICE,HAUTE
"Agression à main armée signalée sur la voie publique - avenue de la République, Bordeaux",POLICE,HAUTE
"Feu de structure dans un immeuble d'habitation - rue de la Paix, Lyon",POMPIER,HAUTE
"Feu de poubelle se propageant à un véhicule - zone industrielle, Lyon",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - zone industrielle, Bordeaux",POMPIER,HAUTE
"Départ de feu de forêt zone péri-urbaine - avenue de la République, Lyon",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - boulevard Victor Hugo, Bordeaux",POMPIER,HAUTE
"Ascenseur bloqué avec plusieurs personnes - zone industrielle, Lille",POMPIER,MOYENNE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Marseille",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - boulevard Victor Hugo, Marseille",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - secteur centre, Lyon",POMPIER,HAUTE
"Tapage nocturne persistant et cris - secteur centre, Lille",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - boulevard Victor Hugo, Marseille",POLICE,HAUTE
"Agression à main armée signalée sur la voie publique - rue de la Paix, Paris",POLICE,HAUTE
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Paris",POLICE,BASSE
"Chat coincé sur un toit à grande hauteur - secteur centre, Paris",POMPIER,BASSE
"Inondation de sous-sol après orage violent - rue de la Paix, Lille",POMPIER,MOYENNE
"Feu de structure dans un immeuble d'habitation - avenue de la République, Bordeaux",POMPIER,HAUTE
"Vol à l'arraché dans le centre ville - zone industrielle, Bordeaux",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - zone industrielle, Marseille",POMPIER,MOYENNE
"Départ de feu de forêt zone péri-urbaine - boulevard Victor Hugo, Lyon",POMPIER,HAUTE
"Inondation de sous-sol après orage violent - boulevard Victor Hugo, Lille",POMPIER,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - boulevard Victor Hugo, Marseille",POLICE,BASSE
"Vol à l'arraché dans le centre ville - avenue de la République, Bordeaux",POLICE,MOYENNE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Lille",POLICE,BASSE
"Manifestation non déclarée avec dégradations - secteur centre, Lyon",POLICE,MOYENNE
"Chat coincé sur un toit à grande hauteur - boulevard Victor Hugo, Paris",POMPIER,BASSE
"Chat coincé sur un toit à grande hauteur - avenue de la République, Lyon",POMPIER,BASSE
"Ascenseur bloqué avec plusieurs personnes - rue de la Paix, Paris",POMPIER,MOYENNE
"Feu de poubelle se propageant à un véhicule - rue de la Paix, Marseille",POMPIER,HAUTE
"Alerte monoxyde de carbone dans une école - rue de la Paix, Paris",POMPIER,HAUTE
"Vol à l'arraché dans le centre ville - rue de la Paix, Marseille",POLICE,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - zone industrielle, Lille",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - avenue de la République, Paris",POMPIER,HAUTE
"Feu de poubelle se propageant à un véhicule - secteur centre, Lille",POMPIER,HAUTE
"Alerte monoxyde de carbone dans une école - rue de la Paix, Marseille",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - zone industrielle, Lyon",POMPIER,HAUTE
"Manifestation non déclarée avec dégradations - secteur centre, Bordeaux",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - secteur centre, Lille",POMPIER,MOYENNE
"Différend familial violent avec menaces - secteur centre, Marseille",POLICE,MOYENNE
"Chat coincé sur un toit à grande hauteur - boulevard Victor Hugo, Paris",POMPIER,BASSE
"Alerte monoxyde de carbone dans une école - avenue de la République, Lille",POMPIER,HAUTE
"Chat coincé sur un toit à grande hauteur - secteur centre, Bordeaux",POMPIER,BASSE
"Inondation de sous-sol après orage violent - secteur centre, Lyon",POMPIER,MOYENNE
"Départ de feu de forêt zone péri-urbaine - avenue de la République, Bordeaux",POMPIER,HAUTE
"Tapage nocturne persistant et cris - avenue de la République, Lille",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - secteur centre, Bordeaux",POMPIER,HAUTE
"Feu de structure dans un immeuble d'habitation - rue de la Paix, Lille",POMPIER,HAUTE
"Départ de feu de forêt zone péri-urbaine - secteur centre, Lyon",POMPIER,HAUTE
"Départ de feu de forêt zone péri-urbaine - rue de la Paix, Lille",POMPIER,HAUTE
"Véhicule suspect stationné devant une banque - zone industrielle, Paris",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - boulevard Victor Hugo, Lyon",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - zone industrielle, Paris",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - zone industrielle, Lille",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - avenue de la République, Lyon",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - avenue de la République, Lille",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Marseille",POLICE,BASSE
"Départ de feu de forêt zone péri-urbaine - secteur centre, Paris",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - secteur centre, Lyon",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - secteur centre, Paris",POLICE,BASSE
"Fuite de gaz suspecte dans une cave - avenue de la République, Lille",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - avenue de la République, Lyon",POMPIER,HAUTE
"Véhicule suspect stationné devant une banque - avenue de la République, Lille",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - boulevard Victor Hugo, Bordeaux",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - zone industrielle, Lyon",POLICE,BASSE
"Tapage nocturne persistant et cris - avenue de la République, Lille",POLICE,BASSE
"Chat coincé sur un toit à grande hauteur - zone industrielle, Bordeaux",POMPIER,BASSE
"Signalement de trafic de stupéfiants dans un hall - avenue de la République, Marseille",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - rue de la Paix, Lyon",POLICE,HAUTE
"Différend familial violent avec menaces - avenue de la République, Lyon",POLICE,MOYENNE
"Personne errante et confuse sur l'autoroute - secteur centre, Paris",POLICE,BASSE
"Fuite de gaz suspecte dans une cave - rue de la Paix, Bordeaux",POMPIER,HAUTE
"Cambriolage en cours signalé par un voisin - zone industrielle, Lyon",POLICE,MOYENNE
"Feu de poubelle se propageant à un véhicule - zone industrielle, Marseille",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - boulevard Victor Hugo, Bordeaux",POMPIER,HAUTE
"Alerte monoxyde de carbone dans une école - boulevard Victor Hugo, Marseille",POMPIER,HAUTE
