texte,domaine,impact,urgence
"Mon Dieu, Une personne a mangé des arachides et gonfle, choc anaphylactique dans la zone industrielle personne ne sait quoi faire",MÉDICAL,4,4
"Je suis terrorisé, Une personne est en train d'accoucher, la tête sort dans la zone industrielle il y a beaucoup de monde autour",MÉDICAL,4,4
"Faites très attention, Une personne a le doigt sectionné par une machine au tribunal en pleine nuit",MÉDICAL,3,4
"Mon Dieu, Une personne a mangé des arachides et gonfle, choc anaphylactique sur l'autoroute sous une pluie battante",MÉDICAL,4,4
"C'est la panique absolue, Une personne s'est noyé et ne respire plus à l'école il y a beaucoup de monde autour",MÉDICAL,4,4
"Urgence vitale ! Une personne a pris trop de médicaments, overdose au tribunal en pleine nuit",MÉDICAL,4,4
"Urgence vitale ! Une personne a mangé des arachides et gonfle, choc anaphylactique à l'usine chimique en pleine nuit",MÉDICAL,4,4
"Urgence vitale ! Une personne est en train d'accoucher, la tête sort dans le métro ligne 4 il y a beaucoup de monde autour",MÉDICAL,4,4
"C'est la panique absolue, Une personne est en train d'accoucher, la tête sort dans la zone industrielle en pleine nuit",MÉDICAL,4,4
"Faites très attention, Une personne vient de s'électrocuter avec un câble à haute tension dans le métro ligne 4 en pleine nuit",MÉDICAL,4,4
"Alerte maximale, Une personne a mangé des arachides et gonfle, choc anaphylactique sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
"Je suis terrorisé, Une personne vient de s'électrocuter avec un câble à haute tension au tribunal sous une pluie battante",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter dans le métro ligne 4 en pleine nuit",MÉDICAL,4,4
"Je suis terrorisé, Une personne a mangé des arachides et gonfle, choc anaphylactique à l'école sous une pluie battante",MÉDICAL,4,4
"Urgence vitale ! Une personne a mangé des arachides et gonfle, choc anaphylactique sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
"Faites très attention, Une personne a mangé des arachides et gonfle, choc anaphylactique au tribunal personne ne sait quoi faire",MÉDICAL,4,4
"Faites très attention, Une personne est en train d'accoucher, la tête sort à l'école il y a beaucoup de monde autour",MÉDICAL,4,4
Urgence vitale ! Une personne vient de s'électrocuter avec un câble à haute tension au bord du lac personne ne sait quoi faire,MÉDICAL,4,4
"Mon Dieu, Une personne a pris trop de médicaments, overdose à l'aéroport personne ne sait quoi faire",MÉDICAL,4,4
Urgence vitale ! Une personne a le doigt sectionné par une machine à l'école personne ne sait quoi faire,MÉDICAL,3,4
"Faites très attention, Une personne fait une crise psychiatrique et menace de sauter dans la forêt il y a beaucoup de monde autour",MÉDICAL,4,4
"Faites très attention, Une personne a le doigt sectionné par une machine à l'usine chimique en pleine nuit",MÉDICAL,3,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort dans le métro ligne 4 en pleine nuit",MÉDICAL,4,4
"Faites très attention, Une personne s'est noyé et ne respire plus à l'usine chimique sous une pluie battante",MÉDICAL,4,4
"C'est la panique absolue, Une personne s'est noyé et ne respire plus au tribunal il y a beaucoup de monde autour",MÉDICAL,4,4
Urgence vitale ! Une personne vient de s'électrocuter avec un câble à haute tension à l'aéroport sous une pluie battante,MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter dans la forêt il y a beaucoup de monde autour",MÉDICAL,4,4
"Je suis terrorisé, Une personne vient de s'électrocuter avec un câble à haute tension dans la zone industrielle personne ne sait quoi faire",MÉDICAL,4,4
"C'est la panique absolue, Une personne vient de s'électrocuter avec un câble à haute tension dans la zone industrielle en pleine nuit",MÉDICAL,4,4
"C'est la panique absolue, Une personne a mangé des arachides et gonfle, choc anaphylactique à l'usine chimique en pleine nuit",MÉDICAL,4,4
Urgence vitale ! Une personne s'est noyé et ne respire plus à l'école en pleine nuit,MÉDICAL,4,4
"Je suis terrorisé, Une personne a pris trop de médicaments, overdose dans la forêt sous une pluie battante",MÉDICAL,4,4
Urgence vitale ! Une personne fait une crise psychiatrique et menace de sauter au bord du lac en pleine nuit,MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter à l'aéroport il y a beaucoup de monde autour",MÉDICAL,4,4
"Mon Dieu, Une personne fait une crise psychiatrique et menace de sauter à l'aéroport personne ne sait quoi faire",MÉDICAL,4,4
"Je suis terrorisé, Une personne fait une crise psychiatrique et menace de sauter à l'usine chimique en pleine nuit",MÉDICAL,4,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort dans la forêt en pleine nuit",MÉDICAL,4,4
"C'est la panique absolue, Une personne est en train d'accoucher, la tête sort dans la zone industrielle il y a beaucoup de monde autour",MÉDICAL,4,4
"Faites très attention, Une personne fait une crise psychiatrique et menace de sauter à l'école sous une pluie battante",MÉDICAL,4,4
"Je suis terrorisé, Une personne a le doigt sectionné par une machine à l'école personne ne sait quoi faire",MÉDICAL,3,4
"C'est la panique absolue, Une personne s'est noyé et ne respire plus à l'usine chimique il y a beaucoup de monde autour",MÉDICAL,4,4
"C'est la panique absolue, Une personne a pris trop de médicaments, overdose au bord du lac en pleine nuit",MÉDICAL,4,4
"Alerte maximale, Une personne vient de s'électrocuter avec un câble à haute tension à l'usine chimique personne ne sait quoi faire",MÉDICAL,4,4
"C'est la panique absolue, Une personne a le doigt sectionné par une machine dans le métro ligne 4 sous une pluie battante",MÉDICAL,3,4
"Mon Dieu, Une personne a mangé des arachides et gonfle, choc anaphylactique à l'usine chimique en pleine nuit",MÉDICAL,4,4
"Je suis terrorisé, Une personne vient de s'électrocuter avec un câble à haute tension à l'école personne ne sait quoi faire",MÉDICAL,4,4
"C'est la panique absolue, Une personne a le doigt sectionné par une machine dans la forêt en pleine nuit",MÉDICAL,3,4
"Alerte maximale, Une personne a le doigt sectionné par une machine à l'aéroport il y a beaucoup de monde autour",MÉDICAL,3,4
"Urgence vitale ! Une personne a mangé des arachides et gonfle, choc anaphylactique dans la forêt sous une pluie battante",MÉDICAL,4,4
"C'est la panique absolue, Une personne s'est noyé et ne respire plus à l'aéroport sous une pluie battante",MÉDICAL,4,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort dans le métro ligne 4 il y a beaucoup de monde autour",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter sur l'autoroute sous une pluie battante",MÉDICAL,4,4
"Urgence vitale ! Une personne a pris trop de médicaments, overdose sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
"Je suis terrorisé, Une personne s'est noyé et ne respire plus à l'école sous une pluie battante",MÉDICAL,4,4
"Alerte maximale, Une personne a pris trop de médicaments, overdose dans le métro ligne 4 personne ne sait quoi faire",MÉDICAL,4,4
"Faites très attention, Une personne fait une crise psychiatrique et menace de sauter à l'usine chimique sous une pluie battante",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter dans la zone industrielle en pleine nuit",MÉDICAL,4,4
"Faites très attention, Une personne fait une crise psychiatrique et menace de sauter dans le métro ligne 4 il y a beaucoup de monde autour",MÉDICAL,4,4
"Je suis terrorisé, Une personne s'est noyé et ne respire plus dans le métro ligne 4 il y a beaucoup de monde autour",MÉDICAL,4,4
"Urgence vitale ! Une personne a pris trop de médicaments, overdose sur l'autoroute en pleine nuit",MÉDICAL,4,4
"Urgence vitale ! Une personne a pris trop de médicaments, overdose au bord du lac personne ne sait quoi faire",MÉDICAL,4,4
"C'est la panique absolue, Une personne est en train d'accoucher, la tête sort à l'aéroport personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus à l'aéroport sous une pluie battante",MÉDICAL,4,4
"Je suis terrorisé, Une personne a mangé des arachides et gonfle, choc anaphylactique au tribunal personne ne sait quoi faire",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter à l'usine chimique il y a beaucoup de monde autour",MÉDICAL,4,4
"Urgence vitale ! Une personne est en train d'accoucher, la tête sort au bord du lac il y a beaucoup de monde autour",MÉDICAL,4,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort au tribunal en pleine nuit",MÉDICAL,4,4
"Je suis terrorisé, Une personne a le doigt sectionné par une machine au tribunal sous une pluie battante",MÉDICAL,3,4
"Faites très attention, Une personne a pris trop de médicaments, overdose à l'aéroport personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort à l'aéroport sous une pluie battante",MÉDICAL,4,4
"Faites très attention, Une personne est en train d'accoucher, la tête sort au bord du lac en pleine nuit",MÉDICAL,4,4
"Je suis terrorisé, Une personne fait une crise psychiatrique et menace de sauter dans la forêt sous une pluie battante",MÉDICAL,4,4
"Mon Dieu, Une personne a le doigt sectionné par une machine au bord du lac il y a beaucoup de monde autour",MÉDICAL,3,4
"C'est la panique absolue, Une personne vient de s'électrocuter avec un câble à haute tension dans la forêt personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus dans le métro ligne 4 sous une pluie battante",MÉDICAL,4,4
"Faites très attention, Une personne a le doigt sectionné par une machine au bord du lac personne ne sait quoi faire",MÉDICAL,3,4
"Je suis terrorisé, Une personne vient de s'électrocuter avec un câble à haute tension au bord du lac il y a beaucoup de monde autour",MÉDICAL,4,4
"C'est la panique absolue, Une personne a le doigt sectionné par une machine dans la forêt il y a beaucoup de monde autour",MÉDICAL,3,4
"Mon Dieu, Une personne a pris trop de médicaments, overdose à l'usine chimique en pleine nuit",MÉDICAL,4,4
"Faites très attention, Une personne est en train d'accoucher, la tête sort à l'école sous une pluie battante",MÉDICAL,4,4
"Alerte maximale, Une personne vient de s'électrocuter avec un câble à haute tension à l'école personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne a pris trop de médicaments, overdose à l'aéroport en pleine nuit",MÉDICAL,4,4
"C'est la panique absolue, Une personne est en train d'accoucher, la tête sort sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
Urgence vitale ! Une personne fait une crise psychiatrique et menace de sauter à l'école sous une pluie battante,MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus dans le métro ligne 4 personne ne sait quoi faire",MÉDICAL,4,4
"Alerte maximale, Une personne est en train d'accoucher, la tête sort dans la forêt personne ne sait quoi faire",MÉDICAL,4,4
"C'est la panique absolue, Une personne s'est noyé et ne respire plus dans le métro ligne 4 sous une pluie battante",MÉDICAL,4,4
"Mon Dieu, Une personne a le doigt sectionné par une machine au tribunal personne ne sait quoi faire",MÉDICAL,3,4
"Mon Dieu, Une personne a le doigt sectionné par une machine sur l'autoroute en pleine nuit",MÉDICAL,3,4
"Mon Dieu, Une personne fait une crise psychiatrique et menace de sauter au bord du lac sous une pluie battante",MÉDICAL,4,4
"Mon Dieu, Une personne fait une crise psychiatrique et menace de sauter au tribunal personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne a pris trop de médicaments, overdose sur l'autoroute en pleine nuit",MÉDICAL,4,4
"Alerte maximale, Une personne est en train d'accoucher, la tête sort à l'école il y a beaucoup de monde autour",MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus dans la zone industrielle en pleine nuit",MÉDICAL,4,4
Urgence vitale ! Une personne fait une crise psychiatrique et menace de sauter dans le métro ligne 4 en pleine nuit,MÉDICAL,4,4
"Alerte maximale, Une personne a le doigt sectionné par une machine dans le métro ligne 4 personne ne sait quoi faire",MÉDICAL,3,4
"C'est la panique absolue, Une personne fait une crise psychiatrique et menace de sauter dans la zone industrielle personne ne sait quoi faire",MÉDICAL,4,4
"Je suis terrorisé, Une personne a mangé des arachides et gonfle, choc anaphylactique au bord du lac sous une pluie battante",MÉDICAL,4,4
Urgence vitale ! Une personne s'est noyé et ne respire plus dans la forêt sous une pluie battante,MÉDICAL,4,4
"Urgence vitale ! Une personne a pris trop de médicaments, overdose au bord du lac il y a beaucoup de monde autour",MÉDICAL,4,4
"Urgence vitale ! Une personne a mangé des arachides et gonfle, choc anaphylactique à l'école en pleine nuit",MÉDICAL,4,4
"Alerte maximale, Une personne a pris trop de médicaments, overdose dans la forêt en pleine nuit",MÉDICAL,4,4
"Faites très attention, Une personne fait une crise psychiatrique et menace de sauter à l'aéroport il y a beaucoup de monde autour",MÉDICAL,4,4
"Urgence vitale ! Une personne est en train d'accoucher, la tête sort dans le métro ligne 4 personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus à l'aéroport personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne fait une crise psychiatrique et menace de sauter dans la zone industrielle personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne a mangé des arachides et gonfle, choc anaphylactique dans la forêt personne ne sait quoi faire",MÉDICAL,4,4
Urgence vitale ! Une personne a le doigt sectionné par une machine dans la forêt personne ne sait quoi faire,MÉDICAL,3,4
Urgence vitale ! Une personne a le doigt sectionné par une machine à l'usine chimique il y a beaucoup de monde autour,MÉDICAL,3,4
"Mon Dieu, Une personne s'est noyé et ne respire plus sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter au tribunal en pleine nuit",MÉDICAL,4,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort au bord du lac en pleine nuit",MÉDICAL,4,4
"C'est la panique absolue, Une personne a mangé des arachides et gonfle, choc anaphylactique sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus au tribunal il y a beaucoup de monde autour",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
Urgence vitale ! Une personne a le doigt sectionné par une machine dans le métro ligne 4 en pleine nuit,MÉDICAL,3,4
"Alerte maximale, Une personne a pris trop de médicaments, overdose à l'usine chimique personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne est en train d'accoucher, la tête sort à l'aéroport personne ne sait quoi faire",MÉDICAL,4,4
"Alerte maximale, Une personne fait une crise psychiatrique et menace de sauter dans la forêt en pleine nuit",MÉDICAL,4,4
"Mon Dieu, Une personne s'est noyé et ne respire plus dans la forêt en pleine nuit",MÉDICAL,4,4
"Urgence vitale ! Une personne est en train d'accoucher, la tête sort à l'aéroport sous une pluie battante",MÉDICAL,4,4
"Alerte maximale, Une personne a mangé des arachides et gonfle, choc anaphylactique dans le métro ligne 4 personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne a le doigt sectionné par une machine au bord du lac en pleine nuit",MÉDICAL,3,4
"Alerte maximale, Une personne s'est noyé et ne respire plus à l'usine chimique sous une pluie battante",MÉDICAL,4,4
"Mon Dieu, Une personne a pris trop de médicaments, overdose dans la zone industrielle sous une pluie battante",MÉDICAL,4,4
"Urgence vitale ! Une personne a pris trop de médicaments, overdose au tribunal sous une pluie battante",MÉDICAL,4,4
"Alerte maximale, Une personne a pris trop de médicaments, overdose dans le métro ligne 4 en pleine nuit",MÉDICAL,4,4
"Mon Dieu, Une personne a mangé des arachides et gonfle, choc anaphylactique au tribunal il y a beaucoup de monde autour",MÉDICAL,4,4
"C'est la panique absolue, Une personne a le doigt sectionné par une machine à l'usine chimique il y a beaucoup de monde autour",MÉDICAL,3,4
"C'est la panique absolue, Une personne est en train d'accoucher, la tête sort à l'école personne ne sait quoi faire",MÉDICAL,4,4
"Mon Dieu, Une personne a le doigt sectionné par une machine sur l'autoroute sous une pluie battante",MÉDICAL,3,4
"Faites très attention, Une personne vient de s'électrocuter avec un câble à haute tension à l'usine chimique il y a beaucoup de monde autour",MÉDICAL,4,4
"Alerte maximale, Une personne a mangé des arachides et gonfle, choc anaphylactique dans la zone industrielle sous une pluie battante",MÉDICAL,4,4
"Je suis terrorisé, Une personne a mangé des arachides et gonfle, choc anaphylactique au bord du lac en pleine nuit",MÉDICAL,4,4
"C'est la panique absolue, Une personne s'est noyé et ne respire plus à l'école en pleine nuit",MÉDICAL,4,4
"C'est la panique absolue, Une personne a pris trop de médicaments, overdose sur l'autoroute il y a beaucoup de monde autour",MÉDICAL,4,4
"Je suis terrorisé, Une personne a le doigt sectionné par une machine au bord du lac personne ne sait quoi faire",MÉDICAL,3,4
"Faites très attention, Une personne fait une crise psychiatrique et menace de sauter dans le métro ligne 4 personne ne sait quoi faire",MÉDICAL,4,4
"Alerte maximale, Une personne a mangé des arachides et gonfle, choc anaphylactique dans la zone industrielle personne ne sait quoi faire",MÉDICAL,4,4
"Je suis terrorisé, Une personne s'est noyé et ne respire plus dans la zone industrielle en pleine nuit",MÉDICAL,4,4
"Alerte maximale, Une personne a mangé des arachides et gonfle, choc anaphylactique au tribunal il y a beaucoup de monde autour",MÉDICAL,4,4
Urgence vitale ! Une personne fait une crise psychiatrique et menace de sauter dans la zone industrielle sous une pluie battante,MÉDICAL,4,4
"Faites très attention, Une personne est en train d'accoucher, la tête sort sur l'autoroute personne ne sait quoi faire",MÉDICAL,4,4
Urgence vitale ! Une personne vient de s'électrocuter avec un câble à haute tension au tribunal sous une pluie battante,MÉDICAL,4,4
Urgence vitale ! Une personne a le doigt sectionné par une machine à l'usine chimique personne ne sait quoi faire,MÉDICAL,3,4
"Faites très attention, Une personne s'est noyé et ne respire plus dans la forêt il y a beaucoup de monde autour",MÉDICAL,4,4
"Mon Dieu, Une personne vient de s'électrocuter avec un câble à haute tension au tribunal personne ne sait quoi faire",MÉDICAL,4,4
"Je suis terrorisé, Une personne a pris trop de médicaments, overdose dans la forêt il y a beaucoup de monde autour",MÉDICAL,4,4
"Mon Dieu, Une personne vient de s'électrocuter avec un câble à haute tension à l'usine chimique personne ne sait quoi faire",MÉDICAL,4,4
"Alerte maximale, Une personne a le doigt sectionné par une machine dans la forêt en pleine nuit",MÉDICAL,3,4
Urgence vitale ! Une personne fait une crise psychiatrique et menace de sauter au tribunal en pleine nuit,MÉDICAL,4,4
"Alerte maximale, Une personne vient de s'électrocuter avec un câble à haute tension à l'usine chimique il y a beaucoup de monde autour",MÉDICAL,4,4
"Faites très attention, Une personne s'est noyé et ne respire plus dans la forêt sous une pluie battante",MÉDICAL,4,4
"Je suis terrorisé, Une personne est en train d'accoucher, la tête sort au bord du lac en pleine nuit",MÉDICAL,4,4
