ticket_fr,domaine_cible
"Mon mari souffre de démangeaisons chroniques sans éruptions cutanées ni urticaire. Il a consulté un allergologue, un dermatologue, un acupuncteur et un thérapeute. Bloodwrk négatif, des idées ?",MÉDICAL
"Mon mari souffre de démangeaisons chroniques sans éruptions cutanées ni urticaire. Il a consulté un allergologue, un dermatologue, un acupuncteur et un thérapeute. Bloodwrk négatif, des idées ?",MÉDICAL
"Ma fille de six ans prend des antibiotiques depuis plus de 48 heures et a commencé à avoir une fièvre supérieure à 101 et elle dit qu'elle a mal à la tête. Dois-je la ramener ? J'ai reçu des antibiotiques pour une infection des sinus, mais j'ai eu des problèmes en toussant. Elle a un historique",MÉDICAL
"Ma fille de six ans prend des antibiotiques depuis plus de 48 heures et a commencé à avoir une fièvre supérieure à 101 et elle dit qu'elle a mal à la tête. Dois-je la ramener ? J'ai reçu des antibiotiques pour une infection des sinus, mais j'ai eu des problèmes en toussant. Elle a un historique",MÉDICAL
"Q. Bonjour, je suis enceinte de presque 12 semaines et ma nourriture contenait de minuscules particules de plastique (par erreur), donc je suis inquiète ; au cas où j'en avalerais accidentellement : (?",MÉDICAL
"Q. Bonjour, je suis enceinte de presque 12 semaines et ma nourriture contenait de minuscules particules de plastique (par erreur), donc je suis inquiète ; au cas où j'en avalerais accidentellement : (?",MÉDICAL
Voix grinçante. Comment puis-je obtenir une voix plus masculine ?,MÉDICAL
Voix grinçante. Comment puis-je obtenir une voix plus masculine ?,MÉDICAL
"Depuis que je suis enfant, mes articulations ont toujours cliqué mais au fil des années, c'est devenu très douloureux, surtout quand il pleut ou que j'ai froid ? Comment puis-je réparer ?",MÉDICAL
"Depuis que je suis enfant, mes articulations ont toujours cliqué mais au fil des années, c'est devenu très douloureux, surtout quand il pleut ou que j'ai froid ? Comment puis-je réparer ?",MÉDICAL
A été traité pour une PID causée par la BV uniquement avec une dose d'azythromyacine et une injection d'antibiotiques. Le PID n’a jamais disparu. Que dois-je faire?,MÉDICAL
A été traité pour une PID causée par la BV uniquement avec une dose d'azythromyacine et une injection d'antibiotiques. Le PID n’a jamais disparu. Que dois-je faire?,MÉDICAL
Quelles sont les causes de l’abcès périanal ?,MÉDICAL
Quelles sont les causes de l’abcès périanal ?,MÉDICAL
"Que fait un médecin en cas de fissure anale chronique externe et veuillez me dire le processus de chirurgie de la fissure anale chronique en dehors de mon anal, il y en a une petite ?",MÉDICAL
"Que fait un médecin en cas de fissure anale chronique externe et veuillez me dire le processus de chirurgie de la fissure anale chronique en dehors de mon anal, il y en a une petite ?",MÉDICAL
Que préconisez-vous pour traiter une section du ligament longitudinal postérieur ?,MÉDICAL
Que préconisez-vous pour traiter une section du ligament longitudinal postérieur ?,MÉDICAL
"Qu’est-ce que la mécoblamine ? A quoi sert ce médicament ?  Ma mère est diabétique, ce médicament est-il utile ? Merci d'avance",MÉDICAL
"Qu’est-ce que la mécoblamine ? A quoi sert ce médicament ?  Ma mère est diabétique, ce médicament est-il utile ? Merci d'avance",MÉDICAL
Quel est l’ISRS le plus propre/le plus sûr pour l’anxiété générale induite par le stress ?,MÉDICAL
Quel est l’ISRS le plus propre/le plus sûr pour l’anxiété générale induite par le stress ?,MÉDICAL
Quelle est la définition ou la description de : modification d’activité ?,MÉDICAL
Quelle est la définition ou la description de : modification d’activité ?,MÉDICAL
Qu’est-ce qu’une allergie aux crustacés de type 1 ?,MÉDICAL
Qu’est-ce qu’une allergie aux crustacés de type 1 ?,MÉDICAL
"Que dois-je faire si j'ai une allergie aux éternuements au réveil, veuillez me dire de quel type de maladie ou d'allergie il s'agit ?",MÉDICAL
"Que dois-je faire si j'ai une allergie aux éternuements au réveil, veuillez me dire de quel type de maladie ou d'allergie il s'agit ?",MÉDICAL
Quels exercices spécifiques aideraient à la bursite de la suprapatellaire ?,MÉDICAL
Quels exercices spécifiques aideraient à la bursite de la suprapatellaire ?,MÉDICAL
"Que faire si je souffre d'hypertension, de dépression d'amour perdu, complètement fauché. ce qu'il faut faire?",MÉDICAL
"Que faire si je souffre d'hypertension, de dépression d'amour perdu, complètement fauché. ce qu'il faut faire?",MÉDICAL
Quelles hormones sont responsables de vous donner des traits masculins sur votre visage ?,MÉDICAL
Quelles hormones sont responsables de vous donner des traits masculins sur votre visage ?,MÉDICAL
Quel traitement est le plus efficace et le plus rapide pour l'insuffisance aortique ?,MÉDICAL
Quel traitement est le plus efficace et le plus rapide pour l'insuffisance aortique ?,MÉDICAL
Pourquoi mon bras s'endort-il toujours ? Au point où je ne peux plus le bouger du tout,MÉDICAL
Pourquoi mon bras s'endort-il toujours ? Au point où je ne peux plus le bouger du tout,MÉDICAL
"Pourquoi ai-je une pigmentation blanche autour de mon anus, des démangeaisons extrêmes et des cloques autour de l'anus et de la fente anale ?",MÉDICAL
"Pourquoi ai-je une pigmentation blanche autour de mon anus, des démangeaisons extrêmes et des cloques autour de l'anus et de la fente anale ?",MÉDICAL
"La prise de pilules contraceptives pour le traitement de la dysménorrhée affectera-t-elle ma fertilité plus tard, une fois mariée ?",MÉDICAL
"La prise de pilules contraceptives pour le traitement de la dysménorrhée affectera-t-elle ma fertilité plus tard, une fois mariée ?",MÉDICAL
"Femme de 35 ans, pas de problèmes cardiaques, douleur aiguë à la poitrine/au cœur. Ne dure qu'une minute. Des coups à chaque fois que conduire assis me coupe le souffle, cela se produit-il davantage ?",MÉDICAL
"Femme de 35 ans, pas de problèmes cardiaques, douleur aiguë à la poitrine/au cœur. Ne dure qu'une minute. Des coups à chaque fois que conduire assis me coupe le souffle, cela se produit-il davantage ?",MÉDICAL
"Un médecin a prescrit du voren supp 12,5 mg à mon garçon de 3 ans contre la fièvre. Le voren n'est-il pas utilisé pour l'inflammation postopératoire ?",MÉDICAL
"Un médecin a prescrit du voren supp 12,5 mg à mon garçon de 3 ans contre la fièvre. Le voren n'est-il pas utilisé pour l'inflammation postopératoire ?",MÉDICAL
"Après avoir eu des rapports sexuels avec mon mari, j'ai remarqué un léger sang frais, une sensation de brûlure et une envie d'uriner. Quelle pourrait en être la cause ?",MÉDICAL
"Après avoir eu des rapports sexuels avec mon mari, j'ai remarqué un léger sang frais, une sensation de brûlure et une envie d'uriner. Quelle pourrait en être la cause ?",MÉDICAL
"Après deux semaines de chirurgie buccale, ma joue est toujours enflée et je ressens des bosses dures dans la partie inférieure. Cela démange aussi à l’extérieur. Aide?",MÉDICAL
"Après deux semaines de chirurgie buccale, ma joue est toujours enflée et je ressens des bosses dures dans la partie inférieure. Cela démange aussi à l’extérieur. Aide?",MÉDICAL
"Utilisez toujours une méthode contraceptive, utilisez toujours des préservatifs avec un spermicide, retirez-vous toujours avec un préservatif, mais mes règles sont en retard. Stress dû à l'université ou à la grossesse ?",MÉDICAL
"Utilisez toujours une méthode contraceptive, utilisez toujours des préservatifs avec un spermicide, retirez-vous toujours avec un préservatif, mais mes règles sont en retard. Stress dû à l'université ou à la grossesse ?",MÉDICAL
Existe-t-il un test sanguin fiable pour le cancer de l'ovaire ?,MÉDICAL
Existe-t-il un test sanguin fiable pour le cancer de l'ovaire ?,MÉDICAL
"J'ai beaucoup mal à la poitrine ces derniers temps, surtout lorsque je suis assis dans certaines positions ?",MÉDICAL
"J'ai beaucoup mal à la poitrine ces derniers temps, surtout lorsque je suis assis dans certaines positions ?",MÉDICAL
J'ai cette sensibilité et cette douleur dans la poitrine depuis presque des semaines... Pas enceinte non plus. Qu'est-ce que ça pourrait être ?,MÉDICAL
J'ai cette sensibilité et cette douleur dans la poitrine depuis presque des semaines... Pas enceinte non plus. Qu'est-ce que ça pourrait être ?,MÉDICAL
"Des changements limites dans l'IRM cérébrale en 1 an étant référé à un neuroradiologue, cela signifie-t-il quelque chose de sinistre ?",MÉDICAL
"Des changements limites dans l'IRM cérébrale en 1 an étant référé à un neuroradiologue, cela signifie-t-il quelque chose de sinistre ?",MÉDICAL
"Les deux bras sont engourdis, pas de douleur à la poitrine, juste un petit étourdissement. Et une petite brûlure au cœur, j'ai une gastrite et une arthrite du dos.",MÉDICAL
"Les deux bras sont engourdis, pas de douleur à la poitrine, juste un petit étourdissement. Et une petite brûlure au cœur, j'ai une gastrite et une arthrite du dos.",MÉDICAL
"Épidermoïde cérébral, est-ce la même chose qu'une tumeur à méningiome la différence entre les deux tronc cérébral de 3 cm / lobe antérieur de 8 cm ?",MÉDICAL
"Épidermoïde cérébral, est-ce la même chose qu'une tumeur à méningiome la différence entre les deux tronc cérébral de 3 cm / lobe antérieur de 8 cm ?",MÉDICAL
Sang rouge vif sur TP après le premier essuyage après BM ; puis d'autres lingettes plus de sang. Je bois beaucoup trop de boissons gazeuses et très peu d'eau... si cela compte. ?,MÉDICAL
Sang rouge vif sur TP après le premier essuyage après BM ; puis d'autres lingettes plus de sang. Je bois beaucoup trop de boissons gazeuses et très peu d'eau... si cela compte. ?,MÉDICAL
C4-5 complexe d'ostéophyte/renflement discal non covertébral droit renflement discal large sténose foraminale neurale droite et butée de la moelle cervicale ventrale. Signification?,MÉDICAL
C4-5 complexe d'ostéophyte/renflement discal non covertébral droit renflement discal large sténose foraminale neurale droite et butée de la moelle cervicale ventrale. Signification?,MÉDICAL
Un caillot de sang menstruel peut-il se déplacer vers votre cœur ou vos poumons comme le font d’autres caillots de sang ?,MÉDICAL
Un caillot de sang menstruel peut-il se déplacer vers votre cœur ou vos poumons comme le font d’autres caillots de sang ?,MÉDICAL
La maladie coeliaque peut-elle imiter la SEP même après avoir été traitée avec un régime strict sans gluten ? Ma maladie coeliaque non traitée aurait-elle pu causer des lésions cérébrales ?,MÉDICAL
La maladie coeliaque peut-elle imiter la SEP même après avoir été traitée avec un régime strict sans gluten ? Ma maladie coeliaque non traitée aurait-elle pu causer des lésions cérébrales ?,MÉDICAL
Les fibroadénomes peuvent-ils se transformer en cancer du sein ?,MÉDICAL
Les fibroadénomes peuvent-ils se transformer en cancer du sein ?,MÉDICAL
La polysystémie rénale peut-elle être guérie ?,MÉDICAL
La polysystémie rénale peut-elle être guérie ?,MÉDICAL
Peut-on se débarrasser du diabète de type 2 avec de l’exercice et une bonne alimentation ?,MÉDICAL
Peut-on se débarrasser du diabète de type 2 avec de l’exercice et une bonne alimentation ?,MÉDICAL
Pouvez-vous s'il vous plaît me dire pourquoi il est important de promouvoir une alimentation saine auprès des enfants et des jeunes ?,MÉDICAL
Pouvez-vous s'il vous plaît me dire pourquoi il est important de promouvoir une alimentation saine auprès des enfants et des jeunes ?,MÉDICAL
Pouvez-vous me dire comment se déroule une échocardiographie ?,MÉDICAL
Pouvez-vous me dire comment se déroule une échocardiographie ?,MÉDICAL
Pouvez-vous me donner les noms des établissements de santé ou des pharmacies connus pour préparer le collyre en solution voriconazole 1% ?,MÉDICAL
Pouvez-vous me donner les noms des établissements de santé ou des pharmacies connus pour préparer le collyre en solution voriconazole 1% ?,MÉDICAL
Mes allergies aux sinus pourraient-elles rendre la respiration difficile ?,MÉDICAL
Mes allergies aux sinus pourraient-elles rendre la respiration difficile ?,MÉDICAL
"Les symptômes d’un surdosage en caféine pourraient-ils persister plus de 2 mois, même si nous arrêtons déjà la consommation de caféine ?",MÉDICAL
"Les symptômes d’un surdosage en caféine pourraient-ils persister plus de 2 mois, même si nous arrêtons déjà la consommation de caféine ?",MÉDICAL
Marcher sur un matelas moelleux pourrait-il contribuer à avoir les jambes arquées ?,MÉDICAL
Marcher sur un matelas moelleux pourrait-il contribuer à avoir les jambes arquées ?,MÉDICAL
"Cher Docteur, j'ai l'impression que les lumières dans mes yeux sont trop brillantes, j'ai des vertiges, des côtés très douloureux du devant du cou et un nœud de mâchoire serré à l'arrière du cou, apnée du sommeil depuis 6 semaines ?",MÉDICAL
"Cher Docteur, j'ai l'impression que les lumières dans mes yeux sont trop brillantes, j'ai des vertiges, des côtés très douloureux du devant du cou et un nœud de mâchoire serré à l'arrière du cou, apnée du sommeil depuis 6 semaines ?",MÉDICAL
Quelqu'un sait quoi faire avec un enfant d'environ 13 ans qui souffre d'anxiété grave ?,MÉDICAL
Quelqu'un sait quoi faire avec un enfant d'environ 13 ans qui souffre d'anxiété grave ?,MÉDICAL
Est-ce que quelque chose pendant la grossesse provoque une atrésie de l'œsophage ?,MÉDICAL
Est-ce que quelque chose pendant la grossesse provoque une atrésie de l'œsophage ?,MÉDICAL
L'allaitement d'un seul côté modifie-t-il le risque de cancer du sein au sein non allaité ? Mon fils avait une préférence alors j'ai allaité à gauche.,MÉDICAL
L'allaitement d'un seul côté modifie-t-il le risque de cancer du sein au sein non allaité ? Mon fils avait une préférence alors j'ai allaité à gauche.,MÉDICAL
La coupure sur la lèvre se transforme-t-elle en bosse blanche ?,MÉDICAL
La coupure sur la lèvre se transforme-t-elle en bosse blanche ?,MÉDICAL
"L'huile de graines de lin, environ 3 grammes par jour, prescrite par mon ophtalmologiste, interagit-elle avec l'ortho trip cyclen ou d'autres pilules contraceptives ?",MÉDICAL
"L'huile de graines de lin, environ 3 grammes par jour, prescrite par mon ophtalmologiste, interagit-elle avec l'ortho trip cyclen ou d'autres pilules contraceptives ?",MÉDICAL
La réduction « ouverte » avec enclouage centromédullaire d'une fracture de la diaphyse tibiale provoque-t-elle une faiblesse musculaire et une guérison osseuse lente en raison de lésions des tissus mous ?,MÉDICAL
La réduction « ouverte » avec enclouage centromédullaire d'une fracture de la diaphyse tibiale provoque-t-elle une faiblesse musculaire et une guérison osseuse lente en raison de lésions des tissus mous ?,MÉDICAL
Le stress provoque-t-il une hématospermie ?,MÉDICAL
Le stress provoque-t-il une hématospermie ?,MÉDICAL
L'herbe kalawalla (polypodium leucotamos) est-elle réellement efficace contre les maladies auto-immunes ?,MÉDICAL
L'herbe kalawalla (polypodium leucotamos) est-elle réellement efficace contre les maladies auto-immunes ?,MÉDICAL
La vitamine D est-elle disponible sous forme de shot ?,MÉDICAL
La vitamine D est-elle disponible sous forme de shot ?,MÉDICAL
"Fraction d'éjection de Go très faible. Régime réduit aux viandes maigres, aux fruits et aux légumes. Reflux dans la gorge constant mais variable en intensité. En rapport?",MÉDICAL
"Fraction d'éjection de Go très faible. Régime réduit aux viandes maigres, aux fruits et aux légumes. Reflux dans la gorge constant mais variable en intensité. En rapport?",MÉDICAL
Femme.Maman mesure 150 cm et papa 156 cm.Je me demandais si je pouvais mesurer au moins 160-165 cm ?,MÉDICAL
Femme.Maman mesure 150 cm et papa 156 cm.Je me demandais si je pouvais mesurer au moins 160-165 cm ?,MÉDICAL
"J'ai un taux d'hémoglobine élevé et le médecin m'a conseillé de répéter le test FBC en avril 2014. Maintenant, j'ai un taux d'hémoglobine de 17,6 %. Quelle nourriture recommandez-vous, noms s'il vous plaît ?",MÉDICAL
"J'ai un taux d'hémoglobine élevé et le médecin m'a conseillé de répéter le test FBC en avril 2014. Maintenant, j'ai un taux d'hémoglobine de 17,6 %. Quelle nourriture recommandez-vous, noms s'il vous plaît ?",MÉDICAL
"J'ai eu mes règles après 4 mois et elles ont duré 11 jours, ce qui n'arrive jamais. J'ai ressenti une douleur sourde et inconfortable au niveau de mon utérus.",MÉDICAL
"J'ai eu mes règles après 4 mois et elles ont duré 11 jours, ce qui n'arrive jamais. J'ai ressenti une douleur sourde et inconfortable au niveau de mon utérus.",MÉDICAL
Vous avez une éruption cutanée avec démangeaisons après 4 jours de biaxin (clarithromycine). J'ai déjà pris cela auparavant et tout allait bien. Dois-je le continuer ?,MÉDICAL
Vous avez une éruption cutanée avec démangeaisons après 4 jours de biaxin (clarithromycine). J'ai déjà pris cela auparavant et tout allait bien. Dois-je le continuer ?,MÉDICAL
J'ai des kystes durs sur mon cuir chevelu depuis très longtemps maintenant. Ils sont passés de 1 à environ 8 ou 9 maintenant. Dont 3 sont devenus un peu grands. Ils sont indolores mais inconfortables lors du brossage de mes cheveux. Même si ce n’est pas ma principale préoccupation. Ont été traités,MÉDICAL
J'ai des kystes durs sur mon cuir chevelu depuis très longtemps maintenant. Ils sont passés de 1 à environ 8 ou 9 maintenant. Dont 3 sont devenus un peu grands. Ils sont indolores mais inconfortables lors du brossage de mes cheveux. Même si ce n’est pas ma principale préoccupation. Ont été traités,MÉDICAL
"Je n'ai pas eu mes règles depuis un an, j'utilisais Herion et je m'étais fait aider maintenant, je me demande quand vais-je commencer mes règles ?",MÉDICAL
"Je n'ai pas eu mes règles depuis un an, j'utilisais Herion et je m'étais fait aider maintenant, je me demande quand vais-je commencer mes règles ?",MÉDICAL
J'ai des douleurs de haut en bas de la jambe gauche et du pied gauche. Je l'ai gardé élevé toute la journée. J'espère que ce n'est pas un caillot de sang. J'ai aussi pris trois aspirines Bayer.?,MÉDICAL
J'ai des douleurs de haut en bas de la jambe gauche et du pied gauche. Je l'ai gardé élevé toute la journée. J'espère que ce n'est pas un caillot de sang. J'ai aussi pris trois aspirines Bayer.?,MÉDICAL
"Faire une prise de sang pour des raisons neurologiques, peut-elle détecter une grossesse ?",MÉDICAL
"Faire une prise de sang pour des raisons neurologiques, peut-elle détecter une grossesse ?",MÉDICAL
Bonjour j'utilise Neutrogena depuis 15 jours ..L'acné ne part pas que dois-je faire ?,MÉDICAL
Bonjour j'utilise Neutrogena depuis 15 jours ..L'acné ne part pas que dois-je faire ?,MÉDICAL
