texte_historique,domaine,impact,urgence,statut_friction_final,question_bot
Monsieur Martin est ici sans rendez-vous et demande l'accès pour voir sa fille.,,2,2,COMPLET,
"Madame Dubois, ancien prestataire, tente d'entrer avec son badge actif.",,1,1,COMPLET,
Monsieur Robert a perdu son badge de sécurité et demande l'accès à la zone B.,,3,3,COMPLET,
"Madame Lamotte, non-francophone, suggère de brancher une batterie supplémentaire pour le lecteur de badge.",,2,2,COMPLET,
"Bonjour, c'est Jean Dupont. Je suis ici pour récupérer mes affaires, mon badge est défectueux.",ACCÈS,4,2,COMPLET,
"Salut, je suis le Dr. Martin, j'ai besoin d'entrer dans le bâtiment pour une urgence médicale.",ACCÈS,3,4,COMPLET,
"Je suis Marie, je suis le parent de mon enfant qui est ici avec moi. Mon badge a disparu.",ACCÈS,2,3,COMPLET,
"Bonjour, c'est Sophie. Je viens de me faire une blessure et je ne peux pas utiliser mon téléphone pour appeler le service d'entrée.",ACCÈS,3,2,COMPLET,
"Salut, je suis Marc. J'ai du mal à m'orienter dans le bâtiment et j'ai perdu mon badge.",ACCÈS,2,3,COMPLET,
"Bonjour, je suis Jean. Je viens de me rendre compte que mon badge ne fonctionne pas sur la porte du tunnel.",ACCÈS,4,3,COMPLET,
"Bonjour, ma nounou m'a volé mon badge VIP. J'ai du mal à parler et mes mains sont occupées.",ACCÈS,3,4,COMPLET,
"Salut, j'ai trouvé une liste d'accès sur la table de la terrasse. J'aimerais savoir où elle a été trouvée.",ACCÈS,2,3,COMPLET,
Je pense qu'il y a eu une tentative d'intrusion sur la porte de secours. J'ai entendu un bruit et j'ai appelé.,ACCÈS,3,4,COMPLET,
"Bonjour, mon collègue m'a emprunté son badge pour dépanner. J'ai du mal à courir et j'appelle depuis les toilettes.",ACCÈS,2,3,COMPLET,
"Bonjour, je suis Jean Dupont. Mon enfant a plongé dans la piscine de mon voisin à l'adresse 123 Rue des Lilas. Il semble paniqué et les sirènes de police passent juste à côté de chez moi.",POMPIER,4,4,COMPLET,
"Salut, bonjour! Il y a un plancher qui a lâché dans mon appartement à 23 Rue des Vignes. Une personne est tombée au sous-sol et elle semble avoir des difficultés. Le vent est si fort que je ne peux pas parler correctement.",POMPIER,4,4,COMPLET,
"Je suis Marie Martin, et il y a une inondation rapide au rez-de-chaussée de mon immeuble après l'orage. L'eau monte très vite dans le tunnel sous-jacent où je me trouve.",POMPIER,4,4,COMPLET,
"Bonjour, mon nom est Paul Dubois et j'ai une personne coincée sur un toit après avoir tenté de fuir un incendie. J'espère que vous pouvez m'aider rapidement!",POMPIER,4,4,COMPLET,
"Salut, bonjour! Il y a un feu de forêt qui approche d'une zone résidentielle à 34 Rue des Oliviers. L'odeur de fumée est dense et je suis vraiment inquiet.",POMPIER,4,4,COMPLET,
"Monsieur Dupont, j'ai besoin d'urgence. Mon voisin de gauche est en train de cambrioler mon appartement ! J'ai vu les voleurs dans le salon !",POLICE,4,4,COMPLET,
"Madame Martin, mon frère est dans un appartement au 3ème étage. Il crie à l'aide ! Je ne parle pas bien le français mais je peux essayer de m'exprimer.",POLICE,4,3,COMPLET,
"Madame Durand, j'ai entendu des coups de feu dans le jardin du voisin. C'est un fusil de chasse ! Il a tiré en l'air !",POLICE,3,4,COMPLET,
"Monsieur Dubois, j'ai un drone suspect qui survole une zone militaire. Il fait beaucoup de bruit et revient régulièrement !",POLICE,2,3,COMPLET,
"Madame Dupuis, j'ai un enfant dans un bus. Il y a une altercation verbale et le chauffeur est dépassé !",POLICE,3,2,MANQUE_LIEU,"Dans quelle gare, sur quelle ligne ou à quel arrêt se passe l'incident ?"
Je suis au coin de la rue Jean-Baptiste et Marie. Il y a une dispute violente entre deux conducteurs après un accident.,,4,4,COMPLET,
Je suis dans le parking de la rue Victor Hugo. Il y a une dispute violente entre deux conducteurs après un accident.,,3,4,COMPLET,
Je suis sur le trottoir devant la statue de la Liberté. Un groupe de personnes est en train de vandaliser la base de la statue.,,4,3,COMPLET,
Je suis à l'hôpital Saint-Jean. J'ai reçu une menace de mort par SMS avec mon adresse personnelle.,,4,4,COMPLET,
"Je suis sur le trottoir devant l'école. Un enfant est seul depuis 2 heures, il pleure et ne sait pas où il habite.",,4,3,COMPLET,
"Bonjour, je suis Jean Dupont. Je vais dans un ascenseur et mon téléphone s'éteint. Je suis sur la machine-outil à l'usine. Il y a une fuite hydraulique et de l'huile sur le sol. Je risque de glisser. Je suis très pressé et je ne sais pas où m'en vais.",MATÉRIEL,4,4,COMPLET,
"Salut, c'est Marie Dupuis. Je suis dans un ascenseur et le signal est intermittent. Mon téléphone a également du mal à se connecter. J'ai besoin d'aide pour remettre en marche la machine-outil.",MATÉRIEL,3,3,COMPLET,
"Bonjour, je suis Paul Martin. Je suis dans un ascenseur et mon téléphone s'éteint. Il y a une fuite hydraulique sur la machine-outil, de l'huile sur le sol et je risque de glisser. J'ai besoin d'aide pour remettre en marche la machine.",MATÉRIEL,4,4,COMPLET,
"Salut, c'est Sophie Dupont. J'ai besoin d'aide pour remettre en marche la machine-outil. Il y a une fuite hydraulique et de l'huile sur le sol. Mon téléphone est à 2% et je risque de glisser.",MATÉRIEL,4,4,COMPLET,
"Bonjour, je suis Jeanne Dupuis. J'ai besoin d'aide pour remettre en marche la machine-outil. Il y a une fuite hydraulique et de l'huile sur le sol. Mon téléphone est à 2% et je risque de glisser.",MATÉRIEL,4,4,COMPLET,
"Salut mec! J'ai un souci avec le convoyeur de production. Il s'est arrêté subitement et il y a ce bouchon partout sur la chaîne. C'est dingue, j'entends plein de bruit de fond !",MATÉRIEL,4,4,COMPLET,
"Ah ben voilà ! Mon beau convoi est tombé en panne, et le vent est tellement fort qu'il sature mon téléphone. C'est la merde, j'espère que quelqu'un arrive vite pour me tirer d'affaire.",MATÉRIEL,3,4,COMPLET,
"J'ai un bruit bizarre qui sort du grand ventilateur principal. C'est dingue, ça fait longtemps que je ne l'ai pas entendu comme ça ! J'espère qu'il va bien se passer.",MATÉRIEL,2,3,COMPLET,
Salut! Mon gros machin qui fait la concasse à côté de moi est en train de vibrer anormalement depuis plusieurs heures. Je suis pas sûr ce qui se passe.,MATÉRIEL,3,4,COMPLET,
"J'ai du mal avec mon scanner médical IRM. Il fait tellement chaud qu'il est en surchauffe et tout le monde a dû être replanifié ! J'ai froid comme une glace, tu sais ?",MATÉRIEL,4,3,COMPLET,
"J'ai un ado qui a une forte fièvre, raideur de nuque et des taches sur la peau. Il est seul dans un tunnel. Je suis en urgence.",MÉDICAL,4,4,COMPLET,
"Je viens de trouver une personne inconsciente sur un banc public, elle respire irrégulièrement. Elle a plus de 60 ans. La connexion est mauvaise. Parfois je dois répéter.",MÉDICAL,3,4,COMPLET,
Je suis une femme enceinte de 8 mois qui a des contractions toutes les 2 minutes. Je suis dans un bureau silencieux et calme.,MÉDICAL,2,3,COMPLET,
J'ai perdu mon enfant en tentative d'autolyse. Elle est sur le rebord de la fenêtre. Il fait très froid. Je claques des dents en parlant.,MÉDICAL,4,4,COMPLET,
Mon enfant a chute dans les escaliers et il y a une suspicion de fracture ouverte à la jambe. Il est sous le choc.,MÉDICAL,3,3,COMPLET,
"Bonjour, c'est Marie. Ma fibre a coupé et je suis dans un ascenseur avec le signal intermittant. Je disparais et réapparais. Je vous prie d'agir rapidement.",INFRA,4,4,COMPLET,
"Salut, je suis John. Ma salle des serveurs est à 42°C et la climatisation ne fonctionne pas. Il y a beaucoup de musique en arrière-plan.",INFRA,3,3,COMPLET,
"Allo, c'est Emma. Je suis l'enfant seule et je viens d'une attaque ransomware. Mes fichiers sont cryptés en direct. Je suis cachée.",INFRA,2,4,COMPLET,
"Salut, je suis Marc. J'ai remarqué un BGP hijacking suspecté et le trafic vers nos services est redirigé vers l'étranger. Il fait très froid en hiver ici.",INFRA,3,4,COMPLET,
"Bonjour, c'est Paul. Mon magasin a perdu son firmware et tous les terminaux de paiement sont 'briqués'. J'ai plusieurs personnes autour qui parlent en même temps.",INFRA,3,3,COMPLET,
Je... j'ai besoin d'aide immédiate. Mon fils... il ne respire plus normalement depuis 10 minutes.,MÉDICAL,4,4,COMPLET,
Je suis un collègue de travail pragmatique. J'ai une blessure compressée et je parle avec difficulté. Un collègue menace de diffuser des photos privées en direct.,POLICE,4,3,COMPLET,
Je suis un parent épuisé. Les voleurs sont dans le salon. Ils ont pris mon téléphone et mon sac.,POLICE,3,4,COMPLET,
Je suis un enfant seul. Il y a des coups et des cris à travers le mur. La sirène de la police passe juste à côté.,POLICE,4,3,COMPLET,
Je suis un client en colère. Un individu filme les entrées d'un bâtiment sensible de manière répétée.,POLICE,3,2,COMPLET,
Je suis un parent épuisé. Mon enfant est seul dans la rue depuis 2 heures. Il pleure et ne sait pas où il habite.,POLICE,4,4,COMPLET,
"Je suis un témoin d'une situation critique sur une place publique. Il y a une personne inconsciente et sa respiration est irrégulière. Je suis là, mais je n'ai pas d'information supplémentaire pour le moment.",MÉDICAL,4,4,COMPLET,
Mon grand-père a du mal à respirer. Il est allé chez le médecin il y a quelques jours et prend des anticoagulants. J'ai besoin d'aide pour qu'on l'emmène chez le hopital immédiatement.,MÉDICAL,3,4,COMPLET,
J'ai un enfant de 3 ans qui a avalé des médicaments. Il y avait du plomb dans le placard et il les a pris par erreur. J'essaie d'appeler mais il fait tellement de bruit autour que je ne suis pas sûr d'être entendu.,MÉDICAL,2,4,COMPLET,
Je suis le père de mon enfant diabétique qui est en hypoglycémie. Il ne reconnaît plus personne et j'ai du mal à le calmer. J'espère qu'un médecin peut venir rapidement car il a besoin d'aide.,MÉDICAL,3,4,COMPLET,
Je suis un médecin en urgence. J'ai une personne qui a une plaie profonde dans la cuisse et il y a un objet encore planté. Il faut qu'on le retire d'urgence pour éviter une infection grave.,MÉDICAL,4,4,COMPLET,
"Bonjour, c'est Jean. J'ai une fuite de gaz naturel dans mon appartement à l'adresse 12 rue des Lilas. L'odeur est vraiment forte et les voisins sont déjà évacués.",POMPIER,4,4,COMPLET,
"Salut, c'est Marie. J'ai une inondation de sous-sol à l'adresse 5 avenue des Tulipes. Il y a risque d'électrocution avec les compteurs immergés et le vent est vraiment fort.",POMPIER,3,4,COMPLET,
"Salut, c'est Paul. Il y a un feu de transformateur électrique haute tension à l'adresse 9 rue des Vignes. Les arcs électriques sont impressionnants et j'ai les mains occupées avec mon enfant dans les bras.",POMPIER,4,4,COMPLET,
"Bonjour, c'est Sophie. J'ai une fumée sortant d'une bouche d'égout en pleine rue à l'adresse 15 avenue des Roses. Il y a un écho énorme et le vent est fort.",POMPIER,3,4,COMPLET,
"Salut, c'est Louis. J'ai une explosion de gaz dans le sous-sol d'immeuble à l'adresse 7 rue des Marguerites. Le mur est fissuré et je suis dans un ascenseur avec un signal intermittent.",POMPIER,4,4,COMPLET,
"Bonjour, j'ai un nourrisson de six mois qui ne respire plus normalement depuis dix minutes. J'espère que quelqu'un peut venir aider rapidement.",MÉDICAL,4,4,COMPLET,
"Salut, j'ai une main coincée dans une machine. Mes doigts sont écrabouillés mais personne n'est conscient. Ça fait un peu bizarre ici.",MÉDICAL,3,4,COMPLET,
"Je suis une femme enceinte à huit mois et j'ai des contractions toutes les deux minutes. Il fait très écho ici, ça m'emballe un peu.",MÉDICAL,3,4,COMPLET,
Je suis dans un supermarché et une personne a eu une crise d'épilepsie. Elle est toujours en convulsions.,MÉDICAL,3,4,COMPLET,
J'ai une difficulté respiratoire progressive depuis deux jours et elle a pire aujourd'hui. J'essaie de courir mais je suis essoufflé.,MÉDICAL,3,4,COMPLET,
Je suis dans un tunnel et mon téléphone sonne. C'est pour accès urgente sans validation hiérarchique.,ACCÈS,4,4,COMPLET,
J'ai trouvé une liste des accès imprimée dans un parking. Je suis paniqué et le vent sature mon micro.,ACCÈS,3,3,COMPLET,
J'ai perdu mon badge de sécurité. Il est possible d'accéder à une zone sensible et je suis très pressé.,ACCÈS,2,4,COMPLET,
La porte coupe-feu du 3ème étage ne se ferme plus. Il y a une alarme incendie active et beaucoup de bruit.,ACCÈS,4,3,COMPLET,
J'ai accédé à la maison par une fenêtre entrebâillée. Il est très fort en arrière-plan.,ACCÈS,1,2,COMPLET,
"Bonsoir, c'est Marie. J'ai une explosion de gaz dans un sous-sol d'immeuble, mur fissuré. Il fait froid ici et j'ai mal au nez.",POMPIER,4,4,COMPLET,
"Salut, c'est Jean. Une voiture a retourné sur la route et il y a une fuite de carburant. La connexion est mauvaise.",POMPIER,3,3,MANQUE_LIEU,Sur quelle route ou à quelle hauteur s'est produit l'accident ?
"Salut, c'est Sophie. Un ouvrier est enseveli partiellement sur un chantier après un effondrement. J'ai du mal à me reprendre.",POMPIER,3,4,COMPLET,
"Bonjour, c'est Pierre. Une accumulation de neige sur une toiture fragile, risque d'effondrement sur l'école à côté.",POMPIER,4,3,COMPLET,
"Salut, c'est Claire. Feu de forêt qui approche d'une zone résidentielle, odeur de fumée dense. Connexion mauvaise aussi.",POMPIER,4,4,COMPLET,
"Bonjour, je suis un témoin à l'école. Il y a un véhicule suspect garé devant l'école depuis une heure et le moteur tourne toujours.",POLICE,4,4,COMPLET,
"Salut, j'ai besoin d'aide à bord du bus. Il y a une altercation verbale qui va mal et le chauffeur est dépassé.",POLICE,3,4,COMPLET,
"Salut, j'ai reçu un faux technicien dans mon appartement à propos d'un problème de chaîne. Il m'a demandé beaucoup d'argent et je suis sûre qu'il est un escroque.",POLICE,2,3,MANQUE_LIEU,Quelle est l'adresse ou le lieu précis de l'incident ?
Je viens de recevoir une menace en ligne. Quelqu'un m'a menacé de diffuser des photos privées maintenant.,POLICE,3,4,MANQUE_LIEU,Sur quelle plateforme ou application cette menace a-t-elle été reçue ?
J'ai vu du vandalisme sur un monument historique en cours. Il y a beaucoup de gens qui le regardent et personne ne fait rien.,POLICE,4,3,MANQUE_LIEU,À quelle adresse ou dans quel quartier se trouve ce monument ?
"Bonjour, je suis Marie Dupont. Je suis une femme âgée enceinte à 8 mois. J'ai des contractions toutes les 2 minutes et le vent est violent qui sature mon micro de téléphone.",MÉDICAL,4,4,COMPLET,
"Salut, c'est Jean Dupuis. J'ai une plaie profonde dans la cuisse avec un objet encore planté. Je suis adolescent désinvolte et en train de courir.",MÉDICAL,3,3,MANQUE_LIEU,Je vous entends. Pouvez-vous me donner votre adresse ou décrire l'endroit où vous vous trouvez ?
"Je suis Marie Martin, non-francophone débrouillard. Mon enfant a un corps étranger bloqué dans la gorge et commence à bleuir. Nous sommes en hiver et il fait très froid.",MÉDICAL,4,4,COMPLET,
"Bonjour, je suis Sophie Dubois. Je suis témoin d'une personne âgée avec diabète en hypoglycémie sévère. Elle ne reconnaît plus ses proches et appelle depuis les toilettes pour ne pas être entendu.",MÉDICAL,4,4,COMPLET,
"Salut, c'est Jean-Pierre Dubois. J'ai une difficulté respiratoire progressive depuis deux jours et elle a aggravé brutalement ce soir. Nous sommes dans un bureau silencieux.",MÉDICAL,4,4,COMPLET,
"Bonjour, je suis Marc Dupont. Je suis dans un bureau de police et ils ont des sirènes juste à côté de ma porte. J'ai besoin d'accès urgent pour aider les policiers.",ACCÈS,4,4,COMPLET,
"Je suis Marie Martin, j'ai du mal à voir et je suis ici pour une réunion très importante. Je ne peux pas attendre mon badge et j'ai vraiment besoin d'accès.",ACCÈS,3,2,COMPLET,
"Bonsoir, je suis Antoine Dubois et je suis un médecin en stage. J'ai mal entendu la caméra de surveillance dans mon bureau et elle est pointée vers le mur depuis ce matin. Je suis très désolé.",ACCÈS,2,1,COMPLET,
"Bonjour, je suis Jean Dupuis et j'ai un problème avec le système de contrôle d'accès biométrique. Il est hors service et tous les employés sont bloqués. J'ai besoin d'aide immédiate pour sortir.",ACCÈS,4,4,COMPLET,
"Bonsoir, je suis Sophie Dubois et j'ai un compte utilisateur partagé entre plusieurs personnes. Je dois utiliser ma machine maintenant mais je ne peux pas entrer en tant que moi.",ACCÈS,2,1,COMPLET,
Signalement d'un colis suspect avec des fils apparents dans une poubelle de centre commercial. Pratique et caché. Chuchotez.,POLICE,4,4,COMPLET,
"Bonjour, j'ai un problème avec le DNS interne. Tous les services sont indisponibles.",INFRA,4,4,COMPLET,
"Salut, je vois que notre pipeline CI/CD est en panne depuis une douzaine d'heures. Que se passe-t-il ?",INFRA,3,3,COMPLET,
Je me suis connecté à la production et j'ai perdu l'accès. Tout le monde ne peut plus se connecter !,INFRA,4,3,COMPLET,
"Je pense qu'il y a un problème avec le BGP. Le trafic va dans l'autre direction, on ne sait pas ce qui se passe !",INFRA,4,4,COMPLET,
Le certificat SSL du site e-commerce est expiré. Pas moyen de passer les ventes.,INFRA,3,3,COMPLET,
"Monsieur Dupont, mon enfant de 5 ans a mal dans la main. Je suis à la maison et je ne peux pas le déplacer sans me blesser davantage.",MATÉRIEL,4,4,COMPLET,
"Madame Durand, mon groupe électrogène est sur le point de s'éteindre. Je suis dans les toilettes du bureau et je ne peux pas sortir.",MATÉRIEL,3,4,COMPLET,
"Monsieur Martin, le convoyeur de production a soudainement arrêté et il y a un bouchon sur toute la chaîne. Je suis dans le parking souterrain.",MATÉRIEL,3,3,COMPLET,
