texte_historique,domaine,impact,urgence,statut_friction_final,question_bot
Il y a eu un cambriolage dans mon appartement cette nuit. Il y a beaucoup de bruit de fond.,POLICE,2,2,MANQUE_DESCRIPTION_SUSPECT,"Les suspects sont-ils encore dans les parages ? Pouvez-vous les décrire : taille, vêtements, direction de fuite ?"
"Il y a une agression en cours dans ma rue, j'entends des cris. Je chuchote, je suis caché.",POLICE,3,4,MANQUE_STATUT_VICTIME,Y a-t-il des blessés ? La victime est-elle encore en danger immédiat ou a-t-elle pu fuir ?
"Mon conjoint vient de me frapper et a quitté l'appartement. Je chuchote, je suis caché.",POLICE,3,3,MANQUE_STATUT_VICTIME,Êtes-vous blessé(e) ? Avez-vous besoin d'une ambulance en plus de la police ?
Notre base de données affiche une erreur et bloque toutes les transactions. Je suis essoufflé.,INFRA,4,4,MANQUE_CODE_ERREUR,Quel est le message d'erreur exact de la base de données ? Y a-t-il un code d'erreur spécifique ?
"Ma femme inconsciente, elle respire, 45 ans, pas d'antécédents connus. Je suis essoufflé.",MÉDICAL,4,4,MANQUE_LIEU,Donnez-moi immédiatement votre adresse ou dites-moi où vous vous trouvez.
J'ai mal à la gorge et du mal à avaler. La connexion est mauvaise.,MÉDICAL,2,2,MANQUE_SYMPTOMES,"Avez-vous de la fièvre, un gonflement visible dans le cou ou une difficulté à respirer ?"
Je me suis coupé mais c'est profond.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Sur quelle partie du corps avez-vous cette coupure ?
"Un feu s'est déclaré dans notre bâtiment, l'alarme sonne. Mon téléphone est presque déchargé.",POMPIER,3,3,MANQUE_PROPAGATION,Voyez-vous de la fumée dans les couloirs ? Le feu semble-t-il localisé ou s'étendre ?
"La voisine inconsciente respire mais ne réagit pas, elle a une douleur à la tête. Il y a beaucoup de bruit de fond.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,"Connaissez-vous l'âge de votre voisine ? A-t-elle des maladies connues (diabète, cardiaque) ?"
Le VPN ne se connecte plus pour aucun collaborateur distant. Mon téléphone est presque déchargé.,INFRA,3,3,MANQUE_CODE_ERREUR,Quel message d'erreur le client VPN affiche-t-il ? Code d'erreur 800 ? Authentification échouée ?
"Réaction allergique grave suite à piqûre de guêpe, gonflement du visage. 22 ans, allergique aux hyménoptères, EpiPen utilisé. Au parc central de Rennes. Je tremble en appelant.",MÉDICAL,4,4,COMPLET,
Mon collègue a la poitrine douloureuse et transpire beaucoup. Je suis essoufflé.,MÉDICAL,4,4,MANQUE_SYMPTOMES,La douleur irradie-t-elle vers son bras gauche ou sa mâchoire ? Peut-il respirer normalement ?
Je ressens une douleur soudaine et forte. Il y a beaucoup de bruit de fond.,MÉDICAL,3,3,MANQUE_ZONE_CORPS,À quel endroit précisément ressentez-vous cette douleur ?
"Fuite de gaz importante 8 avenue Pasteur Toulouse. Odeur très forte, immeuble de 5 étages. Résidents en cours d'évacuation. Aucune flamme visible pour l'instant. La connexion est mauvaise.",POMPIER,3,4,COMPLET,
"Un feu s'est déclaré dans un entrepôt, je ne sais pas ce qu'il y a dedans.",POMPIER,4,4,MANQUE_MATIERE_DANGEREUSE,"Y a-t-il des panneaux de danger (tête de mort, flamme, explosion) sur le bâtiment ?"
Un prestataire externe demande accès à notre salle serveurs. Je suis essoufflé.,ACCÈS,3,3,MANQUE_HABILITATION,Dispose-t-il d'un bon d'intervention signé par un responsable interne ? Quelle entreprise représente-t-il ?
"VPN Cisco AnyConnect erreur 429 Too Many Connections depuis 7h. 200 télétravailleurs bloqués. Toute la direction commerciale et marketing impactée. Concentrateur VPN hébergé OVH, région Paris. Dernier audit fonctionnel hier.",INFRA,3,3,COMPLET,
"Mon copain fait une crise d'épilepsie, il est épileptique, 28 ans, inconscient. Je tremble en appelant.",MÉDICAL,4,4,MANQUE_LIEU,Les secours arrivent. Donnez-moi l'adresse exacte où vous vous trouvez.
Quelqu'un a été renversé par une voiture qui ne s'est pas arrêtée. Il y a beaucoup de bruit de fond.,POLICE,3,4,MANQUE_STATUT_VICTIME,La victime est-elle consciente et respire-t-elle ? A-t-elle été blessée à la tête ?
"Un homme agresse une femme avec un couteau, l'agresseur est armé, deux personnes impliquées. Je tremble en appelant.",POLICE,4,4,MANQUE_LIEU,Les secours et la police sont en route. Donnez-moi l'adresse ou le lieu exact maintenant.
Ma voisine a l'air de faire un malaise sur le palier. Mon téléphone est presque déchargé.,MÉDICAL,3,3,MANQUE_ZONE_CORPS,"Qu'est-ce que vous observez chez elle : est-elle consciente, tient-elle debout ?"
"Incendie de cuisine maîtrisé partiellement, fumée dense, tout le monde évacué, pas de blessé.",POMPIER,3,3,MANQUE_LIEU,À quelle adresse se trouve le logement sinistré ?
"J'ai très mal à la poitrine. Je chuchote, je suis caché.",MÉDICAL,4,4,MANQUE_SYMPTOMES,Décrivez la douleur : irradie-t-elle vers le bras gauche ou la mâchoire ? Avez-vous du mal à respirer ?
"Un homme agresse une femme dans la rue, c'est violent. Il y a beaucoup de bruit de fond.",POLICE,3,4,MANQUE_ARME,Voyez-vous une arme dans les mains de l'agresseur ?
"J'ai avalé des médicaments, environ 15 comprimés, 45 ans. J'ai du mal à parler.",MÉDICAL,4,4,MANQUE_LIEU,À quelle adresse se trouve la victime ? Les secours doivent arriver vite.
Ma mère dit qu'elle a une douleur dans le bras gauche et dans la poitrine.,MÉDICAL,4,4,MANQUE_SYMPTOMES,"Est-ce que votre mère ressent aussi une oppression, des sueurs ou des nausées ?"
"Braquage supérette 34 avenue Gambetta Marseille 13ème. Un agresseur avec couteau, caissière otage. Individu brun 30 ans capuche verte. Je suis dehors.",POLICE,4,4,COMPLET,
Quelqu'un suit une femme depuis plusieurs rues. Il y a beaucoup de bruit de fond.,POLICE,3,3,MANQUE_DESCRIPTION_SUSPECT,"Décrivez le suspect : sexe, âge approximatif, vêtements, est-il toujours en train de la suivre ?"
"J'ai chuté dans l'escalier, cheville déformée, douleur 8/10. 35 ans, pas d'antécédent. Je suis au domicile, 8 avenue Foch, Bordeaux. J'ai du mal à parler.",MÉDICAL,2,2,COMPLET,
"Mal de tête violent, soudain, le pire de ma vie, vertiges. 45 ans, pas d'antécédent. Au travail, bureau 304, 42 boulevard Haussmann, Paris 8ème. Il y a beaucoup de bruit de fond.",MÉDICAL,4,4,COMPLET,
"Un homme agresse une femme avec un couteau, l'agresseur est armé, deux personnes impliquées. La connexion est mauvaise.",POLICE,4,4,MANQUE_LIEU,Les secours et la police sont en route. Donnez-moi l'adresse ou le lieu exact maintenant.
J'ai mal à la tête depuis ce matin. J'ai du mal à parler.,MÉDICAL,2,2,MANQUE_SYMPTOMES,"Avez-vous des vertiges, des nausées ou des troubles de la vision ?"
Quelqu'un a été renversé par une voiture qui ne s'est pas arrêtée. Mon téléphone est presque déchargé.,POLICE,3,4,MANQUE_STATUT_VICTIME,La victime est-elle consciente et respire-t-elle ? A-t-elle été blessée à la tête ?
"J'ai des convulsions, j'ai réussi à appeler entre deux épisodes. Mon téléphone est presque déchargé.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,Êtes-vous épileptique ? Depuis quand ces crises durent-elles ?
"Mon voisin a chuté de son escabeau, il crie de douleur. J'ai du mal à parler.",MÉDICAL,3,3,MANQUE_SYMPTOMES,Voyez-vous une déformation d'un membre ? A-t-il reçu le choc à la tête ? Peut-il bouger ?
Ma voisine a l'air de faire un malaise sur le palier. Il y a beaucoup de bruit de fond.,MÉDICAL,3,3,MANQUE_ZONE_CORPS,"Qu'est-ce que vous observez chez elle : est-elle consciente, tient-elle debout ?"
"C'est urgent, j'ai un accident. Mon téléphone est presque déchargé.",MÉDICAL,3,3,MANQUE_ZONE_CORPS,Où êtes-vous blessé exactement ?
"Je me suis coupé au pouce en cuisinant, coupure profonde 3 cm, saignement important malgré compression. 35 ans, pas de traitement anticoagulant. Chez moi, 7 rue des Capucines, Rennes. J'ai du mal à parler.",MÉDICAL,2,3,COMPLET,
"Notre base de données affiche une erreur et bloque toutes les transactions. Je chuchote, je suis caché.",INFRA,4,4,MANQUE_CODE_ERREUR,Quel est le message d'erreur exact de la base de données ? Y a-t-il un code d'erreur spécifique ?
L'application de gestion ne répond plus. Mon téléphone est presque déchargé.,INFRA,2,2,MANQUE_TYPE_PANNE,C'est une erreur côté application ou connexion réseau ? Tous les utilisateurs sont-ils touchés ?
Notre site web est totalement inaccessible depuis ce matin.,INFRA,3,3,MANQUE_CODE_ERREUR,"Quelle erreur HTTP s'affiche ? 502, 503, timeout ? Le serveur répond-il au ping ?"
J'ai chuté et j'ai vraiment mal. Je tremble en appelant.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Où vous êtes-vous blessé lors de la chute ?
"Notre ERP principal est HS, erreur 503 Service Unavailable. Je chuchote, je suis caché.",INFRA,4,4,MANQUE_PERIMETRE_IMPACT,"Quels départements sont bloqués ? La production, la comptabilité, le commercial ?"
"Mon père souffre énormément, il est plié en deux, douleur au ventre. Je chuchote, je suis caché.",MÉDICAL,3,3,MANQUE_SYMPTOMES,"Votre père a-t-il de la fièvre, vomit-il ? La douleur est-elle apparue soudainement ou progressivement ?"
Il y a une altercation physique dans le parking souterrain. Je tremble en appelant.,POLICE,3,3,MANQUE_ARME,Y a-t-il des armes visibles ? Des personnes à terre ?
On vient de me voler mon sac dans la rue. J'ai du mal à parler.,POLICE,2,2,MANQUE_DESCRIPTION_SUSPECT,Le voleur est-il encore visible ? Quelle direction a-t-il prise et comment est-il habillé ?
J'ai vu quelqu'un forcer la vitrine du bijoutier. Je tremble en appelant.,POLICE,3,3,MANQUE_DESCRIPTION_SUSPECT,Les suspects sont-ils encore sur place ou ont-ils fui ? Pouvez-vous les décrire ?
"Ma voisine est effondrée sur son palier. Je chuchote, je suis caché.",MÉDICAL,3,4,MANQUE_CONSCIENCE,Est-elle consciente ? Respirez-vous près de sa bouche pour vérifier si elle respire ?
On vient de me voler mon sac dans la rue.,POLICE,2,2,MANQUE_DESCRIPTION_SUSPECT,Le voleur est-il encore visible ? Quelle direction a-t-il prise et comment est-il habillé ?
"Mon père souffre énormément, il est plié en deux, douleur au ventre. La connexion est mauvaise.",MÉDICAL,3,3,MANQUE_SYMPTOMES,"Votre père a-t-il de la fièvre, vomit-il ? La douleur est-elle apparue soudainement ou progressivement ?"
L'application de gestion ne répond plus. Mon téléphone est presque déchargé.,INFRA,2,2,MANQUE_TYPE_PANNE,C'est une erreur côté application ou connexion réseau ? Tous les utilisateurs sont-ils touchés ?
"J'ai des convulsions, j'ai réussi à appeler entre deux épisodes. La connexion est mauvaise.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,Êtes-vous épileptique ? Depuis quand ces crises durent-elles ?
"Mon collègue douleur thoracique irradiante, 52 ans, hypertendu.",MÉDICAL,4,4,MANQUE_LIEU,J'envoie le SAMU. Donnez-moi l'adresse ou le nom du bâtiment où vous êtes.
J'ai chuté et j'ai mal au dos.,MÉDICAL,2,2,MANQUE_SYMPTOMES,Ressentez-vous des fourmillements dans les membres ou avez-vous du mal à bouger ?
"Il y a un incendie dans l'immeuble en face, de la fumée partout.",POMPIER,4,4,MANQUE_PERSONNES_PIEGES,Y a-t-il des personnes encore bloquées à l'intérieur ? Entendez-vous des cris aux fenêtres ?
"Il y a un incendie dans notre école, les enfants ont peur. Il y a beaucoup de bruit de fond.",POMPIER,4,4,MANQUE_EVACUATION,L'école est-elle en train d'être évacuée ? Connaissez-vous le nombre d'élèves présents ?
"Mon collègue Julien, 45 ans, cardiaque connu, a une douleur thoracique intense avec irradiation dans le bras gauche. Il est conscient mais pâle. Bureau 204, bâtiment B, 15 boulevard des Capucines, Paris. Je suis essoufflé.",MÉDICAL,4,4,COMPLET,
Mon père ne se sent pas bien du tout depuis ce matin. Je suis essoufflé.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,À quel endroit du corps votre père ressent-il la douleur ou qu'est-ce qui vous inquiète ?
Un prestataire externe demande accès à notre salle serveurs. Je suis essoufflé.,ACCÈS,3,3,MANQUE_HABILITATION,Dispose-t-il d'un bon d'intervention signé par un responsable interne ? Quelle entreprise représente-t-il ?
"Douleur thoracique oppressante depuis 20 min, sueurs froides, nausées. 55 ans, hypertendu sous traitement. Domicile, 7 impasse des Roses, Toulouse. La connexion est mauvaise.",MÉDICAL,4,4,COMPLET,
"Violences conjugales, mon mari m'a blessée, il est parti, j'ai besoin d'aide. La connexion est mauvaise.",POLICE,3,3,MANQUE_LIEU,Êtes-vous en sécurité ? Donnez-moi votre adresse pour envoyer du secours.
"Mon fils a chuté du vélo, il pleure mais ne dit pas ce qui lui fait mal. Mon téléphone est presque déchargé.",MÉDICAL,2,2,MANQUE_ZONE_CORPS,"Regardez attentivement : voyez-vous une blessure, un gonflement ou une déformation sur lui ?"
Quelqu'un force la porte de l'appartement d'en face.,POLICE,3,3,MANQUE_ARME,Cette personne vous paraît-elle armée ? Y a-t-il des victimes visibles ?
"Incendie 5 rue des Roses Lyon 3ème. Feu 2ème étage, immeuble évacué, 2 personnes bloquées au 4ème signalées, pas de produits chimiques.",POMPIER,4,4,COMPLET,
Mon mari a chuté et ne bouge plus.,MÉDICAL,4,4,MANQUE_CONSCIENCE,Votre mari répond-il ? Approchez votre oreille de sa bouche : respirez-vous son souffle ?
"Le serveur de base de données est tombé, messages d'erreur SQL partout. La connexion est mauvaise.",INFRA,4,4,MANQUE_PERIMETRE_IMPACT,Combien d'utilisateurs ou de services sont impactés ? Toute l'entreprise ou un site spécifique ?
"J'ai mal à la poitrine, douleur dans le bras gauche, j'ai 58 ans et je suis cardiaque. Je suis essoufflé.",MÉDICAL,4,4,MANQUE_LIEU,J'envoie les secours immédiatement. Donnez-moi votre adresse exacte ou votre ville.
"Je fais une crise d'épilepsie entre deux convulsions, je suis épileptique, 32 ans. Je tremble en appelant.",MÉDICAL,4,4,MANQUE_LIEU,Donnez-moi votre localisation précise pour envoyer du secours.
"Ma femme a chuté dans l'escalier. Elle a mal à la cheville, gonflement visible. 38 ans, pas d'antécédent. Nous sommes chez nous au 12 rue Gambetta, Bordeaux.",MÉDICAL,2,2,COMPLET,
Un homme est allongé sur le trottoir depuis 5 minutes. J'ai du mal à parler.,MÉDICAL,3,3,MANQUE_CONSCIENCE,Cet homme vous répond-il ? Voyez-vous sa poitrine se soulever ?
Bagarre avec armes blanches devant le collège Pasteur rue Lavoisier Toulouse. Deux blessés au sol. Quatre agresseurs ont fui direction parking. 15h30. J'ai du mal à parler.,POLICE,4,4,COMPLET,
Mon ami a reçu un violent coup à la tête. J'ai du mal à parler.,MÉDICAL,3,3,MANQUE_SYMPTOMES,A-t-il perdu connaissance ? Vomit-il ? Parle-t-il normalement ou semble-t-il confus ?
Il y a un conflit entre deux groupes devant le bar. Mon téléphone est presque déchargé.,POLICE,3,3,MANQUE_ARME,Des armes sont-elles visibles ? Combien de personnes sont impliquées environ ?
"Il y a un incendie dans notre école, les enfants ont peur. Je tremble en appelant.",POMPIER,4,4,MANQUE_EVACUATION,L'école est-elle en train d'être évacuée ? Connaissez-vous le nombre d'élèves présents ?
Bagarre avec armes blanches devant le collège Pasteur rue Lavoisier Toulouse. Deux blessés au sol. Quatre agresseurs ont fui direction parking. 15h30. J'ai du mal à parler.,POLICE,4,4,COMPLET,
"Mon père souffre énormément au ventre, fièvre 39, 67 ans, diabétique. Je chuchote, je suis caché.",MÉDICAL,3,3,MANQUE_LIEU,Quelle est l'adresse de votre père pour que les secours puissent venir ?
"Il y a une bagarre dans la rue, c'est très violent. Je tremble en appelant.",POLICE,3,4,MANQUE_NOMBRE_INDIVIDUS,Combien de personnes se battent ? Y a-t-il des blessés à terre ?
"Je saigne abondamment du bras, coupure profonde par un couteau. 28 ans, pas de traitement. Je suis dans mon appartement au 3 rue des Lilas, Paris 11ème. Il y a beaucoup de bruit de fond.",MÉDICAL,3,3,COMPLET,
"Un homme agresse une femme avec un couteau, l'agresseur est armé, deux personnes impliquées. Mon téléphone est presque déchargé.",POLICE,4,4,MANQUE_LIEU,Les secours et la police sont en route. Donnez-moi l'adresse ou le lieu exact maintenant.
"J'ai très mal à la poitrine. Je chuchote, je suis caché.",MÉDICAL,4,4,MANQUE_SYMPTOMES,Décrivez la douleur : irradie-t-elle vers le bras gauche ou la mâchoire ? Avez-vous du mal à respirer ?
"Mon père souffre énormément au ventre, il vomit et a de la fièvre.",MÉDICAL,3,3,MANQUE_ANTECEDENTS,Quel est l'âge de votre père ? A-t-il des problèmes digestifs connus ou prend-il des médicaments ?
"Il y a un feu dans notre immeuble, l'alarme sonne. J'ai du mal à parler.",POMPIER,4,4,MANQUE_PERSONNES_PIEGES,Y a-t-il encore des résidents dans l'immeuble à votre connaissance ?
Mon mari s'est blessé en faisant du jardinage. Mon téléphone est presque déchargé.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Où votre mari est-il blessé exactement ?
Il y a une bagarre très violente en bas de mon immeuble. Je tremble en appelant.,POLICE,3,4,MANQUE_ARME,"L'agresseur ou l'un des protagonistes est-il armé ? Couteau, arme à feu, ou autre objet ?"
"Cambriolage terminé en mon absence au 18 avenue Victor Hugo Strasbourg. Vitre brisée, bijoux volés. Pas de suspect visible. Voisine a vu un homme blond 30 ans fuir vers le parking. Je suis essoufflé.",POLICE,2,2,COMPLET,
"Douleur abdominale intense depuis 2h, vomissements, 30 ans, appendicite possible.",MÉDICAL,3,3,MANQUE_LIEU,Indiquez-moi votre adresse ou dites-moi où vous êtes exactement.
"Mon collègue douleur poitrine, transpire, bras gauche engourdi.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,Quel est l'âge de votre collègue ? A-t-il des antécédents cardiaques ou prend-il des médicaments ?
Je saigne beaucoup du bras suite à une coupure profonde. Je suis essoufflé.,MÉDICAL,3,3,MANQUE_ANTECEDENTS,Quel est votre âge ? Prenez-vous des anticoagulants ou avez-vous des problèmes de coagulation ?
"La dame tombée dans la rue a la jambe déformée, saignement, 70 ans environ. J'ai du mal à parler.",MÉDICAL,3,3,MANQUE_LIEU,"À quel endroit de la ville se trouve-t-elle ? La rue, un monument proche ?"
"Violences conjugales, mon mari m'a blessée, il est parti, j'ai besoin d'aide. Mon téléphone est presque déchargé.",POLICE,3,3,MANQUE_LIEU,Êtes-vous en sécurité ? Donnez-moi votre adresse pour envoyer du secours.
"C'est urgent, j'ai un accident. Mon téléphone est presque déchargé.",MÉDICAL,3,3,MANQUE_ZONE_CORPS,Où êtes-vous blessé exactement ?
"Il y a un incendie dans notre immeuble, de la fumée dense. Je tremble en appelant.",POMPIER,4,4,MANQUE_PROPAGATION,Le feu se propage-t-il ? À quel étage a-t-il démarré et gagne-t-il les étages supérieurs ?
"J'ai chuté dans l'escalier, cheville déformée, douleur 8/10. 35 ans, pas d'antécédent. Je suis au domicile, 8 avenue Foch, Bordeaux. Il y a beaucoup de bruit de fond.",MÉDICAL,2,2,COMPLET,
"Ma femme a chuté dans l'escalier. Elle a mal à la cheville, gonflement visible. 38 ans, pas d'antécédent. Nous sommes chez nous au 12 rue Gambetta, Bordeaux.",MÉDICAL,2,2,COMPLET,
Quelqu'un a l'air de ne pas se sentir bien dans le métro. Mon téléphone est presque déchargé.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Qu'est-ce que vous observez sur cette personne ? Parle-t-elle ? Tient-elle debout ?
J'ai du mal à respirer et une douleur intense. Je suis essoufflé.,MÉDICAL,4,4,MANQUE_ZONE_CORPS,"La douleur se situe-t-elle dans la poitrine, le dos, ou autre chose ?"
"J'ai mal à l'épaule, je ne peux plus lever le bras. J'ai du mal à parler.",MÉDICAL,2,2,MANQUE_SYMPTOMES,Y a-t-il une déformation ou une plaie ouverte ? Pouvez-vous bouger les doigts ?
"Un feu s'est déclaré dans notre bâtiment, l'alarme sonne. La connexion est mauvaise.",POMPIER,3,3,MANQUE_PROPAGATION,Voyez-vous de la fumée dans les couloirs ? Le feu semble-t-il localisé ou s'étendre ?
"Braquage en cours Banque Crédit Mutuel 22 boulevard Gambetta Rennes. Deux hommes cagoulés, armes à feu. Otages à l'intérieur, environ 8 personnes. J'appelle depuis la rue. Mon téléphone est presque déchargé.",POLICE,4,4,COMPLET,
"Mon fils 3 ans a avalé des produits ménagers, il vomit, pas d'allergie connue. J'ai du mal à parler.",MÉDICAL,4,4,MANQUE_LIEU,"Donnez-moi votre adresse immédiatement, le SAMU arrive."
"Violences conjugales au 5 impasse des Lilas, Marseille 13ème. Mon mari Paul Martin, 38 ans, m'a frappée et est parti en voiture grise, plaque AB-123-CD. Je suis blessée au visage. J'ai du mal à parler.",POLICE,3,3,COMPLET,
"Serveur principal HS, erreur RAID critique, toute la compta bloquée, 45 utilisateurs, dernière sauvegarde hier 23h. Je suis essoufflé.",INFRA,4,4,MANQUE_LIEU,Sur quel site ou datacenter ce serveur est-il hébergé ? L'équipe on-site peut-elle intervenir ?
