texte,domaine,prediction_nexus,resultat
Ticket urgent : le proxy est tombé depuis 54 min,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 502,INFRA,ACCÈS,False
"Bonjour, le tablette surchauffe",MATÉRIEL,MÉDICAL,False
Ticket urgent : le proxy affiche erreur 5031,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5063,INFRA,MATÉRIEL,False
Ticket urgent : batterie du écran tient 56 min,MATÉRIEL,INFRA,False
"SVP aidez-moi, oublié mon accès VPN",ACCÈS,INFRA,False
Ticket urgent : le proxy affiche erreur 5018,INFRA,ACCÈS,False
Ticket urgent : mon ordinateur ne s'allume plus,MATÉRIEL,INFRA,False
Ticket urgent : batterie du tablette tient 26 min,MATÉRIEL,INFRA,False
Ticket urgent : le serveur affiche erreur 5010,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5017,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5077,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5064,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5094,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 84 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 88 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5078,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5089,INFRA,MATÉRIEL,False
URGENT : le tablette surchauffe,MATÉRIEL,INFRA,False
Ticket urgent : le proxy est tombé depuis 75 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5080,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5069,INFRA,MATÉRIEL,False
Ticket urgent : le serveur affiche erreur 5025,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5092,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5061,INFRA,MATÉRIEL,False
Ticket urgent : le proxy affiche erreur 5036,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5020,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5010,INFRA,ACCÈS,False
Ticket urgent : batterie du ordinateur tient 86 min,MATÉRIEL,INFRA,False
Ticket urgent : le datacenter affiche erreur 5011,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 10 min,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 505,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5085,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5018,INFRA,MATÉRIEL,False
Ticket urgent : le routeur affiche erreur 5028,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 507,INFRA,ACCÈS,False
Ticket urgent : batterie du écran tient 85 min,MATÉRIEL,INFRA,False
Ticket urgent : le routeur affiche erreur 5065,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5014,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5083,INFRA,MATÉRIEL,False
Ticket urgent : batterie du tablette tient 5 min,MATÉRIEL,INFRA,False
Ticket urgent : batterie du ordinateur tient 29 min,MATÉRIEL,INFRA,False
Ticket urgent : le proxy affiche erreur 509,INFRA,ACCÈS,False
Ticket urgent : le réseau affiche erreur 5049,INFRA,ACCÈS,False
Ticket urgent : le serveur est tombé depuis 52 min,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5090,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5090,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5019,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5024,INFRA,ACCÈS,False
Ticket urgent : batterie du ordinateur tient 65 min,MATÉRIEL,INFRA,False
Ticket urgent : le datacenter affiche erreur 5065,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 7 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5038,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 70 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5085,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5092,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5054,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5048,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5064,INFRA,MATÉRIEL,False
Ticket urgent : le routeur est tombé depuis 23 min,INFRA,ACCÈS,False
Ticket urgent : le réseau affiche erreur 5029,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5090,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5081,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5054,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5042,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 85 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 60 min,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 36 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5024,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5063,INFRA,ACCÈS,False
Ticket urgent : batterie du écran tient 18 min,MATÉRIEL,INFRA,False
Ticket urgent : le proxy affiche erreur 5053,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 48 min,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 75 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5075,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5079,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5077,INFRA,MATÉRIEL,False
Ticket urgent : le serveur est tombé depuis 19 min,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 504,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5016,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5053,INFRA,MATÉRIEL,False
Ticket urgent : le réseau affiche erreur 5046,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5055,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5091,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5070,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5058,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5084,INFRA,ACCÈS,False
Ticket urgent : batterie du ordinateur tient 96 min,MATÉRIEL,INFRA,False
Ticket urgent : le datacenter affiche erreur 5040,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5042,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5098,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 28 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 72 min,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5056,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5092,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 506,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 19 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 506,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5087,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5044,INFRA,ACCÈS,False
Ticket urgent : le réseau affiche erreur 5019,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5051,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5078,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5030,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 91 min,INFRA,ACCÈS,False
Ticket urgent : le serveur est tombé depuis 18 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 502,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5076,INFRA,ACCÈS,False
le fibre affiche erreur 5097,INFRA,MATÉRIEL,False
Ticket urgent : le routeur affiche erreur 5049,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5084,INFRA,ACCÈS,False
Ticket urgent : batterie du écran tient 86 min,MATÉRIEL,INFRA,False
Problème : le routeur affiche erreur 5078,INFRA,MATÉRIEL,False
"Bonjour, le fibre affiche erreur 5098",INFRA,MATÉRIEL,False
Ticket urgent : le datacenter affiche erreur 5089,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5057,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5062,INFRA,ACCÈS,False
